MSigDBID	MSigDBName	Entrez_Gene_ID
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	25446
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	286988
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	25587
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	29187
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	294797
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	94268
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	293637
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	117276
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	81780
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	319113
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	360697
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	113894
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	54230
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	299626
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	116682
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	289388
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	29618
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	60430
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	83785
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	303200
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	114851
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	83476
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	252961
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	294091
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	29197
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	498736
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	24508
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	314322
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	140914
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	64373
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	29183
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	25338
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	80338
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	192270
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	114505
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	305236
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	302642
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	78965
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	679975
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	311676
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	114767
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	310553
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	84348
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	81813
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	25603
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	305078
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	24253
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	116717
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	116677
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	117560
