Category ID ID	Category Name	Category Component
270	cluster_270	114491
270	cluster_270	114491
270	cluster_270	117582
270	cluster_270	117582
270	cluster_270	24614
270	cluster_270	24715
270	cluster_270	25154
270	cluster_270	25263
270	cluster_270	25269
270	cluster_270	252971
270	cluster_270	252971
270	cluster_270	25552
270	cluster_270	289352
270	cluster_270	289352
270	cluster_270	289352
270	cluster_270	289352
270	cluster_270	292868
270	cluster_270	293181
270	cluster_270	29548
270	cluster_270	29548
270	cluster_270	296972
270	cluster_270	296972
270	cluster_270	300862
270	cluster_270	306616
270	cluster_270	306759
270	cluster_270	307309
270	cluster_270	308602
270	cluster_270	308602
270	cluster_270	308602
270	cluster_270	308899
270	cluster_270	313049
270	cluster_270	313049
270	cluster_270	313997
270	cluster_270	313997
270	cluster_270	360573
270	cluster_270	360577
270	cluster_270	360577
270	cluster_270	360577
270	cluster_270	360577
270	cluster_270	361719
270	cluster_270	361719
270	cluster_270	361882
270	cluster_270	361882
270	cluster_270	361882
270	cluster_270	362956
270	cluster_270	363142
270	cluster_270	432392
270	cluster_270	498366
270	cluster_270	499520
270	cluster_270	500409
270	cluster_270	500590
270	cluster_270	54231
270	cluster_270	54231
270	cluster_270	64057
270	cluster_270	64057
270	cluster_270	64057
270	cluster_270	64186
270	cluster_270	64186
270	cluster_270	689377
270	cluster_270	689377
270	cluster_270	689377
270	cluster_270	689621
270	cluster_270	81680
271	cluster_271	100125370
271	cluster_271	100125370
271	cluster_271	116641
271	cluster_271	116641
271	cluster_271	140927
271	cluster_271	157074
271	cluster_271	170698
271	cluster_271	170698
271	cluster_271	171080
271	cluster_271	171133
271	cluster_271	24311
271	cluster_271	24311
271	cluster_271	24421
271	cluster_271	24424
271	cluster_271	24788
271	cluster_271	24788
271	cluster_271	24822
271	cluster_271	24822
271	cluster_271	24904
271	cluster_271	25130
271	cluster_271	25260
271	cluster_271	25274
271	cluster_271	252931
271	cluster_271	25374
271	cluster_271	25642
271	cluster_271	266730
271	cluster_271	287479
271	cluster_271	289197
271	cluster_271	290363
271	cluster_271	290363
271	cluster_271	290363
271	cluster_271	291084
271	cluster_271	291948
271	cluster_271	29199
271	cluster_271	293619
271	cluster_271	294311
271	cluster_271	29447
271	cluster_271	29735
271	cluster_271	298312
271	cluster_271	298934
271	cluster_271	299346
271	cluster_271	300676
271	cluster_271	301113
271	cluster_271	301113
271	cluster_271	301113
271	cluster_271	306991
271	cluster_271	306991
271	cluster_271	307091
271	cluster_271	307858
271	cluster_271	307858
271	cluster_271	308900
271	cluster_271	313529
271	cluster_271	313689
271	cluster_271	315530
271	cluster_271	361153
271	cluster_271	361338
271	cluster_271	361751
271	cluster_271	361751
271	cluster_271	361751
271	cluster_271	362696
271	cluster_271	363016
271	cluster_271	363016
271	cluster_271	363045
271	cluster_271	363045
271	cluster_271	366792
271	cluster_271	404280
271	cluster_271	498789
271	cluster_271	499422
271	cluster_271	500065
271	cluster_271	500065
271	cluster_271	500065
271	cluster_271	501083
271	cluster_271	501083
271	cluster_271	501083
271	cluster_271	50621
271	cluster_271	50658
271	cluster_271	54299
271	cluster_271	54299
271	cluster_271	54299
271	cluster_271	54299
271	cluster_271	54299
271	cluster_271	54349
271	cluster_271	59317
271	cluster_271	59317
271	cluster_271	59317
271	cluster_271	60586
271	cluster_271	60586
271	cluster_271	63938
271	cluster_271	64001
271	cluster_271	641316
271	cluster_271	64192
271	cluster_271	64392
271	cluster_271	680021
271	cluster_271	684538
271	cluster_271	688283
271	cluster_271	688283
271	cluster_271	688283
271	cluster_271	689574
271	cluster_271	691337
271	cluster_271	78968
271	cluster_271	78968
271	cluster_271	79122
271	cluster_271	81748
271	cluster_271	81748
271	cluster_271	85269
271	cluster_271	85419
271	cluster_271	89809
271	cluster_271	89809
271	cluster_271	89809
272	cluster_272	171051
272	cluster_272	171051
272	cluster_272	192181
272	cluster_272	192181
272	cluster_272	192181
272	cluster_272	25603
272	cluster_272	25603
272	cluster_272	25603
272	cluster_272	25603
272	cluster_272	25603
272	cluster_272	25603
272	cluster_272	287474
272	cluster_272	287474
272	cluster_272	288683
272	cluster_272	288683
272	cluster_272	289021
272	cluster_272	289021
272	cluster_272	290317
272	cluster_272	290657
272	cluster_272	29316
272	cluster_272	294988
272	cluster_272	300880
272	cluster_272	301579
272	cluster_272	301579
272	cluster_272	301579
272	cluster_272	303164
272	cluster_272	303164
272	cluster_272	303403
272	cluster_272	303403
272	cluster_272	303605
272	cluster_272	306229
272	cluster_272	306229
272	cluster_272	306229
272	cluster_272	308839
272	cluster_272	308839
272	cluster_272	310025
272	cluster_272	310314
272	cluster_272	313598
272	cluster_272	313598
272	cluster_272	315308
272	cluster_272	315308
272	cluster_272	315308
272	cluster_272	316539
272	cluster_272	316539
272	cluster_272	316539
272	cluster_272	316539
