ID	S4P3_D06	S4P3_A06	S4P3_C06	S4P3_B06	S4P3_F06	S4P3_H06	S4P3_E06	S4P3_G06	S4P3_A07	S4P3_C07	S4P3_B07	S4P3_D07	S4P3_G07	S4P3_F07	S4P3_E07	S4P3_H07	S4P3_B08	S4P3_A08	S4P3_D08	S4P3_G08	S4P3_H08	S4P3_E08	S4P3_F08	S4P3_A09	S4P3_D09	S4P3_B09	S4P3_C09	S4P3_E09	S4P3_G09	S4P3_H09	S4P3_F09	S4P3_A10
	0	0	0	0	3.125	3.125	3.125	3.125	6.25	6.25	6.25	6.25	12.5	12.5	12.5	12.5	25	25	25	50	50	50	50	100	100	100	100	200	200	200	200	400
KLF6_8969	7.03406064240466	6.94902419218748	7.15460459828125	6.81158239129225	6.67137901972592	6.89783563170636	7.0404030634582	6.99296309642865	6.74439087896554	6.91169518095503	7.12995811445208	7.06949609707551	7.09799764026818	6.86421075482475	6.97630782394191	6.59211798854789	6.70154368292885	7.01004928142264	6.83721646259911	7.44898976627131	6.99123235569201	7.07013787855273	6.66706946150772	6.71650021795697	6.55700388070293	6.63214626519525	6.80782542025115	6.77151388011809	6.6874723353527	6.71236430715381	6.58259141671124	7.22859922441951
FST_33195	5.26927738043651	4.22332056050662	4.09171072522611	4.6934238263495	3.10376357247292	5.42107639902531	5.64595699375194	5.63495292182354	4.85558422978561	2.99601620669924	3.39351971666875	5.38843502073515	4.16140431004356	5.03993231368183	4.56602314387739	2.85768565566296	4.61097237542264	4.15508425928891	6.0764284119484	4.44675776215352	4.83888802153588	5.62446656096881	3.89679728528233	6.10369688190572	4.67457282451691	5.77791966729019	5.52178440674959	5.6099306421445	5.28592439857956	5.92542833866532	5.31511578601841	4.93488458120785
HIST2H2AA3_8804	10.5152107879243	10.3867743262388	10.2126531732821	10.31341046545	10.3307008468197	10.3391749124874	10.3479448705266	10.3114293461037	10.3267956053802	10.2472391482297	10.5408199569887	10.449252593084	9.93041803228551	10.4058532781432	10.0552941130268	10.4101090038699	10.4727850199945	10.2588446727584	10.7198960231814	9.918752534818	10.3135668268015	10.090024951384	10.4724156861707	10.5582537374632	10.3413935938704	10.6113363605694	10.556379721773	10.121976235966	10.1061862091865	10.4093477301038	10.4462664827613	10.5103573176523
LGALS8_8992	5.5097488825559	5.60822420684523	5.68728981519339	5.27325636127655	5.02110497871995	5.16160562899549	5.53450031481657	5.15250297438852	5.31053560462484	5.1445690780745	5.48158436076069	5.01001429092205	5.36188268463203	5.2689373285249	5.32507077189821	5.34839396316176	5.12986813881192	5.22780565885512	5.16417575107724	5.4047827728375	5.31481186572954	5.48679794908648	5.39941446620994	5.3184871729832	5.43777075729789	5.30059686088214	5.39659250133862	5.51198381839522	5.56666856388706	5.61644766913835	5.32498656784108	5.31944884768929
ETS1_8577	4.67877916375528	4.38050706824852	4.560046638766	4.75922706455401	4.34075934478829	4.40718651189035	4.31848152974153	4.6098110467869	4.32245214108034	4.1745011594725	4.55969313661373	4.49560990500502	4.3524834171929	4.57861290966933	4.25098122092524	4.45910459371182	4.35726644729628	4.35198507599796	4.8887016502681	4.00374829171104	4.19749625204989	4.30392350795422	4.4804130390345	4.88002207602718	4.69890110664621	4.83302891237284	4.43044055657346	4.45680122962886	4.2218849901238	4.85804829294069	4.12095355051956	4.47783627234858
C2_32411	2.68721069108792	2.80168158571843	2.7958691868537	2.20864458267928	1.7831462028566	2.45066205837688	2.33948014648787	2.71709272255503	2.04635434207093	2.79580243241242	3.30953374171891	3.19808947436476	2.95561066000606	1.61256098097166	2.18693926017246	2.95389792194153	2.93299028520647	2.25986691648379	3.0681335839386	2.95767891509681	2.84053540701248	3.65774626062354	1.7637356698484	2.48584733515463	3.61962621374455	3.54632455745337	3.6043563556541	3.33966933188052	2.97900950814032	3.02667287826007	3.57686505891591	2.6301357859983
GXYLT1_32793	5.19978900551843	5.04495115173083	4.98249781359564	4.8586418944655	4.69822993227666	4.93645274156308	5.05098853684286	5.01000095434452	4.78712800155694	4.66069863542828	5.06130933250563	5.10656204871891	5.15513020228625	4.80789516245966	4.91872430476617	4.85765021086395	4.6709326698033	4.77027240934859	4.75941723546298	4.86184115502258	4.70641679684201	4.94694883217861	5.1497058179047	5.01679790425832	5.03139281179227	4.87832933768697	5.12022566054529	5.06822068360548	4.56977094841315	4.88738519905748	4.61503941667169	4.72438445478891
SQRDL_9936	6.79918925475386	7.00376269309908	6.54132321179166	6.61233832159897	6.73154924895539	7.33597089566985	6.56083191402959	7.23643650985482	6.91449240188008	6.55121995604762	6.6040139916568	6.83911245854702	6.54681221531389	6.69543503148587	6.57442482791821	6.55424989739004	6.73844170370148	6.67762666326649	7.02791899494996	6.95816194598398	6.72165069199382	6.94274625399341	6.66025100099925	7.08652370245481	6.6566271448222	6.87777544475899	6.80024034079208	6.75514010891382	6.7569953534088	6.59575630890791	6.78208139790957	7.24350187298019
CDK2_8266	2.56620887926356	2.58902578829486	2.66676633955652	2.86370863228891	2.26252102571288	2.32091595760112	2.13235812398203	3.36351315492123	2.39195547253823	2.49875119277503	2.1908622141908	2.84699853773497	2.26338025638136	2.67854462652677	2.75276625128178	2.58467700687951	2.11051637333847	2.52025659189882	2.98644671836632	2.91035602290923	2.14528948281529	2.65127921635955	2.47299437792689	2.77749823628022	2.63496668366306	2.52937208195082	2.65247591703047	2.56845708645356	2.6060878008107	2.75684044040514	1.90041628213936	1.94671717965461
FKBP10_33287	2.50167635416811	2.26975646371483	2.73276141434847	2.28211409795466	2.26252102571288	2.83031294741977	2.82615255814333	3.01118332828491	2.61897687355174	2.84852039080613	2.73244780158424	2.3117391735279	2.49719105545717	2.42576179562479	2.96964444024788	2.99970022998314	2.30470648841988	2.18670050680849	2.85452970652077	2.17303538315441	2.21787100423171	3.11424190690511	2.27298478859171	3.29056223145995	2.41765171666737	2.41104998354685	1.86541485194121	2.37628622176451	2.45676844319561	2.62371940648432	2.42576392887383	2.29075819348764
SKP2_32453	0.332369386612532	0.779640652958932	0.375428294252263	0	0	0.769994723245809	0	0	0.291149574902024	0.601111159969874	0	0.31938760270933	0.508276607341773	0.330263215047385	0	0.99982871047464	0	0	0.547627276198626	1.17214738672327	0.296608951576629	0.338124330634831	0.564770851714906	0.504193471024182	0.283507347910606	0.295482541795008	0.371556006646707	0	0.377760968828558	1.13194957174767	0	0
DUSP3_8504	7.89044979066769	7.93474703870276	7.99002091296263	7.98229827771395	7.82998272064319	7.90173572979947	7.99144651449646	7.81463793938478	7.94822929500732	7.95009173835747	7.99638405389775	7.92246992788163	7.77712376222066	7.63718205120512	7.92261496402077	8.13920996804386	7.67129879577901	7.85748971171935	7.99522848545749	7.80487982903506	7.86360446782999	7.97523076061595	7.95977853151701	8.0485261508904	7.79479936670207	7.91303268776176	8.04707729067811	7.99007679994599	7.92749503501255	7.99209373416234	7.91764485984348	7.49875107218759
HES1_8796	4.54107105458793	4.84360828273959	4.4854378803287	4.41179801609956	4.48756484011054	4.46974966850335	5.00611327372608	4.94184852994107	4.1873201584399	4.31224993431027	4.04016697801199	4.43078462663613	4.49440630671218	4.44868039557323	4.0274094628689	4.61438122996635	4.81608139461275	4.15508425928891	4.81962253622363	4.11229083256269	4.71897503619957	4.50189683716349	4.13181688604902	4.75148911084944	4.05613458084475	4.68791167005782	4.41065135404243	3.8395280375219	3.66375754931513	4.39627641674872	4.2088713084163	3.8832036804016
SCN3B_33222	0	0	0	0	0	0.304613660858286	0.420545489179342	0	0	0	0.37534372088245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAFK_9173	3.71992122644177	3.49476711271589	3.51132396536318	3.97554999436745	3.66290995638988	3.37899899873699	2.60324127395662	3.95384319223695	3.60653044418249	3.43573578229037	3.68772615667192	4.13772085170105	3.85949283500894	4.01590083346674	3.15813996834703	3.58464845438781	3.58404769403626	3.65595408761623	3.64869486122043	3.32552664176033	4.08557599204344	3.42923368517755	3.75038851305338	3.61998998689062	3.69412994213845	3.91574222317811	3.29460945233359	3.44141630616974	3.27506506183648	3.55138341279474	3.57686505891591	3.04739524245111
NUF2_33136	3.66204341785659	3.61215790299478	3.54844720549904	3.08513733161313	3.78150761011647	3.6460825221344	3.68315446393403	3.51191491864676	3.46762776065961	3.32847420869988	4.01387104130909	3.38078889347959	2.95561066000606	3.16583554040251	3.60961642301476	3.2850947616156	2.97164845125987	3.17833700485609	2.65748392213218	2.52686530816752	2.59014406489855	2.97579760870071	2.64862145456877	1.52731361055331	2.16169585897707	2.52937208195082	2.58344843028896	2.30608653553843	1.997558943711	1.67106809558814	1.40049716481771	2.12896895586054
LAMC2_8982	1.02596289351716	1.28297730969246	0.375428294252263	0.312077128446816	0.625376338829314	0.769994723245809	0.420545489179342	0.801899652774624	0	1.02415570645045	1.13000451350647	0.801905521731849	0	0	0.348614588852508	0.584848309963947	0.271908063362944	0.306661287343922	1.72613317401699	0.809069635298578	0.93584897634621	0.841841199973241	0.564770851714906	0	0	0.750080106344406	0.666751936883413	0.578382977604786	0.377760968828558	1.57817142816747	0	1.35459478008051
COL6A2_32304	3.8291447609539	3.79708127124705	4.44663488141474	3.88412411932728	3.83734009123694	3.84799764611214	3.5224876044005	4.17776553465479	3.52480340684851	4.15370349745288	3.81501553256583	4.05410596601363	4.01833179584513	3.6818051993431	3.92728375924087	3.61439521507206	3.39788067072219	3.94928893111108	3.70084739363373	3.32552664176033	3.87727708671115	3.90669224153233	3.91981679608678	3.69180341192442	3.66972038467276	3.48906674097948	3.53292879662515	4.40736383669422	4.07588852823562	3.66867264059288	3.47415998150645	3.04739524245111
SYNGR3_9978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32185958151764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GP1BB_32425	0.332369386612532	0.779640652958932	1.13020500716626	1.14239337956454	1.39387717890662	0	0	1.08072097578249	1.22754971494429	1.19673987851485	1.13000451350647	0.31938760270933	0.883386355081748	0	0	1.16973467849204	0.871539772281361	0.774440189192431	0.299643100267356	0.32272854802678	1.24459731746277	0.841841199973241	1.65818244907723	0.877084937307973	0.901958744954818	0.750080106344406	0.911685689658751	0.99011942859577	1.76323739601073	1.37224407732841	1.67200308855544	0
ZW10_10212	3.66204341785659	3.93866824361476	3.68806666570174	3.50896557662773	4.15550707390265	3.84799764611214	3.56436266231788	4.14782703982818	4.05771389351266	3.87749269408578	3.81501553256583	3.27396740890187	4.05545193628138	3.96927353584196	3.40146720858596	3.72760371456939	3.39788067072219	3.85798074769623	3.41890169879927	3.58862760277436	4.00582795313698	4.36066560479976	3.30221992425579	3.82552129254778	3.89700997692913	3.91574222317811	3.94426105628598	3.76298179022916	3.40304415107588	3.79788715748861	3.43823328348859	4.07314070544819
LOC100366216_9042	3.66204341785659	2.40605206289834	3.07563790212898	3.56891056468204	3.05749842689268	3.98281423366433	3.29267452813042	3.0762088319163	3.3459939292808	3.6289435336524	3.02353312819674	3.48024333867865	3.77299439381387	2.35498347765616	1.90047950854823	3.32161975909756	2.62879485927325	2.57862075257613	4.3498288121956	3.17347917648931	3.40417675714802	3.35669615487527	2.40935643723552	2.73280276950285	3.91788716417724	4.62285552885606	3.70527517616097	4.77530591021422	3.76251872313963	3.06140860412843	4.75304210842362	2.80104874647193
AQP9_32709	0.82963731440111	1.28297730969246	0	0.786162723065102	0.625376338829314	1.2693486448151	1.23495135301594	1.08072097578249	1.47970612009513	0.601111159969874	1.13000451350647	0.31938760270933	0.508276607341773	0.598827734046363	1.24286849852289	0.99982871047464	0.69796142839107	0.774440189192431	0.299643100267356	0.586296342661675	0.296608951576629	0.611856087028521	0.309847048637285	0.504193471024182	0.901958744954818	0.540613366905626	1.12100860572441	0	0.676851893254924	0.994909694843685	0	0.60320189748427
NR2F6_9360	1.19874402959784	0.967614480226182	1.31389769177458	0.312077128446816	0.346311992426741	1.12130672564249	0.745768312424557	1.08072097578249	0.533294011614939	0.331638965154429	0.672920525511054	0.801905521731849	0	0.330263215047385	0.348614588852508	0.584848309963947	0.500605560900868	0.306661287343922	0.299643100267356	0.586296342661675	0.752544832572109	1.5103463593193	0.969605553844705	0.504193471024182	0	0.295482541795008	1.46596643935655	0.317983982880889	0	0	0	0
MAPK9_9192	7.75685696909428	7.54030888235373	7.66613686631289	7.86764068919901	7.67772843286703	7.81553577314605	7.5840342862095	7.98728886991192	7.49992552096249	7.59262567301306	7.56749477355822	7.64909389056626	7.42315320569778	7.31240232487067	7.47893851190118	7.69836371666962	7.2943224583984	7.42228585908477	7.6032096023933	7.38767821820761	7.50602726749741	7.35949689874024	7.46832722832651	7.58314734537311	7.71504051937738	7.65282527294181	7.663945786766	7.55581463631539	7.56889321821961	7.59422185859997	7.56258420172279	7.60834734554572
CKMT2_33148	0	0	0	0	0	0.304613660858286	0	0.455962471173102	0	0	0	0	0	0	0	0.32185958151764	0	0	0	0	0	0	0	0	0	0	0.371556006646707	0	0	0	0	0
RIOK3_9709	8.87710920622826	8.93813374146047	8.82077555176542	8.86380122124863	8.93712595364403	9.03102600597349	8.93075461653219	8.91170657419859	8.91287628861427	8.97559480358747	8.85136620889203	8.86686299884969	8.95786051104338	8.88817136606131	8.92694918091516	9.01785824025239	8.75967718130513	8.95488477374603	8.82625564580983	8.8352963110327	8.84483304909585	8.84225688682532	8.88046583980839	8.92310876853518	9.02775012451137	8.85727640515821	8.95921060590668	8.94671608506267	9.01911842054437	9.02379443364978	8.91465847781643	9.12942148562069
RFC4_9678	4.73600251368602	4.56654741161158	4.71501977565243	4.8344230238967	4.90832319813616	4.55878396554879	4.21711773032238	4.88853459327457	4.65250994185877	4.6458817765854	4.50410201298832	4.52696197715111	4.59867814092881	4.44868039557323	4.44451016917816	4.7411371959288	4.21950233126991	4.2115038537791	4.42926444018208	4.52738619935344	4.56054054839239	4.48498073172286	4.57044752048799	4.65896281057958	4.5860401134843	4.46848378973432	4.9524378861658	4.26659648356585	4.60568715543665	4.2831052025415	4.37010183191871	4.42652162389694
LAMP1_33255	10.5686095561562	10.5947454519046	11.0853530780786	10.6974418147929	10.3949014070264	10.5699862792275	10.6949081417888	10.7129321504831	10.4633060904445	10.5492207194879	10.7321563365148	10.3774310620442	10.8622128166514	10.2926513182184	10.927156688985	10.6692070744353	10.4924427878743	10.5554970524789	10.4851867837659	10.4636827532081	10.5279010860018	11.1117475031011	10.4054425169526	10.4887625237295	10.5503180698517	10.4898093857808	10.6756964225425	11.0619962110051	10.8523154052852	10.4940315324866	10.5074119527019	9.96162723495353
CDC45_8259	0	0.309060993369579	0.673058143783781	0	0.625376338829314	0.769994723245809	1.01099503108823	0	0.291149574902024	0.828084476990361	1.13000451350647	0.58072585832576	1.18081638404631	0	0.863947793273124	0.584848309963947	0.271908063362944	0.559427323191299	0.759172589076535	0.809069635298578	0.296608951576629	0.841841199973241	0.309847048637285	0.274011260159449	0.723734115410455	0.9329543529804	0	0.798890010612334	0.377760968828558	0.482520280952998	0.629139111026751	0.332899380639088
C1R_8171	1.61947689086451	1.28297730969246	1.62319836779593	2.04942870734676	1.53562804696769	1.40360309856252	1.890434323246	1.5152522493512	1.59097755370814	0.828084476990361	1.47658459651932	0.99364036173142	1.63772636901756	0.825157298029512	1.40055081137509	1.80711021650959	1.51935712431674	0.559427323191299	2.23064515331532	1.70320862744438	2.28697521682008	1.04015468785794	2.0407141725069	1.72282282700249	1.20345294852618	1.60675425543413	1.74415227189831	2.15452584239304	1.31997558039156	2.1296290998096	1.67200308855544	0.8307634998795
ACAA1A_7954	9.9424377442833	9.91932585285928	10.0323634602123	10.3426819825248	9.87692116383908	9.97912759862667	9.99916525498805	10.0763699666499	9.814747033941	9.98008012920219	10.1046563789567	9.65437985591901	10.0328495617394	10.022729333775	10.2397783459652	10.0049313905623	10.119558680636	10.1091086889661	10.0078998123483	10.2174025101182	10.3842594767259	10.32797564803	10.3076564260943	10.4935845935238	10.8664850810794	10.6138496214097	10.444659414528	11.060830942289	11.0128577515926	10.5723264099554	10.6106332520105	11.5621886102002
RGD1307929_9686	7.52894139797268	7.18047956533829	7.81256322322516	7.35123851584029	7.40035671072363	7.34851153744608	7.41980906706138	7.49906168783483	6.95405893003187	7.20493037716185	7.28917693518216	7.3753462895772	7.64027778733474	7.18812056950547	7.67305875635322	7.25704748277837	6.96130583223164	7.02324341397966	7.41894041667833	7.16384125024824	7.10324478071199	7.66566070854357	7.33553421321735	7.20783341647042	7.37910574391553	7.09961026168507	7.55998588415269	7.89164564001105	7.75431609006486	7.21676350062642	7.30523656930416	6.88012174428478
TUBB5_10105	6.86158794852314	6.51638565877695	6.66479451017448	6.72530948268727	6.63245704633872	6.73862642361889	6.50816427266629	6.97602441206812	6.63503684275228	6.26159789209088	6.72646944266664	6.96749355620351	6.86695649091569	6.33530544090336	6.43553797338359	6.69314766863748	6.35921939044213	6.46588830403783	6.7189044631669	6.18385185469351	6.21469869607251	6.85988070493646	6.44704121454317	6.40371159822383	6.15257997686757	6.58851638831902	6.36401276419358	6.52727870740544	6.78075432951259	6.61926136365672	6.31184998887443	6.72594589266856
FGG_8639	3.4730206560956	3.07140800881514	3.47322018828766	3.50896557662773	3.49948242220773	3.80010592067255	3.38903516662399	3.68866416755552	2.56548207428334	3.21259278819617	3.90361508164755	3.44784770686704	3.68097719737971	3.39478590968308	3.50929248450235	3.08716055189377	3.081771020394	1.94189684884715	3.02786822315119	3.09099091458572	2.92967102347443	3.77371974431545	3.07499593612563	2.98229977157978	3.36981033486816	2.34803897769673	3.00897776733011	2.88972102080934	3.22975179264388	3.12846746272059	3.57686505891591	3.00137667422497
PEMT_32410	0	0.563453130977345	0.673058143783781	0.312077128446816	0	0.304613660858286	0	0.455962471173102	0.291149574902024	0.331638965154429	0.37534372088245	0.31938760270933	0	0	0	0.584848309963947	0.271908063362944	0.559427323191299	0	0	1.09846676200187	0	0.309847048637285	0.274011260159449	0	0.540613366905626	0	0.317983982880889	0.377760968828558	0	0	0.60320189748427
