ID	S1P1_F06	S1P1_A07	S1P1_H06	S1P1_G06	S1P1_E07	S1P1_D07	S1P1_C07	S1P1_B07	S1P1_F07	S1P1_H07	S1P1_G07	S1P1_A08	S1P1_D08	S1P1_B08	S1P1_E08	S1P1_C08	S1P1_F08	S1P1_G08	S1P1_A09	S1P1_H08	S1P1_D09	S1P1_B09	S1P1_E09	S1P1_C09	S1P1_G09	S1P1_A10	S1P1_F09	S1P1_H09	S1P1_B10	S1P1_D10	S1P1_E10	S1P1_C10	S1P1_F10	S1P1_A11	S1P1_G10	S1P1_H10
	0	0	0	0	7.8	7.8	7.8	7.8	15.6	15.6	15.6	15.6	31.25	31.25	31.25	31.25	62.5	62.5	62.5	62.5	125	125	125	125	250	250	250	250	500	500	500	500	1000	1000	1000	1000
SGOL1_33030	0	0.215088368871503	0	0	0	0	0	0.707173393219237	0.334859905805183	0	0	0	0.319038614133149	0	0	0.598466752786034	0	0.747614729157609	0	0	0.323572721283804	0	0	0.306109792428073	0	0.765696442357968	0.333656942163283	0.356291049719568	0.859272077185424	0.665604356894133	0	0.388928357036613	0.380339082240885	0	0	0.343389938256912
GAR1_8684	3.75167252746354	3.51732304655605	4.33410552581637	3.39565673045348	4.01459442836562	3.09873822745222	3.63056379476651	2.87303022667807	3.34254371840493	3.17820813896255	3.83477161210603	3.71272934913077	3.30887961278279	2.3406385677016	4.26700628476829	3.87024871826789	4.10489828041391	3.83195663289488	5.24076216629854	3.74483803305856	4.03006871662155	4.1506036643719	4.01773857587579	3.68015187530484	2.89664489848269	4.13513886524214	3.33730137747595	4.17695853112227	4.14482270097982	3.76595914717068	3.93390754085338	4.33514482387646	4.03421882304505	2.83402799653631	2.92175903823981	3.58713754634592
RBP1_9669	9.31206798725195	10.1207592701921	7.39653066412799	8.61285966437068	7.9176937006603	9.04012529533004	9.4342251008353	8.82435622403059	8.13476145057373	10.2500988522701	10.4513140270379	10.2963867776246	10.54655325131	10.1210322449274	9.61083639549009	9.24952585032426	9.48687245850058	9.0907215551192	8.19797002987787	10.1823539576021	9.74966187657374	9.12056905753158	9.94450560408385	8.80727259879366	9.31439481712694	9.98509553817521	9.34764181115009	8.77756500684975	9.41623778558436	9.97874904982442	9.12778464144956	9.83033542728345	9.7166319482289	9.76899734060582	8.98305285226764	9.57273431022315
XPO1_32314	6.17203227017593	4.92703490807642	6.60052666253099	6.54914196686671	6.62060014752273	6.3616045838545	6.75137991950531	6.95834910716195	6.3106396501318	5.72795712953186	5.76667363947487	5.48177936400285	5.27127036027869	5.67394109289127	5.9829292356056	5.06128861910253	6.02045185685373	5.02565679718531	6.14857415040583	5.84774867446661	5.49183739403459	5.61670962586579	5.88420545689997	5.68219884198054	5.56735872924372	5.30416346760605	5.1003920713065	5.51793397504041	5.29512677072018	5.00316724270867	5.36211799792558	5.38693136298494	4.9048782721754	4.96261959987289	5.41476924052877	4.6234347355332
PAK1IP1_9417	1.04353509488866	1.38280563823204	0.660741398034012	0.365822541387428	1.48489184684127	0.918538178177207	1.09662343371637	0.707173393219237	1.20556432359185	1.8812497634294	1.98133289087865	2.0099932854271	1.57530830710455	1.60057136413799	0.767261430934459	1.48510372810039	0.935877109556842	1.7555503106447	0	0.903514027231063	1.32685636027526	0.707059364576587	2.17223699626593	0.773243601936098	1.1949601435688	2.17023041199805	1.62369343837985	1.08441983638291	0.859272077185424	1.74197622671107	0.422323934306453	1.66263517993845	1.77111734768589	1.1236435757909	0.791484853080422	0.852959900915538
ARL1_32616	2.71626212730572	2.37299396639428	3.16009667173091	2.69681871358401	2.78886834336029	3.24136598493838	2.80267166422384	2.99251925061481	3.8664388267246	3.46790245768342	3.79701559061446	3.56237478145305	3.15703833333722	3.57596664976352	3.00366673770804	3.39382412129063	3.30775931516834	2.13588703970459	3.79536253067855	3.24618209054289	2.76187941626443	3.736954268137	3.25900091352996	3.75783138168842	3.07278567442775	3.63650230629915	3.22133858550418	3.67417666675308	3.37328789302644	3.53009411597163	3.72716250650289	3.89955441934665	2.38489762787388	3.53738211833138	3.441821037425	3.04541245171032
TAX1BP3_32829	4.75495007711456	5.91854735290575	4.82283501638655	4.98154710500329	4.59272671941936	5.08480266467974	5.28007733222522	5.10969159737511	5.32870146151437	5.41281802812636	5.72706745648379	5.50944138804361	5.77366077944438	5.56974934093221	6.17272018908587	5.78086622398735	6.20586175269186	5.59070712984227	6.75159805953668	5.65556654967374	6.13220846204036	6.42208861379448	5.57781843646761	6.09519158428848	5.0120138362032	5.78523846136873	5.67861598826764	6.01323122411068	6.19080966994952	5.59946188408588	5.8697301471512	5.8716513208464	6.16766343727295	4.88415699653419	5.24443715410235	5.71690806835136
GDF9_33177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WARS_33156	2.59479774624822	4.01013989890851	3.19101421985982	3.31427591546128	3.46241722831881	3.60020888271271	3.21013717445713	2.44047815280972	3.61281978153984	4.09623174429997	4.50752552685619	4.47213837458861	4.42910800417295	3.97605160310969	4.09986953474101	4.6532325337592	4.65511787881829	4.74429850869951	3.35091215959504	4.46678741261024	3.91454952926358	5.18659970844624	4.30050146830757	4.69034901180565	4.17667001628347	4.83495529003226	4.5470498347636	4.88622457538364	4.8004366495742	4.7279813715659	5.15739202009571	4.83483332180023	4.6856663561632	4.16808904787414	3.86005073480245	4.26857890424312
