ID	S4P3_D10	S4P3_E10	S4P3_C10	S4P3_B10	S4P3_G10	S4P3_F10	S4P3_A11	S4P3_H10	S4P3_C11	S4P3_D11	S4P3_E11	S4P3_B11	S4P3_F11	S4P3_G11	S4P3_A12	S4P3_H11	S4P3_B12	S4P3_D12	S4P3_C12	S4P3_E12	S4P3_H12	S4P3_G12	S4P3_F12	S4P4_D01	S4P4_G01	S4P4_E01	S4P4_H01	S4P4_F01	S4P4_D02	S4P4_E02	S4P4_G02	S4P4_F02	S4P4_A03	S4P4_C03	S4P4_H02	S4P4_B03
	0	0	0	0	0.075	0.075	0.075	0.075	0.156	0.156	0.156	0.156	0.3125	0.3125	0.3125	0.3125	0.625	0.625	0.625	0.625	1.25	1.25	1.25	1.25	2.5	2.5	2.5	2.5	5	5	5	5	10	10	10	10
FGA_8632	6.39972262118666	5.67900146073343	5.76935967512714	5.73440862462872	6.48952644647272	5.95970264104229	5.60503639458795	5.8022415656952	6.1719955128015	5.89344878180579	5.37722105133469	5.53075762111396	5.43850128308828	5.62121332976237	5.60014182304546	6.13663381180412	5.51624708999248	5.9253398269283	5.50846129784593	5.69994862312271	6.0674256093129	6.24175559044171	5.09493926250425	5.94451902621213	5.72166458680795	5.94135312022683	5.34198655591223	5.40816235090217	5.50379072614401	5.65590594082172	5.44213203551755	5.55777254360303	5.49643139220343	5.7074921464882	5.4362948379641	5.45868733064878
LOC100912469_9108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYH4_32551	0	0	0	0	0	0	0.439107433521271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.929231480653935	0	0	0.661535313795868	0	0	0	0	0	0	0	0.401034569855785	0
PPARGC1A_33189	6.78049660543071	6.54426386714659	6.82219645037752	6.72880127222992	6.77552270407475	6.97835516932721	6.8345767283695	6.86989568247199	6.78943911158124	6.97188555363787	7.02482386605272	7.06288941402171	8.09143182802887	7.10987830100439	6.83828964025153	7.05724946717296	6.84324848802694	6.82245132592313	6.48571743440585	6.8854940233036	6.4265841535033	6.25499957491377	7.25033816925398	6.21422522799763	6.19737547747829	6.14286305221798	6.29231703734074	5.91762584032115	6.71457603459172	6.3218046039232	6.392157173128	6.79213404302971	6.3840788352769	6.16551931163146	6.58277465595459	6.34517818921905
ARL1_32616	4.74506402210617	4.81961816822447	4.88336564440666	4.48695984235988	4.65096682562659	4.7654119238784	4.65489600545286	4.88071685149328	4.62650545555341	4.78263858362709	4.41152126177093	4.96788652711824	5.198050469679	4.77457990694691	4.90054391445877	4.78854627545698	4.94129768994657	4.69125117515413	4.5398111352724	4.73446835341946	4.31881923713898	4.72647374490804	5.03872091293219	4.71805016125363	5.1696501732039	5.42718706833137	5.118624364663	5.18860084219613	5.13708234831864	5.63346328863548	4.84661708733567	5.43814489809506	5.12216831863969	5.11948459157431	5.07409251624586	4.84748772043711
EGR2_32969	1.17591099693631	1.46924396280982	0.397070072936142	1.30298260500765	0.487546753349267	0	0	0	0	0	0	0	0	0	1.71065574871192	0	0.240307443668259	0.506836549144684	0	0.828940424960204	0.654850676944919	1.62933673699208	0	0	0	0	0	0.999371035856855	1.06430444858265	0.830464378168959	0.407880152541977	0.459251041867743	0.814321812190954	1.01218294976819	0.714495200664468	0.977765629242793
NOL3_9328	3.04287043783397	1.27203159885618	2.60152872670732	2.71722377814672	2.20743321209903	2.56366233494132	2.07103755284851	2.2120317382116	1.82350781909854	2.05205458185605	2.49460734053768	1.99526276594422	2.21144653464177	2.00498185945876	1.8982914636881	2.17572825955575	2.20941819256061	2.12679065553859	2.06352833564914	1.7351498478789	1.44538714967988	2.04982626536788	1.50010576322602	1.89250138332591	2.27347559585174	1.44739801058431	1.45696124804767	2.32092162059727	2.32219505674611	1.89681503326264	1.56579676551096	2.45888982050812	1.89936776379239	1.86556165213534	1.83334992301915	2.18729713101257
DNAJA3_8477	9.87241397493391	9.94935958440152	9.91171462242029	9.94659777544939	9.91037643308367	9.99169912349203	10.0152114058793	9.92928796886317	10.0577997438055	10.0537557526935	9.95319518681849	10.0758351090818	9.91368216476369	9.93958477998124	10.0309007138632	10.0815916163557	9.81692880033791	9.82738612191487	9.85846200123174	9.7106995088865	9.91299473325983	9.86796521958444	9.54259991700203	9.8236309024778	9.84236933427705	9.95726974190547	9.82742760041347	9.87218725185516	9.91036275994872	9.93498930702222	9.91125356812157	9.80930755974793	9.7926187083033	9.90228922349839	9.90658971459048	9.88152599566719
CENPF_8287	2.92820239417204	3.13464439025631	2.93610994223337	2.84056701872891	2.81370537822813	2.39427368833306	1.94340462552551	3.41801832664861	2.38745783958841	2.57173138402826	2.88247769678234	3.25307606489362	2.54642749747903	2.64943471796368	2.69051308175672	2.91335559929282	2.68646262219019	2.54614302916306	2.65537990905563	2.90107643359377	2.24304276120014	2.46893930783647	3.00958087170797	3.77184952561721	2.53445540118499	3.50626487361142	3.36572621699015	1.32117330500415	3.43568899679361	3.00077865415836	2.47878777587066	3.14915952629288	3.04986157212016	2.65264606396244	2.27663178024392	3.32881549243553
RAB4A_9643	7.99833406068725	8.08920654311718	7.85186906715903	7.84125009450382	8.05286484868838	7.97450268371869	7.86833177091605	7.94395611494348	7.79944295028009	7.67386580723547	7.90533326574393	7.76094790232163	7.82881498282778	7.83156819370489	8.04686088713933	7.60733155569074	7.84379787570134	8.01110649676837	7.89366241024091	7.69708671040947	7.92389022819853	7.8536701677298	7.77736187474381	7.95865481598766	8.06868065032353	7.93386296857017	8.1033472669265	8.03492020517696	7.93482738772231	7.99272310337915	8.00835530020184	7.80024064486914	8.11417732305457	8.18908696865601	8.09310511439829	8.0339471972926
FXYD1_33322	0.704586512814902	0.436965088468514	0.963838554747233	1.46511852006895	1.58990415816966	0.408680404665989	0.775287057720356	1.32990649501302	0	1.69947589608081	0	0.512680145420146	0	1.3259149577573	1.49491553551707	1.00373334466075	0.626423330282817	1.6344330738661	1.31268511479886	0.828940424960204	1.59004406395335	1.26051043349472	1.62754519798348	0.929231480653935	0.564971339687612	1.10530147942454	1.96673507014769	1.80645631788978	0.788636407205564	1.35417867155798	1.56579676551096	0.459251041867743	0.814321812190954	1.50107180665513	1.9575767538999	1.70574063212382
DDX39A_32661	6.80100864498514	6.72880207008969	6.73047492223148	6.8874127648673	6.6994270840974	6.66581362009818	6.68297873120355	6.65266200147175	6.5367041406607	6.69975414902597	6.61986381810111	6.97753823055456	6.83514657670198	6.49038043442479	7.09010383487392	6.66559489240858	6.69466166904101	6.74247280547067	6.4788754138906	6.4629255890519	6.50623841811334	6.72363184281397	6.46782106904359	7.33948052778769	6.88219527191984	7.12668710321431	6.96481393144335	7.01555980512995	7.26456084993523	6.9030900215898	6.74840198413054	6.99228131102107	7.04177365389479	7.03306584286704	6.83845876699684	6.78847247685803
KCNC2_33330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COPS7A_8361	8.90460474852074	8.8907991835413	8.86255699284901	8.95788404362002	8.85851451945915	8.97351271609356	8.98048065959804	8.89955126869198	9.02439737128484	9.07208234552041	8.86156574284768	8.98602410043548	9.25091070259328	8.98032285555079	8.71088315984737	8.89161183087859	8.82459580369722	8.81285916904817	8.81182541177952	8.48644285807968	8.72429459110894	8.81298357088574	8.63215458713188	8.11269860100601	8.36771627094884	8.47194862246121	8.4101079405313	8.49460031111694	8.5601444083951	8.5918903614034	8.81147203376234	8.47861466094749	8.49997481637717	8.47210472452972	8.81979415607468	8.46442333883637
IGFBP6_33233	4.76190313181612	5.1707902956504	4.04655332117159	4.79214733836188	4.65096682562659	5.49852509756789	4.88074539887136	4.89546803966515	4.57619960150152	3.03440139167523	4.20038338649885	4.4812284155743	3.6437886400935	3.21537580690601	4.0799471676944	4.49897954218987	3.71626357801538	4.10482687351871	4.59147205884264	3.36689048290591	4.71566999410907	3.28151735330898	5.05014120498427	3.19193401218877	4.2997550719503	3.7725002839205	3.84605155651428	2.58391407476081	4.74546077875292	4.38166893955095	5.03092254599528	4.62141649242847	3.17629022871713	5.18547931196317	4.78647727991671	6.21630438756475
