ID	S2P1_D10	S2P1_B10	S2P1_C10	S2P1_E10	S2P1_A11	S2P1_G10	S2P1_F10	S2P1_H10	S2P1_C11	S2P1_B11	S2P1_E11	S2P1_D11	S2P1_H11	S2P1_G11	S2P1_A12	S2P1_F11	S2P1_D12	S2P1_C12	S2P1_E12	S2P1_B12	S2P1_H12	S2P1_G12	S2P1_F12	S2P2_D01	S2P2_F01	S2P2_E01	S2P2_G01	S2P2_H01	S2P2_D02	S2P2_G02	S2P2_E02	S2P2_F02	S2P2_H02	S2P2_A03	S2P2_B03	S2P2_C03
	0	0	0	0	8	8	8	8	16	16	16	16	31.25	31.25	31.25	31.25	62.5	62.5	62.5	62.5	125	125	125	125	250	250	250	250	500	500	500	500	1000	1000	1000	1000
CRP_8385	12.8323311807596	13.2002872596822	13.4472042997314	13.5549756904306	13.555383921825	13.6615754289308	13.4106727312755	13.2970464482962	13.7401804818696	13.6509337918027	13.7099565316823	13.4567570969291	13.6559682073667	13.6608622827619	13.3530375873204	13.3002216563439	12.4936347621584	13.7765690271414	12.99408246757	13.4390635334427	12.882635237495	12.7861215955386	12.8214436834006	13.0300519074885	12.854420469432	12.6614750162529	13.1379887737193	12.447339500487	12.8170222652669	13.0442313160858	12.8816777276372	13.1308240684858	12.895770130171	13.0347340607657	12.9230877405801	13.6690552210139
PPP1R13B_9543	5.08060315714821	4.57351095413321	4.54838008266249	4.52776096095894	4.39211153316917	4.3019404915087	4.53730820872067	4.71945412483116	4.48610456808685	4.16906396539573	4.18991573738137	4.20306128382495	4.1316297539254	4.48135984240532	3.83800535768653	4.09977933671591	4.61951560565186	4.10988007965232	4.56632955752179	3.61449704667999	4.191081929717	3.77678879218813	4.3046383437313	4.49953066343117	4.21775204801693	4.61301770233285	4.36913366899948	4.36726152322474	4.41331967677803	4.19598915839528	4.10083876215591	4.66004520695513	4.88040044908918	4.39793179869739	4.09324648222958	4.47078446288195
ADK_32788	9.03136863505933	9.43850367816413	8.67736629650246	8.8654670590425	7.82041321361584	8.07851771610274	8.56409211553281	9.2269613213921	7.64068329055883	7.7453669180752	7.84908003593949	8.336448374143	8.15116849454658	8.14782009063	8.51146600346008	8.78226381640937	9.13251692910062	7.15471953956631	9.19850837429809	7.99624268187305	9.65547441958459	9.33080291162345	9.47206918106032	9.31969988200797	9.53566433505224	9.50728008392153	8.32592502679479	9.39536263405775	9.43658295226806	8.51478700921144	9.20872949823651	9.33505640846198	9.20997628208198	8.9848499358009	8.89612740260779	8.41965521474905
USP6NL_10141	4.71816562680917	4.14985102583772	4.36719995596433	4.00411562095492	3.71269054104181	3.7388127435391	3.95130471635679	4.52779470680814	4.02248616881235	4.00912899246582	3.88761521713944	3.80029987296573	3.66762874903503	3.69806671026599	3.80916991467261	3.97763505628603	3.67704294354518	3.65749436585903	4.12007685625914	3.33070819300455	4.74210528969768	4.18219816185252	4.23447499366569	4.2877291824419	3.83919370227862	4.42147291530284	3.88417418680992	4.44736356017559	4.12044831447074	3.77841170751368	3.86979040064416	3.96909513850013	4.1068022964893	3.03718556089575	4.44587601591045	4.07727324434635
CDK4_8267	6.30273044385349	6.54946351208294	6.07203586242119	6.23954785901786	5.94378787026047	6.4171927124481	6.33695599275783	6.3431618010783	6.39235946365607	6.14658877608616	6.2499926582606	6.31073935194088	6.34193702430399	6.57488483773741	6.4759029314168	6.83666447893472	6.59197921603029	6.75344782868978	6.85842810940509	6.4775291522482	7.35814085830858	7.04998270639412	7.19995599758609	7.19578524172853	7.13509856487768	7.21705752263569	6.11213305363693	6.84427153469088	7.03525657574753	6.84897394548485	6.8970803502554	7.08424513003587	7.04548661722738	6.7355034070921	7.0120513688383	6.80944630761056
ECHS1_8519	10.8242144490816	11.174458093955	10.8429822010841	11.0578609297321	10.5116897020928	10.9824809465835	11.0561158441799	11.0641487286779	10.5121826971734	10.8022589432618	10.8824484722086	10.8121605363306	10.8868488644801	11.0486392187251	10.9446433161973	11.0452885970517	10.9277895270597	10.3768480493851	11.2612576000674	10.8856553998798	11.2214704379995	11.3266256752022	11.1306286571045	11.2775507345666	11.2136519704514	11.2245428041936	10.6717601956676	11.1409840476678	11.2998621161306	10.8715485775077	11.1263616379663	11.1180224707557	11.1661567853595	10.8725164610181	11.0124674476741	11.0229816864636
LOC679753_9131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.359511976188536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.299635667837341	0	0	0	0	0
COG2_8347	1.12891478873043	1.04909438896288	1.78855793742831	2.00329343548885	1.26797897541858	1.76145677364611	1.02396318971294	1.56872187953883	1.11980732622098	0.855202295542202	0.33959619230029	1.6375169046319	1.38235541764893	1.32038608383362	1.4318641149021	1.07963424044315	1.53692515532787	0.600638779149278	1.36504018819173	0.392262256087161	1.9032778173175	1.53902262840655	0	1.68083214625015	1.83858617224369	2.29627535027497	1.20852692340483	1.74700575844043	2.22345679787776	1.06813302229464	1.72610552258857	2.14930757386521	1.0383367854621	1.61338090016323	1.27368903089014	1.46701009918315
FITM1_32465	0	0	0	0.416136146694845	0	0	0	0	0.371051244286421	0	0	0	0	0	0.359511976188536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02136610733831	0	0
