ID	S1P3_F01	S1P3_D01	S1P3_E01	S1P3_D02	S1P3_H01	S1P3_E02	S1P3_H02	S1P3_F02	S1P3_G02	S1P3_A03	S1P3_B03	S1P3_D03	S1P3_C03	S1P3_F03	S1P3_G03	S1P3_A04	S1P3_H03	S1P3_B04	S1P3_D04	S1P3_E04	S1P3_C04	S1P3_A05	S1P3_F04	S1P3_G04	S1P3_C05	S1P3_E05	S1P3_B05	S1P3_G05	S1P3_A06	S1P3_H05	S1P3_F05	S1P3_B06	S1P3_D06	S1P3_C06
	0	0	0	0.38	0.38	0.38	0.75	0.75	0.75	0.75	1.5	1.5	1.5	3	3	3	3	15	15	15	15	50	50	50	100	100	100	200	200	200	200	500	500	500
DENND2D_8461	4.32591453179375	5.39796695858051	5.41033812365656	4.7376607837673	5.17328294978108	5.54959114760163	6.20353745445849	5.55289849594283	5.87094797783732	5.60338279342654	5.58623948388806	5.04244260595466	5.23642538460445	5.47009139141242	5.30755584938328	4.73593380379541	5.43206686956445	5.20182441447403	6.4210053073496	4.97303295680244	6.14639964527141	4.7404653348424	5.04018858944722	4.66586906693655	6.04408323400464	4.9879893936343	5.07549470191545	4.33206499625546	5.18351008376087	4.48391352827949	4.14287024580888	2.86150544877521	4.57498182687113	5.04559245927519
SNX6_9913	8.64179830515135	8.39459943643005	8.01945425276986	8.68258958830714	8.41660142143889	8.40187272752675	8.41244071077258	8.27856081722757	8.49101774748873	8.37648796381386	8.69984783439839	8.8055062882689	8.89627664686874	8.88952412091246	8.36044738984441	8.53338989320793	8.76922311465069	8.67017327168299	8.36901939900746	8.80126437231743	8.88192689810757	8.65174388874073	8.7715573424891	8.77441412458214	7.79828160637775	8.31224831497028	8.63545363153724	8.53493072779326	8.34977173235428	8.04790749134574	8.10552492150024	8.22502492803647	8.23114322873309	8.38549003646374
KRT8_8978	10.4537168069512	9.90254178207463	9.8176905506129	10.2744425806166	10.1754615102541	9.89748926048992	9.78765985144168	10.0492329433352	9.81053794969215	9.56399048442266	10.212287939905	10.3673919732715	10.2526889666549	10.4917864097552	9.95348233349073	10.2090139386283	10.197203279895	10.4046576544794	9.47166964145794	10.5631579546054	10.2160785669869	10.3533997569851	10.3356919598449	10.4976267963154	9.75580520702008	10.240233691166	10.4603881234727	10.5471118389671	9.52453014755597	9.65054124734823	11.6135942227972	11.0459068669609	10.1538230057001	10.5309908249076
SOD1_33183	12.8362582434979	12.5270670491499	12.3710253744177	12.4351231555618	12.2964776168799	12.2621410058364	12.0082796834196	12.4044222428393	12.3810360095637	12.3686286654885	12.3180289582211	12.6215727838221	12.3950168045943	12.4969735583608	11.8810766230894	12.518567463752	12.2680784173238	12.3262414916849	11.5482061356369	12.6975658073094	12.0735462607677	12.3186864136173	12.3053245401589	12.263610101935	11.8994444675127	12.2861699805276	12.1642065657644	12.3764802162424	11.6949381001496	12.0242080756203	11.7318859932804	11.9102897976378	11.8566351225479	11.930218767566
HSPA8_8845	14.2673582117848	14.3801099040511	14.277209072008	14.0565836343356	13.9520844146943	14.1629054148764	14.0899913364506	14.4180339371953	14.1123161850316	13.9304930181171	14.1253115260319	14.3268214502672	14.1063093161443	14.2282529766753	14.1838454167646	14.2055514779746	14.1054058615081	14.2859967123088	14.1820204994478	14.0831895173915	14.1956061217995	13.9570465887784	13.8885537452786	14.1662250618489	14.3518871835579	14.0434200688577	14.1318288435456	13.8086378519453	14.3450924897464	14.1901562293004	13.811030821444	13.7581533798413	14.2162932421196	14.043015491107
SCG3_33017	0	0	0	0	0	0	0	0	1.560692663351	0	0	0	0	0	0	0	0	1.84330179806989	0.542539350363805	0	0	0	0	0	0.66489917813005	0	1.00858107569143	0.531209312515354	0	0.630513387312701	0.353616744105929	1.21382800760557	0	0
ITGB5_8928	6.53624089786701	7.76618224020539	7.71964588930281	6.62614281684577	7.16666005635243	7.22854712467207	8.09231000979641	7.3806228449927	7.23046735559463	7.99129630063366	7.51657872452052	6.69803444718007	6.83650337110346	6.97226924500795	7.1521053069846	7.19314497154872	7.70246641661456	7.02218775438555	9.75768225523294	6.89959618715245	7.86003120457424	6.77296712859287	6.98158897569062	7.04881062880175	9.73117192360421	7.19957257817269	7.16673873665668	6.72864232634914	8.4817148126625	8.90951925552866	6.77249738358098	7.15834407238285	6.95367511165812	7.07529943460406
DPP4_33201	13.9658344652552	14.0637975888744	14.3335816872206	13.9836918097708	14.2602601733788	13.9603044588111	13.7498397940587	14.1990284278023	14.1146175742883	13.8859750273317	13.8872105399721	14.4765700950418	14.1023884590564	13.7574687167801	14.1255326662667	13.7052815233004	13.5287973352755	14.0917276364556	13.044514442119	13.9833370865119	13.7139734118058	13.6279232247025	13.7110400599541	13.9790252569034	13.2029207457797	13.9477129242656	13.936252973006	14.2229451138688	12.9383248893505	13.2060937632994	13.0266321879804	12.9115237797021	13.7600816942726	13.9734584152336
HPD_33114	8.30505516537132	8.53413337055384	8.57979559628016	8.77331012091295	8.35952835264376	8.87907480339253	7.99684132494478	8.58827338380037	8.26276596026736	8.37971419047869	8.46250081103635	8.82072836414504	8.27121147736663	8.90590566573647	7.72728675226339	8.36487560023799	8.01306301395477	8.88286060549222	8.14070160314875	8.7695343889945	8.28893712437307	8.54380424261701	8.39827640231318	8.42799720834982	8.75160602390444	8.93936113836	8.6427771915056	8.86333827247041	8.24162810376232	9.26546926618686	8.96296383270156	9.59356094686601	9.18478454357423	8.91235627454556
