ID	S1P1_B11	S1P1_C11	S1P1_E11	S1P1_D11	S1P1_F11	S1P1_H11	S1P1_A12	S1P1_G11	S1P1_B12	S1P1_C12	S1P1_E12	S1P1_D12	S1P1_G12	S1P1_H12	S1P1_F12	S1P2_D01	S1P2_E01	S1P2_H01	S1P2_G01	S1P2_F01	S1P2_E02	S1P2_F02	S1P2_D02	S1P2_G02	S1P2_H02	S1P2_C03	S1P2_A03	S1P2_B03	S1P2_E03	S1P2_D03	S1P2_G03	S1P2_F03	S1P2_B04	S1P2_C04	S1P2_H03	S1P2_A04	S1P2_D04	S1P2_F04	S1P2_G04	S1P2_E04
	0	0	0	0	0.1	0.1	0.1	0.1	0.3	0.3	0.3	0.3	1	1	1	1	3	3	3	3	10	10	10	10	30	30	30	30	100	100	100	100	200	200	200	200	400	400	400	400
GLI2_8713	0.297414030338568	0	0.609777506459457	0	0.337499522465789	0.254654199417892	0.214674927329132	1.0173838434713	0	0.329964833938458	0	0	0.476468618904509	0	0.888707047219918	0	0.486797739649117	0	0.48275292324042	0	0.576760939060918	0.366415141899227	0.327566734448321	0	0.19800432566601	0	0.385391277037812	0	0.918734038624164	0.435473499656784	0.466614474432308	0.887078188709205	0.243669559864576	0.291256502314713	0	0.624995891179381	0	0.262951861571156	0	0.473164736489834
RGD1565356_32319	1.24709974299104	1.41503731142795	1.50644121386082	2.13923674032024	3.82560597135331	0.825540599455089	2.12739906763935	2.02599784063564	0.8666533757031	1.61157933688797	1.38667979373868	1.82942135217977	1.56397282524791	1.79074444617226	0.888707047219918	1.72292964566244	1.58815927243112	1.4807618828715	1.91909344492005	0	1.78972269736908	2.06371031623486	1.18553379489829	1.30393906024107	0.795394855797571	1.41974641474664	1.1537119649898	0.746260764808491	1.87631737101605	1.26868496519889	1.71860375949798	1.64319445914463	1.40925706804458	1.69468227545437	3.18961039090421	1.74397211615801	1.65417258723346	1.4851084161303	0.422341366901442	1.3519702350796
FKBP5_8650	6.39804282337367	6.45738058193143	7.11431741887421	6.8676473500617	6.83376612589198	5.90400647181681	6.61334328631165	6.61916743807272	5.87381252172656	6.91899363652876	7.2553841692924	6.9560206662684	6.94822108601654	6.14360005086521	6.61578158127747	6.110851700423	7.45267485070441	6.68140748723598	6.98843723633886	4.83292050093444	8.39001247561521	7.15957325752462	6.31302233894111	6.94454894921077	5.35804616995121	7.35029611926882	6.82502921311398	5.81278884475187	6.15676064075646	5.40004223676373	5.91142189179832	6.26723047224921	6.0312217650914	5.881168976862	6.63497615350972	6.38536396273484	6.81591053190121	6.48493701998456	5.1156144734536	7.65449357230604
SMNDC1_9903	6.26264010605658	5.97918669346765	6.58811969042413	6.47754552738759	6.59111712090864	6.02441976570197	7.03649495073958	6.58878621842936	6.26219620500447	6.26322049373809	6.41976713926863	6.28883642456031	6.41832672318363	6.03353161771621	6.53859608488606	6.18572964742851	6.22583209299736	6.39711291644245	5.6967777513031	5.6995456044702	6.61212954715481	6.6041523391751	6.60133165017983	6.71500992248735	4.92704749388224	5.96160212463065	6.52270797622245	5.88071197752212	6.35810554598792	6.04074447628296	6.35002103091204	6.75525848065133	5.87263482014099	6.10866033750656	5.88432980829514	6.22729459961804	6.19054356664122	6.14925876082245	5.31366215603466	6.04896425313916
WIPI1_32665	2.74921038008111	3.15650421882638	2.70559100534177	3.24993420554498	3.95382932877167	2.84349989072189	2.79418068671298	3.83947428014772	3.7389215732189	2.73413950995945	2.28552931437107	2.67619104031709	2.86023607316927	3.3247756685441	3.33382982828098	2.89587838656235	2.81146375756823	3.02924850267304	2.87941603946299	3.12104336471251	3.18740325376584	3.09047812787091	3.38282182432726	3.10264829243453	3.25284053423334	3.50936468410153	2.95171982740157	3.02025596086946	3.37152886527184	3.44173962963155	3.2902542923058	3.53826931801374	3.21412755488411	3.24805087937681	4.25191185894815	3.24710227656108	3.40133119044752	3.35005048056694	2.96384642512884	3.31142726161024
GSTA2_8756	14.0569722578926	13.5323657719645	12.8756055053892	13.0985086353549	12.8394825538764	13.3476410043792	12.1536917840304	12.2502381938905	13.8145798512414	13.1313395227622	13.1841311849579	12.7188993154599	12.8634869827103	12.9075241422725	13.4984527266597	12.9844923697845	13.2762842296346	13.4111963357862	13.3126331180636	13.8659420330811	12.6393162819704	13.7188527202984	13.6611103296829	12.8557834512519	14.7300054131489	14.8104131923428	13.1013886244864	14.5698995423501	13.9289292373163	14.2918959984804	14.0943950718179	13.4288618115872	15.4939035517614	15.4999300941995	15.1776520796633	14.0365461606158	15.4036573470726	14.5238137671102	15.3679755632847	14.6564965258004
GPS1_32610	1.61374688235369	1.02974719004639	0.609777506459457	0.278378030580267	2.1461145722819	0.659147519529883	0.566890372791003	1.83212533610455	0.349904273204873	0.329964833938458	0.403761216571734	0.360388624834762	0.476468618904509	0.863920965641536	1.09447574603029	0.546177969740159	1.14011959086517	0	1.13239449004393	0.450669885883363	1.30713154764767	0.901059266565298	0.594348027033689	0.315956638273984	0.667612280648082	1.22669831717969	0.689234742368779	1.60042134650059	0.531296958924213	0.76952567264159	0.466614474432308	0.510671723912037	0.634129653558748	0.922062599111384	2.10756513452583	1.48921139481469	1.11857463603979	1.26274548024996	0.887721495486251	1.64838799125386
VAV3_10150	1.90584200613179	1.62449066182575	2.64621761274183	1.82943025181433	1.21277066720401	2.09823280086649	2.22964188817191	2.6138202821604	1.06894882546192	1.93614230491034	1.84141752712405	2.39412309322683	1.74330082229647	2.27099642902466	1.70960359942767	1.9112209396232	1.76891934305579	1.4807618828715	1.75891960597299	1.30258155653848	2.15071498869326	2.56449379561202	2.415005804697	1.67966312212902	1.38858362701483	2.42115609749109	1.50451056763269	2.43385599972496	1.87631737101605	1.93313329619924	2.14950846189041	1.99022652370979	2.04544530585007	1.59136839606392	1.32445279104685	1.89182050583673	1.90036951500653	1.99962851362043	1.52132899892317	1.89416140472864
PRKAA1_9558	6.04480612238053	5.98868439094398	5.11542975305284	5.38026676238647	4.04878689941084	5.73127643183554	4.65688553443295	4.94031252254263	5.78324143168321	5.54667616615064	5.19080329468828	5.2967941769849	5.47372378653872	5.32501271284006	5.47337514577225	5.94832053151851	5.79652020995463	5.39890096851222	6.0307782696495	5.6995456044702	5.61238032944254	5.18093374415738	5.28463869151813	5.02608959040186	5.94508118014447	5.66081998403179	5.64368998504063	5.21889797234654	5.36003082661985	5.76971622697915	5.11286416136183	5.27796585671461	5.63157298775038	5.75537431952964	5.02644397519678	4.60376736624982	5.42533921231436	5.61422461828953	5.93139387024198	5.42358931633934
