ID	S1P4_C05	S1P4_H04	S1P4_B05	S1P4_A05	S1P4_G05	S1P4_D05	S1P4_E05	S1P4_F05	S1P4_C06	S1P4_B06	S1P4_H05	S1P4_D06	S1P4_E06	S1P4_F06	S1P4_G06	S1P4_H06	S1P4_A07	S1P4_B07	S1P4_C07	S1P4_D07	S1P4_F07	S1P4_G07	S1P4_E07	S1P4_A08	S1P4_H07	S1P4_C08	S1P4_B08	S1P4_E08	S1P4_G08	S1P4_F08	S1P4_D08	S1P4_A09	S1P4_H08	S1P4_B09	S1P4_C09
HRC_32693	1.61945697309393	1.63369592794372	1.75047290123212	1.95409503107908	1.94887574730823	1.34207197377559	2.0082429690376	0.444525115052407	0.60557339412583	2.6934247220743	2.20804173386741	2.13213159798551	2.28817575363946	2.80721410478769	0.559227177098182	2.00323623382399	1.28331462695647	1.97862775657864	0.991391729576993	0	1.75573097763243	1.50486681724206	1.56305168593256	1.24559929540487	0.960695603721502	1.75739673846502	1.90136629033917	1.39591324453751	2.04884150832076	0.746865158011123	0.845205127092385	2.06866340867639	1.0540070099616	2.53876966227483	2.02830640070943
STX1A_9966	5.44255107508423	6.33836440819001	5.46838122042956	5.38920851871801	6.04791348065031	5.43351589567184	5.76031112775228	5.6251552231918	5.89281208285668	6.15434583278543	6.77288458927322	5.09104592770577	6.36758077846517	6.10343447439892	4.62491881069894	6.24584243294849	6.26679965192333	7.02693208503314	6.49071731522723	5.69297306988233	6.09690762739068	5.06484247470465	5.69555769825345	5.09517848780323	5.79615571181156	4.06809446273924	5.91888187541917	5.923975360786	5.2360092805002	5.36979706911106	5.67752995443416	5.90058791133345	5.76510813429619	5.37476178326993	5.94389135019122
CSNK1A1_8393	8.66969419466739	9.01955174068123	8.73768804363987	9.02481692278928	9.02694906509799	8.97879538007782	8.52704427713306	8.7276994775439	8.88101668564459	8.91957887457467	8.88477008370731	8.86205318230366	9.1383460463271	9.00000177399354	8.48192133219291	9.10671871439556	8.97410311085438	8.98085082281689	8.74210528267126	8.68660294920079	8.82689998773697	8.89239119424564	8.933820172461	8.84828030117392	8.98383860340763	8.72860270460158	8.77786308045927	8.74083883566342	8.71344507671911	8.99035815203189	8.78358476321889	8.85270346047369	8.83578472162196	8.64929253798623	9.12854621684321
ARHGEF12_8080	8.67701818655847	8.42454420846976	9.1028790108211	8.84154908701478	8.76235715562396	9.03476228774501	8.67522272250351	8.63383429698121	8.63066830366869	8.67942402539104	8.33175900897558	8.79647350733182	8.16684005220039	8.32837916223857	7.88748193273302	8.75584743341082	9.16398723816422	8.66846978107622	8.52581018002236	8.58329887686911	8.82406536598178	8.91454058886626	8.88196023918976	8.58741545999142	8.78671456100625	8.83020439991237	8.78608194179289	9.0743701705443	8.41907155169261	8.79715637438478	8.88185857292191	8.96125743443277	8.9304800419983	8.91316837875378	9.25753267973225
TPM2_32337	7.75509847365754	7.01678083420338	6.29140667717824	6.70722392988432	6.62790924511277	6.52890749982799	6.97552227840083	6.92516007502407	6.67507034517274	7.38678200555001	6.80660443854993	6.82064244996574	6.71660736518341	7.30092941637754	7.77347326930867	7.69545443166314	6.67714549858484	7.40900449010067	6.99781644145153	7.12655285262905	6.68110666999964	6.43916798270907	6.34244916542465	6.90380172513133	6.49100835878273	6.70829856282874	6.86520097507401	6.27345205957024	6.75709985629392	6.78816366518185	7.71757226284856	6.91220723546533	6.72854326834555	6.85375311539688	6.70968102133326
CALR_8190	10.7865405141638	11.8832893255648	11.2856655676382	11.2576819943825	11.1566604260088	11.0830813783625	11.7058135674607	11.2616543913025	11.145750709299	11.7793960355328	11.676913351989	10.9328555604645	11.7962915953132	11.7699409055198	9.92567360146461	11.5604986347	11.4489314974137	11.6202486687338	11.9449091718485	11.5765846045633	12.0920032622583	11.276381144438	11.5190474383043	11.0487328945998	11.7039939584296	11.3046304799154	12.0094675273727	11.6246695848499	11.8800346936764	11.2776722503686	10.2756459713473	11.7624598491085	11.6724659469279	11.29594753778	11.7191397299293
ETS1_8577	3.8551783101909	3.32814684044851	4.82936174841589	4.80623208997377	4.43701915515016	4.69745203069924	3.37449024210956	4.01403171344174	3.57933114558129	3.97071814693743	3.32929469842775	4.75174718557984	3.73978268690784	3.73893366205536	3.51305524731734	4.54844928911242	4.41377362671948	3.94289952578273	3.4437418119195	4.13466539507949	3.39340180068981	4.78924818468156	3.77674441204373	4.4307907178436	3.895138265841	5.08893205597327	4.06437344688313	3.87823749961693	3.83542245983414	4.24570664353317	4.72730215213266	4.85885150171929	4.47965190235336	3.98492725670794	4.51708281510514
GAD1_32823	0	0	0	0.288220247566203	0	0	0	0	0	0	0	0	0	0	0.559227177098182	0	0	0	0.410739784534561	0	0	1.34008020351379	0	0	0	0	0	0	0	0	0	0	0	1.38053226720578	0
PCNA_9442	8.40883521415395	8.17657612167821	8.21575360003857	8.63236975830537	8.55609245999814	8.37260985127688	7.93455975163683	8.45697438962063	8.28958948631721	7.88879008307655	7.90504314262998	8.53652448270793	8.38216690698072	8.14449453523707	7.83758840094068	8.32321922493421	8.60587709042109	8.11279057985488	7.58273417252276	7.87643360332423	7.90977375382775	8.39154240236015	8.66752765080513	8.36787385569181	8.75441415657172	8.15440984933225	8.13299865639762	8.27011065276287	8.16256228736038	8.38356575078632	8.40735729419913	8.86416215787646	8.35934107324103	8.16213274603249	8.23880073943056
GLYATL2_32403	5.79195944630482	5.22431427820275	4.60942492216492	4.43064400809148	5.65157480911191	5.49619407469708	4.9507905956077	5.81281938786686	5.36323838536353	5.13954713826807	4.61665759056545	4.95776890225678	5.34163219915728	5.56163252638999	4.62491881069894	4.68596959514152	5.42838631707987	5.420553815543	5.24371244780395	5.777093117409	5.14836959472901	5.1039195425431	5.17736275386913	5.16300457939089	5.62230522029782	4.78068993665692	5.42448246834426	5.20531890512529	5.49728229659651	5.41635872122166	5.80632125313481	5.40220892430141	4.8136515847661	6.00773243697797	4.87762609598033
P4HTM_9408	1.61945697309393	2.05471096712206	1.27429925893751	2.11002702809887	2.52804430879092	1.34207197377559	2.0082429690376	1.66229509363423	1.85116611204356	2.24536951742067	1.61769525569521	1.32414414380761	2.17991083971963	0.770450174842292	0	3.06269013260836	3.26361329208239	2.47901563623892	1.57347335468161	0.601857253772702	0.919427932439238	2.63404102360536	1.97532678666385	1.06828300685248	1.94063442367492	1.62445924280725	1.71357416284391	1.71552929921307	1.14196990027235	0.746865158011123	0.845205127092385	2.9784687829061	2.40739477182995	1.38053226720578	2.61638004613323
SKIV2L_9830	5.27890784044976	7.27756620731345	6.14964097395217	6.450600471793	6.31884389176714	5.89082987513139	6.91537298106434	6.17173965837314	5.84124366827528	6.99916670455836	7.09011950217398	5.89844732486737	7.15943211476335	6.9601797439524	6.85277399644975	6.61406362203596	6.35368706004621	6.74867707064737	7.09833427749197	6.86344547529038	7.23884865647809	6.15278677846013	6.22168612716984	6.53284957119899	6.6580240444	6.05471970651296	7.70988833818337	6.74654269889988	7.43741170404843	6.56351896933343	5.53610417950897	7.45326413696088	7.07103099202308	6.2549581793612	7.00694982187913
SPC24_9924	6.12750406968489	5.82071585574618	5.4913145208315	5.88109744795402	6.18027497960902	5.73322285224932	6.19471318270964	5.71709652289409	5.97884593970713	5.4075313281346	6.04807446485265	5.73494115666846	5.61544792470377	5.81776278808242	6.18921006163005	6.61897926244858	5.29422908402025	5.89474037682984	5.19265458886743	6.27826403790657	5.86652457061855	5.15442842648959	5.92174218759215	5.9704548444364	5.75461741365175	5.26674095536832	5.19233959376434	4.97024833419479	5.4895525794189	5.94705235434931	5.82671146804837	5.03139595476217	5.13856787365896	5.3323241529991	4.87762609598033
IL36B_33203	0	0.27537295971013	0	0.734134065433552	0	0.468622808937639	0.931210980935774	0	0	0.655927437563593	0	0	0.770829975363087	0.436056258831705	0	0.416117050696163	0	0	0	0.601857253772702	0.919427932439238	1.15401484601921	0.406859890411379	0	0	0	0	0.407418191461093	0.311926547092863	0	0	0.796849165929176	0.281262305996391	1.13929469154901	1.01893250815243
B4GALT1_8124	5.73695628271388	5.71493780259117	7.42002390122275	7.00419307598981	5.90217029691145	6.67152284001464	5.17256229745025	5.84034012158694	5.18854611716654	6.45338740318496	5.14545449524686	7.10301244971876	5.60501864697808	5.7811984125977	6.08237552356508	6.37930090696702	6.60459551396336	5.8707694818955	5.21840937765187	4.80316462591195	5.55624138624337	6.2313565622687	5.952427657105	6.09143212259387	5.95862713851151	6.98742061914716	6.1494932924805	6.15292738255677	5.44228383774322	5.77012208648318	5.32299125686265	7.54914409590231	6.89434770525704	6.44618792358455	6.63218217769731
