ID	S5P4_B04	S5P4_C04	S5P4_H03	S5P4_A04	S5P4_D04	S5P4_E04	S5P4_F04	S5P4_G04	S5P4_H04	S5P4_B05	S5P4_C05	S5P4_A05	S5P4_D05	S5P4_G05	S5P4_E05	S5P4_F05	S5P4_A06	S5P4_C06	S5P4_B06	S5P4_H05	S5P4_G06	S5P4_F06	S5P4_D06	S5P4_E06	S5P4_B07	S5P4_H06	S5P4_C07	S5P4_A07	S5P4_F07	S5P4_E07	S5P4_G07	S5P4_D07	S5P4_B08	S5P4_C08	S5P4_H07	S5P4_A08
KIF18B_32882	3.94455155542354	3.96024472336035	3.34305754561967	3.1192568610989	3.45764416689933	3.95282572426734	3.23621471359347	3.73881917250737	3.87320431105855	3.43805328383235	3.34623832157243	3.23161116254404	3.27075140097544	3.75490611630982	3.55454208671186	3.62371852920328	3.57068791494776	3.90822714405605	3.57853369279878	3.60462761423627	3.74135972537296	3.15291158302701	3.87692746339263	3.13244476195116	3.12642454509894	3.17743450993749	2.57588474099114	3.6986183537548	3.60588866615133	3.75072002846743	3.44834682597404	3.46115439234414	2.80632879499216	3.20569882409783	2.63218862113178	3.6219093146484
PRKAR2B_33052	6.43863372658508	5.66625307179923	6.25595429520926	6.35815825042568	6.63571336618568	6.2315432115834	5.86487093659771	6.20906495166739	5.55025444511703	6.37725536804552	6.72974787617842	6.22814057425208	6.06837507284544	6.39921898083312	6.42121631658061	6.06910122370145	6.22633587316651	6.26547202926528	5.5858648987778	6.15398204986195	6.73927079717774	6.10154589472035	6.71218443251415	6.06929753637441	5.36776715267265	6.48408426692219	5.83298709344145	6.2776627494316	5.78272553253379	6.57344663704473	6.00943330655052	6.41715525126379	6.14594252466957	6.26326381686437	5.12399958309277	6.49174391667405
WFDC2_10174	4.99426181571083	5.17860127527987	5.25201929501291	5.30903693015896	4.98979089281168	5.20288832948209	4.95804467260182	5.01959396798499	4.88239441142299	5.34222312991127	4.42441217712051	5.41332679093194	5.60567510764172	5.54526902607134	5.63106423640605	5.09470669812153	5.58751321291957	5.14558622200846	4.82612205306722	5.05336490061448	5.20185469154968	4.79915258149904	5.23585603874035	5.53932315985011	4.95961972762361	4.99626677717805	5.24272764990566	5.17799031207777	4.86058308635302	5.55305803910253	5.02709358446853	5.08190334258378	5.3922563338424	4.68245396143681	5.01553812881714	5.03436541376159
TMEM176B_33294	8.94652026590437	8.74862070571396	8.87792349800384	9.14534530695213	8.83060513802899	8.94020325373682	8.66117787674133	8.87978712789008	8.88870042047275	8.858096116068	8.4178253846995	9.15478409255079	8.89532185181328	8.92920569732729	9.14064654840533	8.84147425366994	9.00478978932579	8.75613398750746	8.82419070300965	8.94386581854201	8.89785846724604	8.63573414508379	8.70093232815717	8.71608771053142	8.70790352491304	8.73114319119579	8.71898906269493	8.91129427764228	8.83863673294554	9.16868903865332	8.93655905961383	8.92153164873551	8.88823566980571	8.6750423088259	8.58046004188427	8.86961482292399
MGC109340_32287	1.2866874622759	0.902698276570771	2.20929594741323	1.66393917176845	0.688324516316599	1.4411447083714	0.784074465311732	1.20782968914614	1.22385449236601	1.19108472115411	0.889876161693864	2.11179720401547	1.3520981457678	1.28359362863153	1.3119134793561	1.00813933660175	1.41907024917136	1.33844689157742	0.856677117402973	1.55205737974285	0.610278086627187	1.48772014120685	1.19639799885426	1.78314133070802	1.60165653924947	2.26655332365472	1.64465369283336	0.643146131155268	1.37655452758758	0.830917448240539	0.498923395584383	1.85284755922059	1.73146743021225	1.68850806211655	1.81784758342242	2.11331650626478
RFC5_9679	7.10443016710595	7.05244026891771	7.13398239926129	7.16738646740491	7.45831267277261	6.93781667598809	6.89973043316808	6.95788700278855	6.77658921675105	7.13386959746059	7.62658830278008	7.06303802626431	7.04309824673223	7.23057200569128	7.24312320560121	7.37895546452928	7.08721700980514	6.99299410075832	6.97116892514762	6.71606082365265	6.92577084456625	7.13796677589989	6.93869884441845	7.05370191845371	7.19472225809358	6.83659136126313	7.20695795531834	7.17421355367856	6.96130852003435	7.23393320388055	7.20017834911183	6.91814818729082	6.88263867047895	7.20250264478563	6.86518847788308	7.00470683754376
CRMP1_32485	0	0.724361719574414	0	0.259620980318471	0	0.465913490433378	0.311110614728061	0.24747599741	0	0	0	0.432654973990005	0	0.495533261141256	0	0	0	0	0.26629560818665	0	0.337170690278598	0.29343735388006	0.331514430026487	0.736328806184243	0	0	0	0	0.296390337615015	0	0.270922740372511	0	0	0	0.199828303884742	0
STAT1_32366	8.09496451581192	8.21473176566647	7.91439867625118	8.6631441596979	8.8536692054794	8.32904354534813	8.30500272385026	8.22806863262169	8.22905051503105	7.91396889974827	8.85458398089887	7.89546547554806	8.14440220149349	7.89165434101461	8.14886388972185	8.35514233324405	8.06621798434762	8.0031672243058	7.89589224533021	7.99797433789749	8.33062255805896	8.41230963717042	8.07779626180642	7.68257942850881	7.9567871894436	8.3405147785279	7.80323492265904	8.11956735884724	8.21889939209659	8.35457552217692	7.9364621946615	8.02979367900299	7.89538435898493	8.42458648239868	7.98530831512322	7.88898598836442
MAPKAPK2_9193	8.84378193098039	8.81488618618543	8.77992922956345	9.03309070877037	8.87762110845268	8.863762516987	8.69675670287272	8.79844861660674	8.75136574407015	8.82309836768987	8.61353832812536	8.86185263706476	8.98141974217789	8.77982012965829	8.83642111468913	8.78173066536481	8.96244712536529	8.82259398708882	8.60512094690242	8.56642136697197	8.73625028825851	8.95840923729351	8.85857820451837	8.80683901344579	8.93960198274156	8.85968311808533	8.96599246744867	8.8920907481682	8.73124515864177	9.0322818019214	9.19839259009791	8.80770466168673	8.78259585999149	8.59186440225828	8.65572735204639	8.85983384295183
LOC100912163_9101	5.26421676540645	4.93380951862885	5.48112258305638	5.12566075329822	5.32662019881823	5.07004080016972	4.74151438038331	4.82378745597155	5.36004732951259	5.24793462642703	5.64525437216974	5.36517610381277	4.71638545251923	5.4937110835752	5.34562303217328	5.59483398480091	5.55577346171767	5.51867641151759	5.24390705318676	4.93684373164361	5.06104326179602	5.52705033617144	5.11200637979308	5.72029639447979	5.47065753010524	5.07993965714935	5.36357507670881	5.2507439756763	5.14723561748114	5.3839823608628	5.19107462027779	5.38967974064699	5.32424692176946	5.4417401650784	5.02214899603491	5.05616849935149
MYBPC1_33131	0	0.283791229848736	0.229704832129883	0	0.267600119444694	0.465913490433378	0.311110614728061	0	0	0	0	0	0	0.691322135454819	0	0.265752623469275	0	0	0	0	0	0	0.331514430026487	0	0	0	0	0	0	0.332971847277051	0	0	0	0	0	0
STK3_33031	0.970692910376325	1.66625594359905	1.14284805991656	1.12630214556608	0.493244940962788	0.96567648075548	0.972802679821865	0.24747599741	1.55057727421032	1.04919132467898	0.278881930887001	1.99007584967331	0.529737062423414	1.40019202708636	0.454888136708366	1.14638052806068	1.41907024917136	1.71948316404658	1.69147710844212	1.05208742810515	1.03780872061684	0.745599121702922	1.19639799885426	1.35266781781314	1.01253860399105	1.73525602550668	1.12533073788009	1.52227536095606	1.98727821680301	1.62145092311782	0.868937367660317	1.56515516678469	1.11124972160063	0.737227811109723	1.39735295335947	1.11396505946728
CRKL_8383	7.45417860430657	7.54083433556727	7.32932981651002	7.57494851696575	7.49789043931372	7.62713168327028	7.57654215314595	7.64055761466297	7.51297815983585	7.31142091452818	7.08282434987826	7.40120492739897	7.47591786320923	7.55844070988845	7.52300408559684	7.35954143269176	7.35955448174019	7.40230293610264	7.38216064658137	7.11505687793792	7.52131808102373	7.42603035933821	7.46066205129634	7.36473937376857	7.42057049545256	7.43245217935301	7.40097766438696	7.29438199810106	7.47002018044831	7.5698004131707	7.39159655423658	7.49652266046991	7.25376302216145	7.43156876831784	7.43367586569713	7.46345278770394
RB1_9662	8.61511835758896	8.66687036416997	8.59074309886173	8.58010700295902	8.91342938812744	8.50359300838415	8.57458074157817	8.60817013320635	8.4581820245387	8.63566774918365	9.30819943367013	8.48334951688012	8.36137016045962	8.59109782408797	8.5860122934399	8.79164184704356	8.64335750168877	8.67751376503073	8.58622172881651	8.43922991841206	8.60681125358149	8.73071207020097	8.58342895962742	8.58379153775951	8.60308837063559	8.64523968963152	8.61327022576606	8.57687630698975	8.52072497158892	8.59437693078141	8.48035689623988	8.67262350244747	8.52451626504066	8.83530063142221	8.40946603260073	8.59090007367405
NDUFB8_33155	11.2193486960696	11.2673113186327	11.5433460817603	11.5800602322957	11.7214427194741	11.4850330101525	11.245886493098	11.3075034016179	11.3973964775454	11.5096135669381	12.0255045499697	11.2222092246335	11.3747428330615	11.1262220600811	11.1548842904061	11.7627426337503	11.2098432600045	11.1613600015381	11.3293809630768	10.8879195834911	11.0919471433856	11.793200324592	11.5345028807467	11.2913048932011	11.1256202385166	11.2871054845867	10.9612645175154	11.1811977216441	11.1859912621689	11.1763874286144	11.3662369699126	11.3127045224705	11.4359344137885	11.3733389203875	11.4180980935843	11.3297875922065
ENOPH1_8559	3.26873899141035	3.62108735446602	3.54854650061475	3.35990273487489	3.60989698137036	3.25954541184765	3.1212139472075	3.54427756733693	3.45200739300416	3.81211915599942	3.25250203611013	3.76444654953629	3.54200854323571	3.77664043092993	3.7056447671473	3.39319168035512	3.94854306309916	3.80680967394972	3.36805874896526	3.57893679624213	3.31490071170815	3.53619837908564	3.36457369150317	3.79438150449593	3.60786733497908	3.63635389774698	3.78244710842882	3.47393766346795	3.57860782408574	3.83186461648173	3.55362146141209	3.6481067429309	3.54056434458051	3.88596854250709	3.63682730784262	3.64127159967526
NFKBIE_9309	3.73521861523649	3.51534816101527	3.92151168808995	4.22841647842763	3.53577811640769	3.74294697495958	3.56435485503636	3.69779808196178	3.52821905334574	4.07267776756509	3.15224959334857	4.01904439820847	3.77024578598883	3.88065609439408	3.78537687379247	3.8016591859261	3.82617048404241	3.80680967394972	3.86611167797403	3.55278018132351	4.04730509449457	3.76883865883075	3.90207488063199	3.96813555498383	3.91082088200922	3.77670835570147	4.01108397750555	3.81834550164246	3.8761804247471	4.33705449399064	4.1815861893316	3.85758054738347	3.74166346180202	3.86410843151643	3.79959133745623	3.75228624912313
MTFR1_9260	7.29282362494585	7.19838200046534	7.46093863725988	7.32648158708276	6.8496722966093	7.34540745219573	6.90842741502828	7.10437586289504	7.22600600940862	7.62607497229739	6.96463807083827	7.62727688177562	7.30835223036021	7.42717824232502	7.26588752917317	7.45742440244784	7.36688919141352	7.38040782747041	7.31579200067117	7.0464157967146	7.15626385610477	7.36219530536044	7.41553191012025	7.57752221589225	7.54682744129664	7.42713656695588	7.46219061879727	7.42430298628498	7.28408940451107	7.38273511925893	7.38626206312191	7.55780770218758	7.43397584665193	7.29118216211959	7.11445128973908	7.39808652093513
ST14_32674	5.7232365688162	5.36517180624761	5.90339747898389	6.98630542371529	5.96219974689518	5.76970360051644	5.83477045500136	5.88288283532083	5.52257493525578	5.77300341222161	5.36824648094007	5.76371860432983	5.84718070811504	6.29011425279051	6.76396296475826	6.20978421758854	6.32754304362265	6.10384022771569	5.4317853137458	5.57262016580392	6.2782361607677	5.98821282963379	5.72587882737551	5.859177056753	5.62734414227586	5.40236937628101	6.02321412069856	6.07219752144548	5.52849147896487	6.52952583098308	5.68384660769791	5.79231547099756	6.08148458911171	6.04260880049466	5.51466067273659	6.58967662387068
C1QA_8167	0.400458371678369	0.283791229848736	0.229704832129883	0.259620980318471	1.86767814686383	0.251683724758089	0.566888041250161	0.806129049624685	0.374980521010198	0.279618577143287	1.43618002734638	0.765051204660098	0.289047144880864	0.495533261141256	0.245298820834062	0.265752623469275	0.274132103535362	0.327455402612137	0.856677117402973	0.717312717157588	0.83982268376387	0.29343735388006	0.600904519675849	0.530024904738634	0.492605081958704	0.709543872549487	0.306032491765394	0.806509574545509	1.09783967741918	1.02745246962271	0.868937367660317	0.521406649814667	0.660073854351153	1.07834752439485	0.531753205363699	0.735842428236003
CSGALNACT2_8391	5.84466566257313	5.8350796926691	6.00769720733902	6.39917852718852	5.83405405461307	5.98035061790462	5.95157828091487	6.05110701057164	5.91562627909327	5.83377474306199	5.26000669069589	5.9051343432007	6.01493723471972	6.23230313788679	6.23851902043115	5.89370271010197	6.16454581893522	5.94584128503792	6.04152798847703	5.9586359455089	6.02767423193257	5.95712279888411	6.05220712026305	5.95004176415635	5.97410349378307	5.89864776905449	6.05432668250515	6.06414541318241	5.72168475850933	6.04790816170739	6.06390837638418	6.06982710076656	5.86400780853571	5.80513331621105	5.57884579706358	6.10575565803852
