ID	S5P1_D01	S5P1_E01	S5P1_G01	S5P1_F01	S5P1_F02	S5P1_D02	S5P1_H01	S5P1_E02	S5P1_H02	S5P1_A03	S5P1_G02	S5P1_B03	S5P1_E03	S5P1_D03	S5P1_C03	S5P1_F03	S5P1_H03	S5P1_B04	S5P1_A04	S5P1_G03	S5P1_E04	S5P1_F04	S5P1_C04	S5P1_D04	S5P1_G04	S5P1_A05	S5P1_H04	S5P1_B05	S5P1_D05	S5P1_F05	S5P1_E05	S5P1_C05	S5P1_G05	S5P1_A06	S5P1_H05
LOC501038_9126	0	0	0	0	0	0	0	0	0	0.265609451217416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAA1_9558	5.67888985306622	5.76541313057969	5.65359554531235	5.56228189835926	5.44013686176574	5.56387663110098	5.18364707183316	5.30963525719893	5.46023739192244	5.36550397443446	5.34826206025548	5.42445402136993	5.08019677766933	5.52418371215366	5.47679923530378	5.82517461212864	5.26398549459235	5.30433382603327	5.14311497786121	5.00968039635098	5.65755169032684	5.6407837687145	5.67375155786453	5.66505586884062	5.41617822981141	5.52207813004334	5.28577756202242	5.18743560182459	5.25706080658808	5.5349564460156	5.64382090125628	5.3001226367901	5.58240791992553	5.44872008448762	5.43749968461406
POLR1E_9523	2.79338889799058	2.43222970567424	3.44197957950305	2.80338630826123	2.81953555295443	2.66151187641095	2.67320397312319	2.44674024637885	2.68038664197503	2.82054931825755	2.89297726128611	3.36755944721031	2.40110298658592	3.0418263972836	2.33232460625293	3.69834213406866	2.23621777270673	2.66419451842188	3.05186838522962	3.10112772446094	3.12041966291564	2.80972559764686	2.92717422828763	2.67863268043914	2.31002021430525	2.1606788453403	2.48404356247363	2.88657307827315	2.79085889174089	2.40649032088951	2.48908935206722	3.20610634258283	2.77215024082322	3.14925930513361	3.30930389929241
CGA_8298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TLK2_10027	2.4196862460337	3.38165994547749	2.56897288872606	2.95943757563371	2.66595804131664	2.56491256752636	2.98461471190604	2.77771835775724	2.42753855221005	3.01346800033732	2.94863829114	2.99837799079613	2.84503030766532	2.07577290930915	2.48870940271951	2.96349094180393	3.12639553413243	3.10881907830884	2.759903202428	2.85660490538428	3.26493379862844	2.68040556883844	2.76668862311671	3.14148072751075	2.76688919956277	3.08120184759407	3.19298816888487	2.66203788600375	2.97733900765376	2.8977718008502	2.24346581492194	2.74345010015905	3.0740934673091	2.93150385658259	2.2542411200028
LOC679818_32331	3.68539376368769	3.19634855330193	2.56897288872606	2.95943757563371	2.19040124010303	2.56491256752636	2.62908947372862	2.72756384922205	2.68038664197503	1.77640947092837	3.15200990641444	3.28373859569024	2.26492160809618	3.41238946220412	2.33232460625293	0.979250945586752	1.66225169703617	3.34370824857444	1.90103855403554	2.85660490538428	1.40557328120961	2.43521310385744	1.8489740038289	3.11069740098859	2.45595280205903	2.63386777487635	2.81896546973822	2.98696496987312	2.48118224654621	2.77949745915888	2.37149855844784	2.49614392721247	3.11880020643381	3.60721498684677	3.77438755663303
ALDOA_8031	7.09024418584529	6.83380902518335	7.0342455187769	7.09764084091695	7.08081772940415	6.88249851925064	7.02753860647151	6.86144594056202	7.09834602201931	7.00167204499581	7.05916844908673	7.24133235433457	7.09881764682874	6.96352648155778	6.92491053876899	6.14860454833293	6.63904054647892	7.25883822692929	6.76650822685787	6.99094992400761	6.55315529822356	6.89755995637116	7.07387728219426	7.07023442098416	7.04338427243109	6.90348201623756	7.13023158188168	6.76355957156446	7.06320005739517	6.96318939193604	6.79548714625385	7.05385020091125	6.7092530045658	7.34870572629803	7.04010266958266
GAD1_32823	0.480786491644215	0	0.534593025020303	0.484105168533292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26349567572579	0	0	0	0	0	0	0	0	0	0	0	0	0
RAD9A_9651	2.30889735704243	2.73414210018061	2.95009549073826	2.95943757563371	2.95832596029193	3.13513311268154	2.58358338453627	2.96252987025408	3.0825892656096	2.82054931825755	2.57703107139288	2.64229909596441	2.26492160809618	3.21835190889528	2.33232460625293	3.33153151842401	2.71532309055727	2.47924528980254	2.58828550345989	2.56200630639304	2.73999544306305	2.38074563493505	2.5860898619338	2.72001154365763	3.15668793548049	2.63386777487635	2.86104401349147	2.72153187179073	2.90561279414244	2.82000921483073	2.83840983453007	2.64955135693107	3.1621630968248	2.93150385658259	3.17885325268345
GOT1_8739	9.0253833739196	9.49364697856389	9.74206237421599	9.12620509628388	9.49098669926129	9.2206076197037	9.16779103034674	9.12882350168983	9.40416704932563	8.84316713109518	9.00582855795428	9.15675906042714	8.50411453966269	9.51154012054712	8.8462975531394	9.28544349795754	9.06549700798276	8.6128323503491	9.34814194493987	8.60514338531867	8.57663157091875	9.455208644217	9.29229097166669	9.07268043161981	8.92196450085768	8.69436675312345	9.14767334502337	9.07268555139599	9.31680478499499	9.42364278385875	9.67623738978103	9.03701778644754	8.6194287770497	9.14498118224251	10.0974658392268
PIK3C2A_9479	5.50132681855768	5.56941269666002	5.54690724951322	5.52529023251462	5.26398849135607	5.33405089012089	5.35593729776053	5.03851175602256	5.45176992822839	5.16875727261784	5.62942411020547	5.38477152299797	5.25214538410231	5.46414554237797	5.00612315551996	5.76631120203247	5.07834598428784	5.06236941893913	5.22158042166495	5.61944131972643	5.34275128082152	5.1885560530162	5.30874710878519	5.41716268229308	5.44268466135704	5.54371125893442	5.05147794260208	5.41170635140284	4.92652618553322	5.23882849970622	5.20223157612371	5.36803040003524	5.38607877731252	5.31996766927098	5.46575169382938
CXCR4_8411	1.1286317103793	1.17399898777889	0.534593025020303	0.484105168533292	1.04914088813836	0.495455667578749	1.2293482053973	0	1.61403028991225	1.59523521960833	1.7387509770635	1.11447927374041	0.561482927852111	1.22643198961402	1.72525171992759	0.40470027374863	0	0.817767441522578	0.81530662587249	0.532002557549081	0.242752257532058	0.679109555051991	1.48629658347651	1.20417131537227	1.03963447042897	0.429883934782018	1.52587979474945	1.22176336461557	1.10157416560083	0.833619457486073	0.286556454534777	0.882803754525628	0.613639064806337	1.51824353138336	1.34631212503919
VIL1_33160	0	0	0.923770594187032	0	0.776411299458273	0	0.469025724372832	0	0.599569602236136	0.683859307302804	0.66390496334429	0	0	0.342526496099085	0	0	0	0	0	0	0.450480845409488	0.26349567572579	0	0.246460011486006	0.841393555169566	0.429883934782018	0.273631618553182	0.340805192006071	0.252150617103428	0	0	0.276185579027404	0	0.271614379459597	0
WNT1_32877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISG20_33257	2.70864174941846	2.43222970567424	2.45557966560779	2.31822439525398	2.07309757351725	1.60825559549418	2.62908947372862	1.11871446323165	2.49502483561828	2.97689301969799	2.94863829114	2.88916715599749	2.11453282622285	2.66891412004004	1.845861492897	2.18965139039375	3.17661080636802	2.66419451842188	2.62428115110674	2.32579329414807	1.83409202434763	2.20379854562964	2.20269262556922	3.17162091757472	2.31002021430525	2.59295098905133	3.37824990092635	1.97493142680467	2.75048547477122	2.93513575774128	2.9244350923499	2.44115564965165	2.59361245365612	2.97015609797641	2.2542411200028
TCF19_9993	1.1286317103793	1.52834328888077	1.229957269895	1.13497930568218	1.47620645615445	1.01750498357877	1.34295153839167	1.2665410945261	1.02185556340699	0.48983838076859	1.29919372776604	0.662282283733851	0.9646357713337	1.22643198961402	0	0	0	0.817767441522578	0.204058587846758	1.69138867727869	0.938277565326911	0.26349567572579	1.26382365117284	1.20417131537227	1.03963447042897	0.23089479742117	0.50354610136268	0.616288489024105	0.818788995094444	0.476200644993978	1.06944596906619	1.30854839958177	0.613639064806337	1.29284369237917	0.598560032211159
APOE_8064	12.7010720836589	12.5491160656022	12.3799269136003	12.5936548100767	12.9382145450571	12.6483999453853	12.6266943061185	12.7895084445166	13.025259089907	13.7353897075158	12.8283613114781	12.9214893273034	12.8801321500485	13.4729931800903	13.0046307628678	11.7225300355007	13.6910954742422	12.9648117200099	13.6575032562634	12.7832029776816	12.3904049696576	12.9986028717308	12.8033841541581	13.0895361290697	12.8530882585434	12.9749846031453	13.0031557626777	12.6276332556282	12.9007373119054	12.8678651920965	13.7957102082699	12.9025127332391	12.7603739427346	12.9632768370334	12.6450767058731
MXRA8_32384	0.840772142995116	1.52834328888077	2.04953818298891	1.5818767450264	1.47620645615445	2.29065339534994	2.15625731459905	2.09771018760743	1.83847674215869	2.59779201067051	2.42834057232415	2.16848330556441	2.40110298658592	1.22643198961402	2.33232460625293	1.38905421613581	1.16169473288253	2.82810534777344	1.64481700492213	1.87798336302475	1.90639700155756	2.13964089657164	1.7664897446788	2.35005568532649	2.76688919956277	2.10356120790567	1.97227265973781	1.76475763642572	2.14979954641004	2.11241360190383	2.43149169355201	2.05825854984933	2.52882764215867	1.51824353138336	2.08971111903226
SPP1_9929	3.72907751703064	4.59947906408864	3.38117301650575	3.78230133767366	3.71355307476601	4.75596313505673	4.73050939468957	5.1757647562317	3.89841542362962	5.9832280990831	3.93705701185279	4.16148000994326	3.3944740239535	4.30438414400941	3.61395512477659	2.70151257598643	3.56383010252134	4.77148034848839	3.50227212110555	3.6546997552904	4.91343530323406	3.46194584641025	3.63351189933631	4.18101728796225	6.1377641332639	3.37467510165704	4.60826873567729	3.84027806792579	3.63910141925644	4.36133121896492	4.69091858181168	4.09044295156413	4.07924305090815	4.39878232345946	3.60182685815575
PPIC_9541	3.54579716962844	3.4660921646161	3.7126402186939	2.53222131708425	2.58256894953554	3.20089963091677	3.64676540975476	3.08709224958972	3.32439701557126	3.94037426152283	2.89297726128611	2.99837799079613	3.97722008446005	3.41238946220412	3.18147206955753	2.83844017373935	3.52559366558401	3.04359358913742	2.65940051634807	3.1742190287589	3.73092287901981	2.53834189321107	3.32314560695144	3.41781473818157	4.05064747785309	3.49059493833795	2.94168908014208	3.034657197269	3.54781331256589	2.77949745915888	3.75748746712493	3.27061008358614	4.00972755956378	2.93150385658259	2.87614464730887
CFHR1_8295	11.3540597738444	11.3590895607837	11.6518957448642	11.9468733476376	11.5620262160761	11.3876028611112	11.5591559192132	11.2639219583499	11.4446487040786	11.3911757079724	11.7163472969239	11.5412591453802	11.2718744428548	11.3699892463832	11.3269146491411	11.7733272874904	11.6343842948125	11.5475500291336	11.2780455038444	11.8293011886534	12.067534298233	11.6579374649956	11.7299531399981	11.0649099509585	11.5100708815722	11.7796439240091	11.2152111967538	11.2410811156413	12.0768287584086	12.0625876543871	11.615537973888	11.5586372027963	11.9121906421726	11.0664004639267	11.3016112711522
AP3M1_32866	6.38647269578883	6.30185258382839	5.8345768383176	6.29920835074151	6.08765999459277	5.93146351525812	5.90618758898919	5.89099106233515	5.75681617850856	6.28196960260768	6.37175286250889	6.32609605368174	6.27801163038715	5.99941751417492	5.90237853836641	6.03207784626174	5.70994764066438	5.86296488688896	6.27469056614622	6.32067366441113	6.04954848143023	5.90479278828325	5.7508618633751	6.29457960351594	6.49517099791682	5.95638276688215	6.22750670519221	6.05057769516663	6.01764835969105	6.14581933799419	6.05003278581233	6.29338717003061	6.24813857073175	6.03635519075867	6.16912762914609
HIST2H3C2_32796	6.45311298084388	6.23122883953648	6.48879821225033	6.37739998352511	6.14691488202574	6.13863692304604	5.95614331099915	6.19772376266407	5.58936493342264	6.08124259093555	5.87902345332921	5.98496552075989	6.33863733849428	5.70551510842147	5.85286182559739	5.3050165019948	5.87110032793643	6.00679441617446	5.42404533498984	5.88194675700899	5.94185232829327	5.6407837687145	5.88885515891825	6.66142853208166	6.01948526853933	5.61697044266421	6.02030598767228	5.71224919373945	5.88872523602345	5.92681876710758	6.04043242034067	5.91379576361468	5.98386885169025	6.24382131734476	6.03225428091221
HSPA1L_33069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTN_10161	12.644538351104	12.5713242970743	12.4675380804152	12.5430836028103	12.3711192863078	12.4199550555575	12.3219629886665	12.3739658338295	12.4556161649976	12.3153308175587	12.5848580795889	12.4629261685215	12.4912336313096	12.1611821974171	12.361591107273	12.8530855890134	12.4837384697577	12.4324721525802	12.4024300597473	12.4620103717651	12.6862724420504	12.5264249024439	12.4684994826084	12.4661622784457	12.5342290792225	12.4646849372954	12.2555272252291	12.4113102402419	12.4290974755875	12.5049620438978	12.3810497936674	12.2385342013373	12.517097117226	12.1861083055711	12.2161109180621
SULT1B1_32942	11.248728710364	11.3697454507874	11.9650201014467	11.1741602120318	11.1020080827938	10.8974190050432	11.3905184332939	10.9759653153116	11.2115684030586	10.3762172268972	11.1902616870067	11.1515406345749	11.5861706030619	11.3827864875576	11.4171323911517	12.5281407919297	11.5703830426073	11.004307704961	10.9469211815296	11.1145858200439	11.7201057239683	11.5326830035369	11.116785984901	11.0845974713302	11.3342392326229	11.4923159808275	11.09735354679	11.2725007778337	11.3173762270358	11.4243263281767	11.1560640933047	11.2791361973744	11.385695135408	11.3085696120188	11.3521466936961
CHMP6_8311	3.59384593440949	3.4660921646161	2.33250781102924	3.16580919208889	3.89732408278904	3.26379837963224	2.79798893690664	3.43841057963134	2.55949482135774	3.59906870899615	3.56202954457326	2.88916715599749	3.63445957416021	1.98102218429806	2.87627918422466	1.38905421613581	3.22513688717191	3.2310387622788	2.72717410923304	3.54873704243374	2.16404880882147	3.29526521702102	2.63340284715095	3.41781473818157	2.92565144690811	3.13919391395858	3.37824990092635	2.66203788600375	3.37268440492666	3.23390671016326	3.08247532870843	3.27061008358614	2.87997369733685	3.3963325128265	2.87614464730887
INPP4B_8905	0.840772142995116	1.81259079455533	0.534593025020303	0.845940469607074	1.47620645615445	2.09697951837116	0.971174538685197	1.74117259893141	1.02185556340699	1.27202702796924	1.97152561948315	1.96824603319704	2.11453282622285	1.05095485105655	1.10647499895168	0.979250945586752	1.51389553130537	1.53937740703571	1.24330945483648	1.47702417573359	1.40557328120961	1.58680669606355	1.00067652243617	1.60844007735356	1.36936045169877	1.1472664367233	1.52587979474945	0.616288489024105	1.3379105434283	1.56334223723941	2.17492003358421	1.53550538306929	1.04280388810716	2.57816324971721	1.34631212503919
RRP1B_9753	2.30889735704243	2.59106917417584	2.56897288872606	1.76226726992495	2.19040124010303	2.56491256752636	2.38568458798787	2.50744848608467	2.73723440868938	2.39094807554339	2.42834057232415	2.77100707759762	1.75656513715369	2.78564549540273	2.48870940271951	2.08343074741922	1.66225169703617	2.26705055499706	2.2625415620875	1.69138867727869	1.75797118270478	2.43521310385744	2.3230103785617	2.76023660904831	2.38483090759849	2.31960052261296	2.37209941006601	2.46724684983128	2.52970340953776	2.35227602664304	1.46351974852251	2.99324537942872	2.46099630053251	2.8089160344226	2.80715955756753
ST6GAL1_9950	11.3525331188415	11.3340324261916	11.3369502810127	11.2238287927536	11.1136581811519	11.2946470258273	11.34468879056	11.2339204833162	11.3006080095103	11.1144595638057	11.1093842487815	11.0600244250786	11.1448564389135	11.2478105158966	11.141248767473	11.9029219354255	11.2198255029953	11.2461346209028	11.1637416326648	11.3094328143922	11.4775574307429	11.1144215074554	11.1453729995679	11.1176310980592	11.2209207394702	11.1399474783221	11.2019704500288	11.1265929224752	11.4950273799476	11.1413880594975	10.929882486558	11.1356644838288	11.2790962093343	10.96553848199	11.044263881061
LSM6_32830	5.76535095788744	5.45010043647659	5.70411988936434	5.59834873693803	5.55396808347736	5.66054305503218	5.38938003579143	5.39244402676289	5.35519232553339	5.83784158116644	5.9557351836267	5.78608226110225	6.00628580082412	5.45536100446647	5.70920551294567	4.76706796950764	5.63110807474043	5.93667129594707	5.25065841037383	5.46779076426407	5.32966297480039	5.59366933123995	5.36589234189171	5.8856554019424	5.85818405369916	5.68181898322808	6.0063121814852	5.48220195362252	5.68423054020353	5.65178371827022	5.7119286697431	5.72528462749712	5.68259638806567	5.62257277110582	5.38520856262177
IGG-2A_33162	0.480786491644215	2.43222970567424	1.229957269895	2.19801077793145	1.65011863199382	1.95172268255649	1.10602878057996	1.11871446323165	1.02185556340699	1.59523521960833	1.4610547852681	1.73566813272476	0	0.851139769967335	0.899091923417893	0	1.66225169703617	1.71722278787546	0.934785599967358	1.69138867727869	1.67760916563786	1.13901258614695	1.37934422121035	0.94969439666386	1.03963447042897	1.1472664367233	1.1718996915115	0.616288489024105	1.10157416560083	0.257659639195129	0	0.507898835697191	1.96924317146746	0	1.83633716332333
KPNA1_32317	4.78129586805625	4.7074835898026	4.68197436034344	4.70704082769629	4.55183847413749	4.75596313505673	4.61085583791436	4.46516540677854	4.68553058037736	4.26250379960791	4.95860191248822	4.76639852522202	4.78889349905223	4.69608792782935	4.40468575572558	4.23340968571619	4.24331957387931	4.94225033987825	4.54438399057862	5.02951361845162	4.15856315336122	4.8100216583765	4.27926777783955	4.75920790073641	4.78955165357067	4.70005203084567	4.22897196496985	4.46274569564075	4.4599515457173	4.66915231596652	4.56265286162905	4.35127312306883	4.60436863010162	4.78220982816885	4.79382475701875
GDAP1_32550	0.480786491644215	0	0.534593025020303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
