ID	S1P3_E11	S1P3_D11	S1P3_B11	S1P3_C11	S1P3_G11	S1P3_H11	S1P3_A12	S1P3_F11	S1P3_D12	S1P3_C12	S1P3_B12	S1P3_E12	S1P4_D01	S1P3_G12	S1P3_H12	S1P3_F12	S1P4_G01	S1P4_H01	S1P4_F01	S1P4_E01	S1P4_G02	S1P4_D02	S1P4_F02	S1P4_H02	S1P4_A03	S1P4_C03	S1P4_B03	S1P4_E03	S1P4_D03	S1P4_F03	S1P4_G03	S1P4_B04	S1P4_H03	S1P4_C04	S1P4_A04	S1P4_G04	S1P4_F04	S1P4_D04	S1P4_E04
	0	0	0	0	0.1	0.1	0.1	0.1	0.3	0.3	0.3	0.3	1	1	1	1	3	3	3	3	10	10	10	30	30	30	30	100	100	100	100	200	200	200	200	400	400	400	400
CSNK2B_32771	2.86539443979369	5.20819079714433	4.21030140209076	4.06271207446409	4.48441960895365	3.96693301040581	3.74902879109736	2.893903193142	3.14768171213174	4.49047022023025	3.36387630598842	3.72964794373471	4.37971217093906	4.38775201007961	4.43365575785096	4.0164678077419	2.46266604980958	3.64118203927905	4.35373224478218	4.0480648689206	4.56478561079956	3.75919514221888	4.62489668662659	4.3048863509342	4.33863948928076	4.21091736556752	3.19441196124741	4.00405375277497	4.236379311784	4.20791190114914	4.04868210084946	4.26575856193221	4.38379400113852	3.62836409893971	3.75859668482981	4.03156677009101	3.42315465590843	4.64458118286444	4.37724937842444
AMY2A3_8042	0	0	0	0	0.776367001797585	0	0	0	0.806357713525955	0	0.331355892843403	0	0	0	0	0	0	1.62606541800693	0.740318543173767	0	0.661017121652654	0	0	0.954759917015945	0.62222142139994	1.31060799027731	0	0	0	0	0	0	0	0	1.39778534266837	0	1.19969647100409	0.453569304481164	0
GRIA2_33071	0	0	0.765903952915332	0	1.65004610591774	1.62810340140104	1.33566210082295	0.851277971615154	0.806357713525955	1.35730910503155	1.35002864998452	0.663653658589984	0.842128158780853	0.797663269534202	1.46156994394705	1.46756340218427	0	0	0.740318543173767	0	0	1.30762525477734	0.713543792055367	0.954759917015945	0.62222142139994	0	0.80014680427907	1.29079984103345	0	0.338968793045271	0.851410874843432	0	0.327485412162391	0	0	0	2.4696768323776	0	0.373231574280913
AHRR_32460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIF_9231	12.545236464526	11.7082173927477	11.7131652597473	11.574693603309	12.0910049046781	12.1707857289004	12.8159099472575	12.3221236504052	13.1842702515879	11.9699660488574	13.0522852604823	13.0902078757941	11.8871035922877	12.0812326600852	12.7728217077903	12.661113624075	12.7650724467928	13.3796191331963	12.1863045550264	12.4547604616602	12.4511262701681	12.942906405756	12.3218203293675	13.2191741685732	12.3347966512583	12.2849393577073	13.1936075858576	12.3969240310489	12.7754397772318	12.2948263954201	12.900553380814	12.4098850238895	12.7411185090732	13.5186405384624	13.3237293833622	12.3906426176754	12.7716256851564	12.4684272257583	12.2440921478295
CYP26B1_8418	4.31194280160793	1.73139724052646	2.37923574702452	2.64083967636111	4.17851495309256	0	2.54243736758428	2.07600945067601	1.85629565475028	2.60329351847074	1.73281526461833	2.50403921300736	2.52510565481994	3.45507403841995	3.95150869795097	1.93541098835974	2.28324732346534	3.37714477157592	3.55197298098297	0.771003352439197	2.16580969792028	2.4398923874107	2.07009250660107	2.82754892378623	3.34584179119222	2.07301965566225	2.79290249176393	3.39887044144237	3.15909233494164	3.16117267977423	3.13332631394901	2.89712792900358	2.66705441978546	2.50597199209308	2.56191347282859	2.48007034310314	5.51549525047325	2.62572342063145	1.47066978560261
ASPN_8093	2.05091099096344	1.73139724052646	3.90772732819582	3.14656047385098	4.48441960895365	2.8625885035717	3.37815959521965	2.54215649288489	1.99825443246707	3.75451863854106	3.62767614262398	2.07467363820267	4.92265588652325	4.76601515585519	4.77142000804067	4.58207871810711	0	3.05371107557136	3.37679394640803	3.24450258427703	3.28065274850594	3.83572580958801	1.83159709687386	2.38464576347072	3.76366088709092	3.40911843837592	1.31182661580646	2.06440022289129	1.72844168483684	2.77119849871951	3.41294060411722	2.66390252511741	1.01385336005141	2.1187202259515	1.39778534266837	2.48007034310314	1.55844893508529	1.98382096456087	3.16539328163805
BNIP3L_8155	8.95913464262548	9.33301368886209	9.78258302396181	9.59882172837902	10.0286756488246	8.40833961348746	8.71886149493728	9.34587412805265	9.34391237780066	9.67106024992623	9.59192061555805	9.19251300200193	9.51855087774327	8.97026730213875	9.8600724920131	9.40570046673934	9.8778314932781	9.14857606623375	10.0468216620655	9.33221911370551	9.29354145829214	9.22878751173629	9.73357524109288	8.88838270146471	9.90763253637608	9.84025050674694	9.47098836744854	9.64616153088514	9.29540715163136	9.94231868357442	9.65475916568596	9.72959935665931	9.38783182796087	8.92901833570357	9.23912859352309	9.78171274524046	9.33297082681911	9.88961470489719	10.0004783527549
OLFML3_9391	3.76284857842377	0	0	0	0	0	0	0	1.3205318098638	0.475621538484394	0	0	0	0	0	0.770801719513241	0	1.03093645051468	1.22717996644395	0	0	0	1.83159709687386	0	0	0	0	0.366618568449949	0	0	0	0.289709086219028	0.819237356502659	0.416092276872236	0.627596821634679	0.344109756454073	0	0	0
H2AFX_32900	3.76284857842377	3.89946133780127	3.5243805039647	2.30091712130574	2.89050701926178	3.51794568809099	3.6648618875546	3.95175282163956	3.37293607719327	2.85763757340368	2.68304548256359	2.94804512447787	3.39400805436112	3.59386170432532	3.63244429581338	3.73971953189124	2.89650560799596	3.64118203927905	3.91470205588053	3.13274426080163	4.06111248803341	3.40458898063033	3.71772760132451	2.82754892378623	3.51416938551103	3.2310139531381	2.93950958586947	3.0912784530252	2.72660856215318	3.11781359121549	2.78616555968897	2.89712792900358	3.83297762444463	2.74054869607132	2.80629972126753	2.67521729170805	4.52654011435228	2.93539067650442	3.21210624882323
RGD1559459_9690	0	1.11119577737147	0	0	0	0	0	1.7707423697267	0.458797111146622	0.475621538484394	0.331355892843403	0.369655921932072	0	0.797663269534202	0	0.436277890939483	1.1948695281129	0	0.740318543173767	0	0.661017121652654	0	0	0	0.925041659252331	1.15944647595814	0	0	0.411999024041274	0	0	0	1.01385336005141	0	0	0.344109756454073	0	1.07606120908958	0.669481985451431
CSNK1E_8394	6.91240634253109	5.79523637780039	5.25259205068293	5.70210949324601	6.08755511944353	6.92167630860048	5.95318407662763	6.1651211111907	6.6683512248348	5.54505733602528	5.70383913715406	5.72748341210258	5.93651170186154	5.65721080569118	6.0894456460803	5.80954253108041	4.93793516754557	6.94335838998898	5.41189288661483	5.03520719529457	5.73627284034731	6.09017292530134	5.82438513709498	6.20388478345696	5.53842011405764	5.35658168854404	7.64142020454286	5.934990161663	5.86248532310186	5.09197577089864	5.24778204007088	5.33498637440243	5.45320438498308	5.96607893535031	6.01103153516307	5.36232085708519	6.98641777165318	5.84603909640744	5.32095818432182
STEAP4_32408	4.06336289255457	4.72930355447308	4.41363593014129	5.18385896380569	5.2231685772804	5.01640521340649	4.63660343963175	3.87476466786521	3.85581376709121	4.76365850383507	4.61446094137034	4.11723790727351	4.53576644585449	5.41660364094534	5.06395421093145	5.34156561765407	4.34614983365292	4.51792779944702	4.76294625396545	4.64498160068059	5.04289971540693	4.10674300675576	4.28946479497396	3.86836351666931	4.81464884976262	5.05846317568319	4.28776464762486	4.38981356744341	3.68918878186964	4.55535207928472	4.36250053440657	4.42359337088673	3.85854698943746	4.39633150291079	3.10933545419923	3.8548307542533	4.71643189336268	4.57919789429794	4.24870971709843
VAT1_10149	6.91240634253109	6.4211892313301	7.12604519215689	6.50275533766582	7.0538744427322	6.31133762848276	6.58482075271698	6.41667635686682	5.89252902557961	7.4938344142913	6.12267175037413	6.08487690877852	7.47387179567439	7.03273860271983	6.90495190230463	6.79203344707535	6.24366897296537	6.10470903079337	6.72253385936891	7.16695786159802	7.43006037425171	6.04253164204483	7.27200943889695	6.00747251377242	7.54580809110385	7.71926495177237	6.01680682185307	6.92658650381375	7.14102329395789	7.34952040461187	6.36630133323068	7.18322398976719	6.96104217617191	5.77672701125002	6.13367936950544	7.5787381514102	6.70189023128534	6.86579193594019	7.42088458140792
S100A10_32340	8.61034479631664	8.52214135958419	8.87095098373565	8.80558141950252	9.7288282177899	9.02700712739593	9.36207625873629	7.98576723991822	9.11466998040699	8.74616935556741	9.24551562666942	9.30002350811905	9.36225552078906	10.3989711109683	9.70422792802651	9.81380541037069	8.73841064295119	9.23104434846285	8.56931535908673	9.00530783248334	9.45158202052204	9.40865934535637	8.66764537152572	9.95731261605183	9.22299528245449	9.03707951830774	9.18343915328457	8.55335621317666	9.06286360704524	8.75901851372974	9.63640973368509	8.25167118569898	8.79155434967367	9.18660160137619	8.72947345986017	8.90993147616767	8.66404538674871	8.67279783210848	9.09518309397745
MS4A1_32977	0	0	0	0.726498356719242	0	0	0	0	0.806357713525955	0	0	0.663653658589984	0	0.453271740912147	0	0	0	0	0.740318543173767	0	0	0	0	0.554960616938342	0.443071511421319	0.578684522700553	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP9_32531	4.06336289255457	2.99303619331524	1.92666003723868	1.85538092770055	2.74469884854495	0	1.60021446792839	3.04209883870612	3.81801599957737	1.74118776186601	2.12318248062784	2.50403921300736	1.37037929265732	1.84156730771002	2.30645991928817	3.34778325840219	2.28324732346534	5.55174384231577	1.22717996644395	0.771003352439197	0.661017121652654	2.22907836788286	1.1888151198865	3.61577935893594	1.38831648011151	1.89304280405397	3.4109675967818	3.18605123560447	1.72844168483684	2.71411268962944	3.13332631394901	2.18849593775693	1.47704019434148	3.7764960348709	4.3075837105442	1.38747543444976	4.48536701078306	3.45607681651206	1.12499212338425
ALDH3A2_8024	5.01955754728162	4.29012504091255	3.97353205056997	4.36726943136217	4.6573893869473	4.14799937427341	3.51265729679865	3.17647968649326	3.73931327142714	3.75451863854106	2.99481021981189	3.79181036283266	4.07500652855147	4.19768132805829	3.68257703411816	3.88471950403732	3.12688164271843	4.30599260623595	3.78034667498829	4.0480648689206	4.24922588247335	3.67837620984374	4.0317350693157	4.33872887127659	4.08725536930925	4.23001283571229	3.30674922861422	4.28665560927544	3.89551415475535	4.03222663764048	3.29967105080398	4.26575856193221	3.9326435306299	3.11920604908918	3.06304645192122	4.10114974774439	3.58781669175296	3.76132988462499	4.5325548976216
ALDOA_8030	0	1.11119577737147	1.2635574205677	1.56747467472762	2.39968336539562	0	0.592608639434985	0	1.08623089521059	1.56197895982887	0.82748244209991	0.663653658589984	2.52510565481994	2.11179089144347	0	1.46756340218427	1.55280097436505	2.04615941065806	0.740318543173767	0.771003352439197	1.11262941189469	0	0	1.52432154817468	1.88604953884994	1.57237910622089	1.6887778684511	0.901480528465905	1.57684563586918	0.843627382866577	0.851410874843432	0.918061818890954	1.01385336005141	1.58777352907809	0.347659575568703	1.05482751173738	1.84552089040876	1.50950354760039	1.98276870912128
