ID	S4P1_C06	S4P1_A06	S4P1_B06	S4P1_D06	S4P1_F06	S4P1_G06	S4P1_E06	S4P1_H06	S4P1_A07	S4P1_D07	S4P1_C07	S4P1_B07	S4P1_E07	S4P1_G07	S4P1_H07	S4P1_F07	S4P1_C08	S4P1_B08	S4P1_A08	S4P1_D08	S4P1_F08	S4P1_E08	S4P1_H08	S4P1_G08	S4P1_A09	S4P1_D09	S4P1_C09	S4P1_B09	S4P1_F09	S4P1_G09	S4P1_E09
	0	0	0	0	3.125	3.125	3.125	3.125	6.25	6.25	6.25	6.25	12.5	12.5	12.5	12.5	25	25	25	25	50	50	50	50	100	100	100	100	200	200	200
HSPA8_8845	12.1084333159536	11.1775363296972	12.1624655956691	12.2935201159273	11.8153829376492	12.0654855278347	11.9806926578646	11.4192284574641	12.0343396598681	12.3518720107022	12.010089543734	12.5539850485926	11.9028799416911	12.0328152981275	11.6287860216909	11.9887031529482	11.319600214305	11.4395798045709	10.9665345526609	11.4737229255197	11.4239921429936	11.3826588691098	11.4474518154611	11.7939425960623	11.571159714496	11.6487436860194	11.7666068773202	12.0414047777565	11.8994597256615	11.8097177449401	11.6001822969648
COPB2_8360	7.87211506662683	8.03997544627459	7.92163279648497	8.12564272322108	7.91734071863329	7.97089707371417	7.99447508600506	8.04186889225438	7.79012254756199	7.83863044715199	7.82371630135291	8.26425158324225	7.94475957397836	8.2713122817395	7.86877992097113	8.27625269698643	7.96965483996238	7.89237290627626	7.90865495182859	7.87391809780654	8.02456225597339	8.07832724627147	7.91195316877061	8.07886592608199	7.90525329736335	8.1477590669403	8.34199740851903	8.32884056305228	8.18506487340087	8.48995628793561	8.27813072453301
LBR_8986	5.08543288138434	5.20761332955157	5.50409818556553	5.47108399841325	5.32529331852694	5.62128745070739	5.36752584444196	5.20525929467015	5.17753795554256	5.1359641774391	5.44844022725794	4.99633185577934	5.33725823372027	5.18521340535917	5.44551637094218	5.04660069903022	5.10810991878891	5.33617465761914	5.02473861821921	5.18548850088608	4.91979368334469	5.21490592655168	4.96587929824973	5.17169912698778	5.40946507815896	5.37659408767354	5.69638573820976	5.58617766218587	5.37506843049593	5.41252611143973	5.27460680264357
CYP17A1_32365	4.27284597665565	3.69218390095792	3.47489467686052	4.20542972825812	3.64213205142574	2.94899720607135	3.51555862759602	3.26213261772758	2.63194059839143	3.58367833888506	3.94315390047163	2.93899108592819	3.21730608959043	3.52155424788366	4.23797472305523	3.02616227517821	4.03927333192952	3.01869986176307	3.38543359561369	3.88390989566579	3.48293874950288	2.18124407662992	4.51696922996041	3.65304336882186	3.4010224067432	2.93048120906373	3.63165042516654	3.99024710696883	3.27945002120476	3.42020036391494	3.53089384356464
SRFBP1_9940	3.37625387665959	2.56331234242765	3.14059335121753	3.32028375378933	2.97211709570839	3.37190959890514	2.94097171981818	1.88602613029427	2.80702010373792	2.94282475614471	3.11608219080127	2.39059857717389	2.90395501618231	2.73959696738328	3.04965092483118	1.33107605739941	3.17337981025287	2.76821938101897	2.75832727210439	3.082586781164	2.74988698401784	2.61040566863499	2.70389108783981	2.69714981992314	2.9739570042762	2.26712063891292	2.3841205592884	3.17585370133549	2.23317915782719	1.80551845074626	2.62563417626478
MOK_9240	0	0	0	0	0.287905734160693	0	0.273489167333368	0	0.485315229697247	0.309057803221431	0	0	0	0	0	0	0	0	0	0	0	0.258716221747364	0	0	0	0	0	0	0	0	0
KLHL41_32563	0	0	0.298619236094361	0	0.287905734160693	0	0	0	0	0	0	0	0	0	0	0.282804523039761	0	0	0	0.258957465337865	0	0	0	0	0.239329943136958	0.263895627757359	0	0.306127069856445	0.521546135358693	0.353078275994348	0
FASN_8611	6.93468049144578	7.18152120354863	7.57880625649507	7.71686548017326	7.763069830127	7.22935461887975	8.67838415886738	7.87066735142985	6.69170552484845	7.52914018484433	7.45532198389091	7.58016392858077	7.94323991602487	7.83386092200309	7.30244153986309	7.83395790215287	7.77601791625712	7.84722878610631	7.34101459315654	7.38829106720832	7.85386071223508	7.82700638977163	7.26143923179073	7.96030712426809	8.34223734496953	8.75736106016221	8.93825549007083	9.04024033006176	8.71405353291148	8.97407706880207	8.38892903673297
CYP3A1_32809	12.3488974437408	12.8814312967252	12.6346111540434	12.6240162438084	12.8090684329341	12.7846971330361	12.0901347316577	13.1926099749423	12.4546797479379	12.6909825916815	12.5820216603456	12.648624005277	12.5260677927821	12.5136243254571	12.2735794287415	12.8535863349265	12.3583000304424	12.3146361241051	12.3011616002589	12.4592342162836	12.1508678919433	12.2575673182696	12.2997504825579	12.7524768958346	12.0273238561926	12.5020125230487	12.6329616388866	12.4424749972253	11.8741589595273	12.3310966284813	12.5038283398509
FHL2_8642	0.284782330520681	0.433770734242967	0.941006167684861	0.435622687056619	0.527804488484283	0.369903222384552	0	0.224669867222796	0	0.779633746203578	0.565006187772678	0.683696301160543	0.830393706031064	0.522893030395821	1.07248166292271	0.282804523039761	0.263682812985315	0	0.214335977593223	0.478430716405387	0	0.258716221747364	0.876324185810818	0	0.239329943136958	0	0.276214114211399	0.558530488266613	0	0.353078275994348	0
