ID	S3P4_G03	S3P4_F03	S3P4_E03	S3P4_D03	S3P4_C04	S3P4_A04	S3P4_B04	S3P4_H03	S3P4_D04	S3P4_F04	S3P4_E04	S3P4_G04	S3P4_H04	S3P4_B05	S3P4_A05	S3P4_C05	S3P4_D05	S3P4_G05	S3P4_E05	S3P4_F05	S3P4_B06	S3P4_C06	S3P4_H05	S3P4_A06	S3P4_G06	S3P4_E06	S3P4_D06	S3P4_F06	S3P4_C07	S3P4_B07	S3P4_A07	S3P4_H06	S3P4_D07	S3P4_E07	S3P4_F07	S3P4_G07
	0	0	0	0	0.02	0.02	0.02	0.02	0.067	0.067	0.067	0.067	0.2	0.2	0.2	0.2	0.6	0.6	0.6	0.6	1.8	1.8	1.8	1.8	5.4	5.4	5.4	5.4	16.2	16.2	16.2	16.2	48.6	48.6	48.6	48.6
WDR12_10166	6.20112851072104	5.9749956045588	6.46403032054416	6.18389728315114	6.09798617456097	6.24375297494099	6.30854064359236	6.36180906599881	6.23687227447843	6.12581151347658	5.78004890239314	5.8378407662563	6.05469848933726	5.98485478486476	6.18311489544684	6.10654529471096	6.261223281986	5.87935539097964	6.12818656021289	6.26104127482379	6.09220741953526	6.10819455585394	5.57845249290924	6.07529228311313	6.18180153615511	6.31498584208672	6.22673211929389	6.27858971458076	6.2816930806513	6.33317133413461	6.06412544871307	6.13984880338108	5.94020420449648	6.07672707180621	6.07445122455079	6.41360573487417
B4GALT2_32592	3.5274801800797	3.09938670389614	3.42210625256505	3.16084234287841	2.92553071431985	3.68280457273297	3.59302178605209	3.66935396283667	2.9097478704395	3.42730575799549	3.06115231009541	3.28754675735594	2.82909827882239	3.02453456873095	3.33626127701385	3.47269971822359	2.73936717631953	2.92983428236325	3.22880271538604	3.17984219614031	3.20820866125294	3.0837689914434	2.40205290782241	3.22702229152936	3.11443164465987	3.44138488028661	3.17499697263376	3.16994120023715	3.34626422490847	2.67770343991656	2.67362775273537	3.27639499223552	3.16029349398196	2.55714292102	2.80995582347798	2.43729750103519
RT1-CE11_32928	11.4226346107253	9.83028682654157	10.9665268858862	10.8623773340009	11.0313048472997	11.2397864727071	10.0641607681236	11.0657942516032	10.1026411626911	11.028889768827	10.7391605535334	10.5677419790113	11.3049360804558	10.2816729093971	11.2281027030425	10.2375721798453	10.8405718057387	9.95001694792147	10.5504744634954	10.7051162305276	11.2245983982726	11.0095499983169	9.91742253898658	10.73694490464	11.3188595820132	10.850647506537	11.556930422085	10.3358198981696	11.4589598671019	10.7776406684488	10.1067194196022	10.1939119373915	11.055734846094	10.3107501740928	10.0871751480766	10.2485101207979
HGF_32812	7.31467904747568	7.2046912887109	7.902147229875	7.77083914702316	7.37450295004171	7.96901471662304	7.65483317828577	7.459639825955	7.68627491499443	8.23796617972085	7.91094828930408	7.63830888845689	7.30749049705087	7.23043100806962	6.62123394966644	8.00195296107483	7.49633123185943	8.18883445198547	8.03976201879703	7.92532501958433	8.24375309370466	7.81601043763582	7.23493266958815	7.45871954467679	7.50936043674774	6.79371790063317	7.86656027715741	7.2574059472161	7.67972695713581	7.06901630954211	7.45091044487126	6.73665632302191	7.91401730026487	7.5997172082607	8.1115474052763	6.96572710240988
FGB_32596	1.37994549440727	1.22402685599892	1.22279738164387	1.8108458021224	1.01078328703932	1.21150086949328	1.86197642170029	0.627840706720011	0.322587968447045	1.86284108583332	0.939827405409482	0.826468017622995	0.421413233499082	1.85478470897595	0.961920016984457	0.881118420572961	1.53236244231367	0.986064727648065	1.55956536640863	1.22877558146537	1.02165942066642	1.43274864594356	1.05059702456853	1.13406448421207	0.913715426631536	0.903260003655131	1.87862023782127	2.1271259698804	0.818994766458943	2.01313372572617	1.36135214698257	0.543330055779695	1.27374132891751	0.859361341227417	1.00151776227266	2.60778877983278
P2RY6_32293	0	0	0	0	0	0.524660254224747	0	0	0	0	0	0.330879059595758	0.421413233499082	0.777132416576142	0.250452428752884	0	0	0	0.25672691382675	0.291540687782568	0	0	0	0	0.372540178963107	0	0.342239786634069	0	0	0	0	0	0.36016822397635	0	0	0.747967289539576
PCK1_9439	13.4942788175963	13.5628333146787	12.6875945766163	13.5000940809281	13.8317805683807	13.0540808985106	12.9923336741652	13.3122142565013	13.3673964895245	13.2151600234209	13.3414011126216	13.997016341734	13.2004665550365	13.8179312828907	13.2576751279397	12.8534509285982	13.2675075558077	13.3222448453497	12.935149846688	13.3863262396574	13.5641965459768	13.8680267824624	13.8214260111575	13.6892960488839	13.0372909140871	13.1802705491784	12.6951049452571	13.0715776119999	13.4872284989023	13.8515599615496	13.5741125463126	13.1115242541391	13.9815806489576	13.4883116103513	13.8455559460735	13.9242782481055
NR4A1_9362	2.35640692034905	2.66537300746779	2.7478370205766	2.63830518202963	3.37695635761119	3.38263783675899	2.45406800203354	2.09474374106584	2.81018082899522	3.7149344136864	2.89299151392109	3.39750762404994	2.82909827882239	2.26499064748534	3.03633525092076	2.3810099942129	2.93056120835769	2.14818935094924	2.85449060535772	2.5116906472215	2.49470690310449	2.5257921811038	2.58491570006979	2.53083182518625	2.58705653434184	2.82619497913429	3.17499697263376	2.38144383282066	3.04608504052067	2.67770343991656	3.03099881086794	2.35501409913263	2.855723111793	2.74408465084981	3.09014016883361	3.19426026774011
LPIN1_32940	4.08965524411078	2.76324991236114	3.31567913134558	3.22675470319044	3.44576602180572	4.62551113494233	3.74251821926204	4.3279579560246	3.61773738989637	3.46224644046849	3.81616518758674	4.657141244283	3.48248228145683	3.66191444495864	3.71513855180377	3.57814572434738	4.05431690222626	3.61811036107353	3.25846785178782	3.28302088647575	3.56287188585618	3.57015635890839	3.89995181110621	3.6124424479374	3.34106625797835	3.27841218252014	3.48200693400372	2.87102929192493	3.45078794253424	3.23801430965532	3.80760520672417	4.19995765616265	3.75246222755525	3.42905618218133	4.15261029288155	3.79795439177941
