ID	S5P3_C06	S5P3_E06	S5P3_B06	S5P3_D06	S5P3_F06	S5P3_A07	S5P3_H06	S5P3_G06	S5P3_E07	S5P3_C07	S5P3_B07	S5P3_D07	S5P3_H07	S5P3_F07	S5P3_A08	S5P3_G07	S5P3_C08	S5P3_E08	S5P3_B08	S5P3_D08	S5P3_F08	S5P3_G08	S5P3_A09	S5P3_H08	S5P3_C09	S5P3_D09	S5P3_B09	S5P3_E09	S5P3_G09	S5P3_F09	S5P3_H09	S5P3_A10	S5P3_E10	S5P3_B10	S5P3_D10	S5P3_C10
	0	0	0	0	0.125	0.125	0.125	0.125	0.25	0.25	0.25	0.25	0.5	0.5	0.5	0.5	1	1	1	1	2	2	2	2	4	4	4	4	8	8	8	8	16	16	16	16
ITGAL_8924	1.23771112309632	0.312919150136108	0.798844935307162	0.589945921639284	0.569902616117274	1.04342651802593	1.14634283821447	2.37207596840847	1.9102523138332	0.562747746731887	1.73608321908359	1.40880249755697	1.63161637703509	0.869585476456676	1.43050008024198	0	1.82944932852085	1.69889974130758	1.59446377123756	1.69229239085806	1.16605608166196	1.16964204489053	1.84600056628396	1.00877245538023	1.60673729633372	1.37795827308046	1.52540654608035	1.5380391283172	1.98117777202158	0.945812552008057	1.71043093101556	0	1.19436224510256	1.05650580858675	1.31354611400346	1.03154323608375
ERBB3_8571	5.01075932337593	4.55620473666926	5.08917089626076	5.09127526876298	5.03252981869173	5.17060076410761	5.16789558533205	5.07972575309697	4.71441904830968	5.33482143613036	5.25929975097522	5.35615986084124	5.06228174692768	4.83649282504071	4.95572303565601	5.2860750404713	5.27103938012183	5.18072725061752	5.18739976448493	5.0208995998064	5.1631475677169	5.41454007774591	4.46072143635515	5.24584687305848	5.29222811046233	4.83995496268838	5.10209281989165	5.31447556051857	5.31395492186953	5.54999370668179	4.9480526291206	5.15883861643775	5.1084972072838	4.73591955862608	4.9954283807348	4.74185384080212
SLCO1A1_9885	11.5849544033594	11.7312393856951	10.9669832272007	11.7012855142404	10.6121341121216	11.7618462590968	11.8757723697902	11.6515802737146	11.768383792386	11.2985142792872	11.1931478749641	11.2539269927456	11.5646478447489	11.2369023661812	11.4517655883174	10.6710048172428	11.1268506310371	10.4185790669964	11.1216175505339	11.3454296608612	11.7276342922825	10.875176276103	10.8583234943083	11.1169961595834	11.1658821629548	11.4925991001445	11.424710402009	11.5948323505204	11.1187336832424	11.2368987450774	10.9537191806612	10.8177960777486	11.3218350161472	10.9989977614302	10.7162265056885	11.0408533997276
NIT1_9319	9.62099229893678	9.5964916432775	9.18099742610456	9.62128511381572	9.24039477862565	9.51277611242329	9.50036052790255	9.48048164033117	9.52998388423831	9.42925214036089	9.50157284142344	9.54452184471349	9.32014047773643	9.49693346804393	9.11988791911649	9.19239948542644	9.40573300152813	9.14523833347919	9.25802830474931	9.13626930115984	9.51757966038814	9.30241590943333	9.42986451671667	9.46403338239076	9.10304855455417	9.22427520181676	9.33296961988069	9.44236359080963	9.24545468709744	9.39845291381603	9.3195530086787	9.39393126568509	9.59149432002556	9.29185001649681	9.38818300900802	9.5674773983724
PRLR_9571	9.67760107171943	10.0208507693269	9.65648713086251	9.52019387705635	9.39631376467471	10.1871557843914	9.92526058280932	10.1038227662601	10.5550854873524	9.54110806016373	9.76117815984842	9.52567020554969	10.1305096786315	9.70996617213288	9.86346324095514	9.55014836810203	10.0313847497335	9.02720459945038	9.56163000462339	9.70290572499045	10.1831677605047	9.6526349076816	10.0209921122304	9.59348098592906	10.0755369617755	9.78471765448906	9.99494423177121	9.82468158520249	9.51374329224845	9.77036336804313	9.98110674298035	9.67933500001711	10.2657729319219	9.88059721062143	9.91764122405289	10.02765374172
SELL_32554	2.96184641644547	2.76834271205349	3.26752429959787	2.91981185720626	3.0472505363998	3.60190211991148	3.31904745915487	3.82040969664102	3.14597445854715	3.43030339354344	3.19527409627904	3.38654831673416	3.0809454456789	3.29613485942612	2.60554266544336	3.36177274206207	3.394995106094	3.03367048855387	2.81955938775887	3.0642971446421	2.80138137845865	3.25378531694687	2.56816387382632	2.40649383507652	2.764671288051	2.9732199773624	2.31967321155888	2.89258224658341	3.51499642303876	3.07213804087324	3.02545620518691	3.14638358650292	2.6214648740879	3.52718390455089	3.43354889869089	2.37207145378356
POLR1B_32822	4.06657100166787	4.08631093088798	3.95861859047625	3.9208010234377	4.20470738294203	4.23064206762407	4.10945892249677	4.04562064379204	3.96740723940849	3.84380638135158	4.11428927902754	3.96901680666146	4.05510094278002	3.83129006015672	3.81545349166126	3.9970929554454	3.80758703716599	3.85590961042351	4.26141067432671	4.05501218875605	4.27878901130282	3.88216822628836	3.69344244327293	3.97056606988049	3.76709055467231	4.16218952905447	3.8929011803271	4.10299065354641	4.30909036756247	3.85109593578493	3.77204909978807	3.95126211101274	4.01249077943317	3.98627069336804	3.93177433993333	3.75814506372063
MTA1_9257	7.37880417365024	7.54707910219834	7.41897225785967	7.5226121132877	7.47029367417445	7.47094944764889	7.51974244301788	7.40570262108663	7.33098320412641	7.28366612292243	7.59145201862154	7.41393565331817	7.61767277041465	7.50236282208468	7.58750110986898	7.52047777169146	7.38980299842152	7.52780321145179	7.7101793752857	7.53921903998935	7.5107359802912	7.58789561544326	7.27263256091268	7.53703339279264	7.5188606079322	7.45172950595338	7.26122777185278	7.49356375518505	7.5075664601885	7.42345960315723	7.4540095443477	7.42050770172116	7.24245920635374	7.32690980873547	7.31611078348351	7.32254068008184
TUBB3_32820	0	0	0.317963013725785	0.324920212635958	0	0	0	0	0.277641325257815	0	0.302324343481841	0	0.302380754682111	0.351303362436209	0	0	0.762603310189985	0.535362769068483	0	0.532406338712827	0	0.272930686242967	0	0.814877430626376	0.750069869522201	0	0	0	0.29487769653933	0.300496724446508	0	0	0	0	0.672838876714369	0
