ID	S3P2_G03	S3P2_D03	S3P2_F03	S3P2_E03	S3P2_B04	S3P2_H03	S3P2_C04	S3P2_A04	S3P2_D04	S3P2_G04	S3P2_E04	S3P2_F04	S3P2_B05	S3P2_C05	S3P2_H04	S3P2_A05	S3P2_D05	S3P2_E05	S3P2_F05	S3P2_G05	S3P2_H05	S3P2_A06	S3P2_C06	S3P2_B06	S3P2_G06	S3P2_E06	S3P2_D06	S3P2_F06	S3P2_A07	S3P2_B07	S3P2_C07	S3P2_H06	S3P2_D07	S3P2_F07	S3P2_G07	S3P2_E07
	0	0	0	0	0.02	0.02	0.02	0.02	0.067	0.067	0.067	0.067	0.2	0.2	0.2	0.2	0.6	0.6	0.6	0.6	1.8	1.8	1.8	1.8	5.4	5.4	5.4	5.4	16.2	16.2	16.2	16.2	48.6	48.6	48.6	48.6
UGT2B10_33303	10.5537052093297	10.489477010587	10.3995076769388	10.6412036655575	9.47307322667348	10.4422579623266	9.92685233357551	9.87149359924611	10.776963085633	10.5910572545718	10.267013295114	10.6580774282577	10.2653690120366	10.5751297570792	10.7872291902589	10.6259124307191	10.4641464627619	10.5366204974275	10.2499498882779	9.69410216223562	10.4840634654002	10.5085223442698	10.6736060209081	10.5982676444222	10.3847884206906	11.2074044486489	11.0753879732488	10.7796884734248	10.0757043826983	10.6510742000452	10.9388504719485	10.3964936484651	11.140048515974	10.8803784549022	10.7581583531951	10.830347565828
SUV39H1_32313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F2_32334	12.9302590480862	12.8495848041153	13.3295856820992	13.1990771490991	12.7062669648128	12.5624283374291	13.2462391193302	13.15631106702	12.7319574388952	12.745351170973	13.2264440361273	12.6471317995597	12.6687235525621	13.2448845104206	12.3398946088386	13.3548640338597	12.5237110492014	13.1577448762	12.9410815401932	12.4973853764453	12.426973595859	12.6641858104883	13.2296276596745	12.5251516887899	12.5481630268096	12.7341407339065	12.6320599894151	12.6719770145948	12.5506102459663	12.602790664742	12.9356238418347	12.1513176817087	12.5867136288434	12.5435796885449	12.2663407980214	12.6095294236463
CHUK_8318	4.25788604978116	4.47604371966642	4.36042465132699	4.84945675596509	4.4978008570729	4.26330632207705	4.80191392962073	4.22864244598951	4.49131614044707	4.4253715402378	4.10841726904279	4.45019675686634	4.59825516221695	4.43419362143639	4.09374952603882	4.10699608350637	4.40896336255695	4.58806184480675	4.87528919964543	4.22245197335653	4.48756614898787	4.45987247292877	4.50716817262885	4.29759024570624	4.29456505546403	4.70525010632512	4.60218603757867	4.5162851745234	4.24193922475673	4.69000651584253	4.32308487646151	4.08440542017119	4.38995769647249	4.40574964124233	4.72222584673217	4.65108359980195
BNIP3_8154	3.58750565608533	3.7265701170044	2.86413474307842	3.26650458897017	2.97044287232015	2.45320142465495	3.19076108359316	3.22710384755199	3.16132081625929	2.83387710733374	2.9469978885999	3.41178645555471	3.1168834069039	3.60999731312486	2.80208908702505	3.28394623114147	3.10289133536494	3.83512994655238	2.66196609458419	2.76920616103203	3.48825883291516	3.09166540470178	3.53555862910848	2.9449357904038	2.47535444429101	2.84466187915603	3.51514869632896	2.89726064467149	3.81800643511248	3.36117292620864	3.73384220370619	2.59033505714101	3.31471570432924	3.56985593863223	3.27453478895023	3.6948848284602
CENPT_32437	0	0.402768241254604	0.431830373300275	0	0	0	0	0	0	0.215756294539007	0.234644178478537	0	0	0.263250169896026	0	0	0.474360220577923	0.301990950826136	0.278767441498827	0.281498322601553	0	0.393452654382557	0.630471020998077	0	0	0.234707150668806	0	0	0	0	0.640894243634578	0	0	0	0	0
IFNG_8873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNT_9326	7.96500602821308	8.15665585604638	7.9945298006387	7.75088849412284	8.34222756291416	8.48585805238324	7.8875059998195	7.99997648415128	8.32654896339695	8.12047770948617	8.29931859897908	8.36731801802215	8.26311675026349	8.01475135451977	8.27795487497425	7.82493315886432	8.54294689356324	7.94496500767949	8.2675388827056	8.28296279142071	8.28591878671133	8.29706844945688	7.85862130731871	8.20389102039971	8.44459722787587	8.36535526138816	8.33177419350037	8.22330962869876	8.55827480130232	8.31393023702901	8.10650552074685	8.42834046191014	8.42999926840878	8.38904996919216	8.51427443978084	8.54052786790057
PCNA_9442	5.74462420135402	5.84998498250491	6.05748183761215	6.21522258894009	6.24860137765739	6.25175385994896	5.84547769011401	6.06373852071434	5.8507244204919	5.88441513425112	5.70160920974393	5.92188952288442	5.91255809626393	6.00577534440752	5.47204011472703	6.2838005515196	5.70579024442041	6.43386023363092	5.86112017618227	5.8058449854571	5.9232284007651	6.19822238222808	6.06503650893718	5.67281554305538	5.50684721893795	6.00555932378313	6.21007554313486	5.87258791167684	5.68616321522874	5.72640197519839	5.71301319684311	5.42535164313286	5.61025074646001	5.73816156447956	5.68872813792209	6.02811951553738
