ID	S1P3_G06	S1P3_A07	S1P3_H06	S1P3_F06	S1P3_D07	S1P3_C07	S1P3_E07	S1P3_B07	S1P3_H07	S1P3_F07	S1P3_A08	S1P3_G07	S1P3_B08	S1P3_D08	S1P3_E08	S1P3_C08	S1P3_A09	S1P3_F08	S1P3_H08	S1P3_C09	S1P3_B09	S1P3_E09	S1P3_D09	S1P3_A10	S1P3_H09	S1P3_F09	S1P3_G09	S1P3_D10	S1P3_C10	S1P3_E10	S1P3_B10	S1P3_G10	S1P3_H10	S1P3_A11	S1P3_F10
PPP2R3C_9548	5.65599400415044	5.74015484940087	5.78909206653582	5.14137482546727	5.14197101147933	5.8441255093008	5.90624558881864	5.62921952483449	6.43333296564946	5.21024238592013	5.18073482541111	5.69746914354658	6.33094094270279	5.4302502769854	5.8209320824329	5.76202254495887	5.62321436166257	5.31682815851048	5.39932100190328	5.80906313995179	5.85162507346092	5.33975226504625	5.34697966540158	5.23696898546206	5.31942289496674	5.87514153749264	6.06105251042729	5.80371991496115	5.10345830492033	5.49632000371694	6.2150414245186	6.00011326178318	5.82465267675747	5.22559401037274	5.62606630538203
TPM2_32337	6.66603364812804	7.03862018430538	6.85595904117557	8.05022022970756	6.61131189677131	6.72776925625515	6.82604612002896	6.39359726715089	6.86757422031476	7.52461606305076	7.34613640475284	6.77398003840908	6.1760756075312	6.39428666156069	6.36735282324706	6.58978136304672	7.36597579011028	7.19222289657567	8.77401768955062	6.90940784798748	6.94709637784243	7.65325721557348	6.23431887170046	7.25254398926567	9.49393057310758	6.61108296309769	6.32812018117304	7.0931185447848	9.92942458517163	7.10312120728867	6.33307739925092	9.50952530625908	7.69976054628715	8.19145504593459	7.5353111392275
FGFR4_8638	9.64333683897743	9.26906986321702	9.09876943859127	10.6102111654328	10.1939243770497	10.4333656107239	10.3210367408561	9.79756404746885	9.16314299380394	9.83068296165659	9.80722715538499	9.45777258114887	9.29293549901693	9.90210292682166	9.9901271672416	9.92337699370597	8.82519916481097	10.0778389974225	9.86452526913926	9.51627754097794	9.93135986684214	10.198571459692	9.64671895629308	9.78984396588737	9.85661183606815	9.53470201772656	9.49647433522678	9.45822482703099	10.5048082892485	10.2779307804438	9.04325149321636	8.93942338310365	9.48028123940911	9.64637755666163	9.66100180688077
CLEC7A_32927	2.85774499977005	2.48271776866991	1.95715341160217	2.14713023904983	0.910519551449649	0.645661457962653	1.24578120643558	1.17957136074676	1.67369991554356	2.26050878042453	1.76181184568485	0.9984863537071	1.78071924190712	1.08622132306012	1.45169745715383	0.69867574363082	2.12731928477152	1.5415599149927	0.96411795998836	1.14420914329138	0.455105026989063	0.956362163170095	1.2994635047089	1.73060999205205	1.94758830507715	1.48116440613	1.64223946687297	1.05357587271321	1.41627397158557	1.45541297412404	0.929624410553889	2.57871677293976	2.25152412430471	0.814486754004629	1.70535238348457
HSD11B2_32369	5.86729048723853	6.62962598292818	7.19089651254051	5.53730603908896	5.57365574743239	6.18360488582116	6.03252094073736	5.9770426543455	6.79625600948327	4.63732664381825	6.21396253077244	7.45094489926784	9.32467186639832	5.90608572357076	6.14660842122269	6.67141117425481	5.99749372483285	5.7768688831149	6.02994383566251	7.14660928266732	6.68639848615199	6.20714793199736	7.54376199363036	5.4042836756029	6.05225395887032	8.04650049270029	7.47519110422841	7.76769735681535	6.03414646834368	5.82668108245391	7.70178904685989	7.7749882707681	7.29914598144031	6.04975763014087	6.65087616884038
PRKACB_9562	7.18842934551146	7.20171399304951	7.37755046112669	7.22230289403257	6.84269502917609	7.26118504595242	6.97503064051314	6.9160262949647	7.90347025903519	6.96998646452329	6.96630872855629	7.56684268413389	7.40911964088538	7.00224391240231	7.03980840861773	6.85342980615098	7.13189836532413	6.82573286139156	7.29700525949169	7.46341121877524	7.18997372955298	6.95097711648383	7.27775129353697	6.77089664383813	7.30189753273828	7.36426603741125	7.24437810895988	7.411413278973	7.18076735863134	6.99560665703767	7.27437915397507	7.60110325376872	7.52219876945925	7.6747162680079	7.37555437111016
YWHAB_10191	8.17499319658331	8.56721633009766	8.47021942920447	8.77280464234383	8.35222221828695	8.6049090212973	8.54174785662244	8.11923029214271	9.32673768459253	8.2368476187038	8.53312022975286	8.99603748304156	9.11538319829164	8.33319120832329	8.5082340569166	8.60182618274716	8.41003123297059	8.17779191877966	8.35938229004468	9.2173093342951	8.82606429336289	8.44688487399254	8.90788348084279	8.14519951967436	8.48158616984584	8.89641627810161	8.92599704728429	9.10972424744556	8.67910536341793	8.41506200418187	8.42779063123901	8.98498296241788	9.08602923958556	9.2186822528906	9.1056363290498
TDO2_9997	0	0.988021535177454	0.566076493022169	1.83676990076958	1.11966366484504	1.42941201374057	2.59185193012031	1.98254191627263	0.392759749349789	1.09591179706139	1.13462758084905	1.4131451931439	1.35059085403209	1.92900706018112	1.20255733141916	1.5205695955388	1.08611546970916	1.69135822195905	2.16559841751884	1.77420668995773	1.07905227622036	2.51148178492528	1.2994635047089	1.11059077977887	2.19270385031098	2.305044573969	1.43146250377722	1.05357587271321	1.07904382227755	0	0.538428923615474	0	1.32466233651329	0	0.538257198472394
ALDH1L1_32662	5.201189334155	4.27485630770609	4.85142544131384	3.70078411044755	4.50460876481194	5.49273766716396	4.57639044281526	4.74004203235658	3.33258931321161	4.82270726600184	4.04815282272324	4.75197091412181	4.55998885442916	4.48157471979428	4.91007177268339	4.73029148240236	3.31963681399142	4.81115186038421	4.73733531980265	3.89896942614167	4.49257047124994	4.5297994208221	4.3735466107548	4.70703024023861	4.92063827682087	5.02390370260299	4.92013606419332	4.44600821450277	4.14482391992764	4.82256825665781	3.90920576997537	3.99297165162723	4.64822849245772	3.62994940342733	4.7428889021415
TOPORS_33193	7.77944684283473	7.71752312320168	7.69104895609914	7.49336865542448	7.73479819332956	7.74392234095007	8.02351985636728	7.77212508163421	8.30277546791052	7.47935250396982	7.61606920081024	7.76296172826752	8.22542978799532	7.65252541688902	7.83493806508253	7.93427236901217	7.34619769569962	7.50713346632679	7.31434711603775	8.30914728290055	7.6793775606954	7.8454276106989	7.70737390030548	7.48192492156462	7.45363941064442	8.14293144583288	8.00241336897954	7.98131821149112	7.62483311286511	7.96333157030468	7.85341262133323	7.41741174101348	7.56867965800371	7.54005875423641	8.04296254994065
SLCO1A2_9886	2.61180176756809	0.409060698740151	1.28775322915411	0	1.7424056105543	0	0.543155774352543	2.12881660810899	0.955095089923718	0.814198363143875	1.13462758084905	0.735754804205498	0.528975733440656	1.08622132306012	0	0.69867574363082	1.08611546970916	1.18527072247237	0.96411795998836	1.49332660590232	0.800550154174363	0	1.67448777760091	0.471392306349304	1.28015217155177	0.779634465651413	0.886433088939554	1.65596380541861	2.44639961515055	0.66063979362005	1.23705584994498	0	1.70359415276177	0	1.23673840427067
MMP11_32712	3.75463402413257	2.9789719641	2.85726311227659	3.12371269498845	2.65038175222356	3.405415016487	2.79556618143987	3.03013650635436	2.72949718771177	2.1415779339657	2.45511555152991	2.41257701696739	2.75654456273221	2.95215324535238	3.45653773971188	2.24430439064437	2.72575896601887	2.53050213285886	1.53691868206733	2.87849173324103	3.36065433321752	3.50392360209437	2.36192491732004	2.9920511128937	2.30122949954721	2.305044573969	2.50266157521312	2.89801664726668	2.71439436494099	2.34070026588048	3.19267083741999	2.36318997958999	2.95816367426982	1.71194291043885	3.56720611020602
ORC1_9397	1.09501162344481	0.988021535177454	0.566076493022169	0	0.37099089591832	0.645661457962653	0	0	0.392759749349789	0	0.37729557777861	0.735754804205498	0.528975733440656	0	0.519868181825311	0.69867574363082	1.08611546970916	0	0.397208031573994	0	0.455105026989063	0.556017757855779	0.572525382778468	0.8261060295439	0.777638924224748	0.441853061799312	1.82611116480254	3.09249122706684	0	0	2.20761808069134	2.57871677293976	0.809308480424951	2.01245766433824	2.87401790485004
NT5DC2_9371	4.53324478117037	5.078187205724	5.22948703303133	4.59388215074732	4.52312643591068	4.41416467164528	4.08750318885225	3.89879281774544	6.40697642814653	4.08106161006647	4.97674299225366	5.7066873021965	6.75732825051552	4.63618419270728	3.93698647410607	5.10145119612143	4.32849740573328	4.13444999921904	4.61204598850586	6.86516181778137	4.97326103908247	4.40727344889588	5.71126442327422	4.88738228864398	4.90352422631633	5.71704854415929	5.22842622561154	5.50655605310539	4.63932835313732	4.49114693311061	5.02977538089855	5.51622724923961	4.77257164693648	4.78416543548375	5.44322246850416
EED_8526	8.32819803426061	8.13421659308356	8.56844081877547	7.28709346247463	8.31285243765133	7.81435298236137	7.84284197417364	8.26874319965829	8.52981747486789	8.25307532180769	8.36018666903594	8.2031817720392	8.16326397681765	8.37893360962826	7.92525131764893	7.43162671773685	6.83825406296428	8.05184832665064	8.39649440207845	8.32828679689366	7.30271513436804	8.32314255299386	8.43820283977719	8.1550126388873	8.32168102186633	7.91772895830199	7.50582584346599	7.80287025729454	7.95422576668332	8.11307619861331	8.41446240449159	7.42439120019148	7.81991730386285	8.30655258603435	7.62065991559104
BUB1_8163	1.09501162344481	0	1.28775322915411	0	0	0	0	0.507615270028829	1.17095688589523	0	0.37729557777861	0	0.734964595617314	0.881569935246261	0	0.39122569289945	0	0.398914157748963	0.397208031573994	0.931824498402129	0	0	0	0	0.777638924224748	1.05314178229961	0.510253053327549	1.65596380541861	0	0	2.3424154172783	0.871065709694685	0	1.71194291043885	1.23673840427067
