ID	S2P3_A06	S2P3_F05	S2P3_G05	S2P3_H05	S2P3_E06	S2P3_D06	S2P3_C06	S2P3_B06	S2P3_G06	S2P3_F06	S2P3_A07	S2P3_H06	S2P3_E07	S2P3_B07	S2P3_C07	S2P3_D07	S2P3_H07	S2P3_A08	S2P3_G07	S2P3_F07	S2P3_C08	S2P3_B08	S2P3_D08	S2P3_E08	S2P3_A09	S2P3_G08	S2P3_H08	S2P3_F08	S2P3_B09	S2P3_E09	S2P3_C09	S2P3_D09	S2P3_F09	S2P3_G09	S2P3_A10	S2P3_H09
	0	0	0	0	8	8	8	8	16	16	16	16	31.25	31.25	31.25	31.25	62.5	62.5	62.5	62.5	125	125	125	125	250	250	250	250	500	500	500	500	1000	1000	1000	1000
TTK_32727	1.43591279529741	2.95839376418399	1.61596034171576	3.16311667796465	2.39859974201738	1.92306333342403	2.63494201390508	2.13738595608461	2.17196345878144	1.84374526766481	2.61299752043587	1.03133262255012	2.43576449870858	1.99142692043529	2.37011084166424	2.88246024679183	2.5203958142396	2.28636096719638	1.29559268779256	2.46399160085044	2.13469955226649	2.71124136293354	2.30450818456484	2.21032737550729	1.29046764008742	1.46983662133992	2.31563045853727	2.01663751661339	2.04764824150597	2.17272414948131	1.168843534094	2.05618431887408	1.86609282151599	1.27758088724761	1.25192360442869	2.19341589277152
GLB1_8712	0.572690945739462	1.33873389028938	2.27360214593901	0.81382779857934	1.70581407235171	1.18219369158034	0.994700580639602	1.93848699950738	0.711512971504581	1.02556929651252	1.35477451588483	1.35944640353249	1.44105751343591	1.10079677850629	0.300599401987429	0.959255300719053	0.694141228275266	0.743710264072295	2.07056521670845	1.51607095940444	1.32614271191561	1.01974789965647	1.80257162851924	1.26951926020229	0.928878756381461	1.59586111284155	1.28223801196348	1.49969927049415	1.30022931494424	0.399418658945816	0.699691096330352	1.17858055700503	1.12151343247252	1.09724468529392	1.91195044412058	1.39203552236535
NUDT11_32363	0.572690945739462	1.20840622710293	0.914615580909939	0.961502285344892	1.32658702423193	1.18219369158034	1.31556645169559	1.70771367798085	1.54228851954071	0.602058951241508	0.289846502181158	1.35944640353249	1.30461026630907	0.297421783303154	1.25697208577067	1.407372070702	1.79563575375111	0.882131077321253	1.11358220882128	1.76195362208316	0.957596155416664	1.15903335499638	1.51919523123102	1.85602148699087	1.39332419270208	1.46983662133992	0.710627231239327	0.85787932007282	1.03193970189213	1.5429305203598	1.168843534094	0.507089161448354	1.74480775989013	0.650515053833163	1.0740053153087	0.572740433886813
MYL12B_32708	10.7744639963759	9.87750042110293	10.6444066267838	9.58631737613273	9.65475553459184	10.057818337562	10.3087798400981	10.6811449297436	10.3867643725309	10.0371973495216	10.1064654349701	10.6210970315759	10.2243009383207	10.2490344695993	10.3516165954089	10.1121558138002	10.1372912400025	9.72385441698088	9.86112005764828	10.2236668891894	9.74182476889226	10.1952782899425	10.0450806599355	9.83636375394769	10.3154525025594	10.0634257746646	9.4885489967682	10.0330673309324	9.87850225929961	10.6661426974781	10.3119293395565	9.908828078854	10.4628225500084	9.49127691464658	10.4037358672313	9.62513987290854
CEBPZ_8284	6.01328388020705	6.89185079980252	6.03584095674535	6.71968307300448	6.6976795918814	6.29318932708664	6.70028979607277	5.87062613727657	6.41198048128782	6.21992628973736	6.45945601552252	6.11093144428654	6.38075565367521	6.46691184752513	6.18613145048543	6.22218377427241	6.05527448373077	6.25498637707747	6.87864213609022	6.52999505373454	6.49979442576798	6.31299069923817	6.22540941612797	6.72798490199029	5.97314362803935	6.18099797121263	6.54372386421897	6.36527819592328	6.46162598019142	6.08036026824557	5.67639752507833	6.35890829907542	5.97101294403699	6.84837962791168	5.98120058135023	5.88646818796968
AIMP2_8006	8.33693371173525	10.1103105928899	8.90546543766455	10.063616320613	9.90710536739844	9.58660609038442	9.6219359265679	8.82114384939099	9.27619981816175	9.56731024524156	9.78631934875344	8.89079557170324	9.45890117754364	9.40902075785928	9.21553965720736	9.18014701990808	9.21080876004296	9.81309418602919	9.53653074507094	9.22551348514416	10.0435279419303	9.72813187247288	9.43279323644337	9.90893297778204	9.30755846920039	9.24390607691604	9.93329669676029	9.7110639977127	9.65481678876517	8.62547415730788	8.66635164328108	9.44021150079233	8.76047496982494	9.88814033416697	8.93199057498232	9.59636388441108
BLMH_8150	6.9546850888971	6.72609240687704	7.19422461340948	6.64790270493193	6.60386634279446	7.11460618885978	7.09274693902701	7.37648065741402	7.11587004432179	6.95716872907875	7.00310559882802	7.41918112039031	6.99915066517345	7.24456946394705	7.38654393358289	7.00541471548436	7.09525629976218	7.00535606074156	7.09365872868039	7.06463549267827	6.58153761463932	6.9861140633617	6.98250974259596	7.00196704687538	7.10868592180018	7.010543372654	6.54372386421897	6.74712911743394	6.6713632448907	7.38806583479048	7.06101292125041	6.80710882281612	7.18894786279868	6.7677018154717	7.26235111559519	6.41465787402845
PAK4_9418	3.94253383821166	3.49417324073325	3.86503025601152	3.2518750155639	3.17682176439171	3.74828012782112	3.7974975980324	4.21449896862386	3.7475646192811	3.21507287969959	3.7506677261746	4.2285488170031	3.72807459283265	3.58368979069123	3.82826533641581	3.41672310867946	3.78349529226623	3.49643282231044	3.28224248693274	3.66586162217496	3.30092468296635	4.05476013523118	3.85588148097414	2.97315503524992	3.63085126809341	3.26253577698075	3.30906213506573	3.37048251349142	3.09125223313475	4.08311257051783	3.63724834424738	3.38909140469905	3.86008241920168	2.80367119960982	4.18044117883226	2.84258690651357
PZP_9633	9.13097833383763	10.5678037149633	9.61142855589288	10.4609678367484	10.5839996077781	10.3534689420093	10.2963061500491	9.86496263439142	10.1059057735294	10.2701225877601	10.0746691781586	9.77187211677352	10.2174881891835	10.2449574200804	9.96061878656861	10.1555029478915	9.88570749156278	10.0163168958546	10.6193335364815	10.4292085038303	10.2264071016329	9.97494400287642	10.3966710475133	10.3125865453149	9.66095095938268	10.1153213954146	10.3813951839076	10.2956857504047	10.3843909317255	9.83942907303045	9.78241718603122	10.3082355525208	10.0571098069912	10.4094835844372	9.57308310617476	10.1777741018504
RSB66_32897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37176820114844	0	0	0
VDAC2_10151	10.0510279272068	9.48392353519201	10.3131674064351	9.63353960753278	9.61553927219899	10.0124461650338	9.97807679969774	10.4213693376316	10.081496508468	10.007745228645	9.90424154071146	10.3246319422756	10.0055033815921	9.94667592716366	10.168016690239	10.1225807628811	10.1680943789147	9.65310444471664	9.82778982862833	9.93929971273476	9.72938988508839	9.87807562757528	9.98642082990269	9.89495256343107	10.1052037271171	10.1497660999451	9.6409584097065	9.84261479694809	9.75659987112896	10.3554378753246	10.1974711746312	9.97944692357987	10.2142226872601	9.69540296544086	10.2933899011072	9.66061063742841
TMEM50A_10046	8.67548434160885	10.2851829458164	9.47454463762289	10.3134671722452	9.84655808299709	9.33995267201111	9.55830181000653	9.07032691273312	9.44537162689618	9.38600654435383	9.9549312149988	9.0117031829495	9.5555512989029	9.51800396758874	9.46621767226053	9.41778780948787	9.38846621517289	10.1637810582929	10.0134644650083	9.5036502416474	10.1972992239276	10.289732657365	9.82197175426295	10.1944768641543	9.63691378091662	9.81112090508386	10.3364700227466	9.88661312206303	10.0910343591449	9.32028520986796	9.25554202041953	9.79954659317568	9.31466782403633	10.2053324693261	8.70723188054331	10.0226236141527
PPP2R3C_9548	6.00783159988514	6.65906005116341	6.59376017969618	6.43694850917998	6.45887924551103	6.61049675919975	6.59682124105331	6.75984836848839	6.5943705251362	6.72263019806524	6.45214184857777	6.82631265077924	6.73947323074135	6.51826292656479	6.52420191515525	6.64264460701966	6.64194149173856	6.3385221806062	6.63011495721668	6.73103544020632	6.41313999920221	6.82808675023003	6.6868507908176	6.65484473174846	6.35720193449709	6.68858346035481	6.63894116720657	6.6915188901014	6.5892117314206	6.80328880364981	6.34163264337281	6.54610704205089	6.59728836862971	6.60413237541292	6.50027425341338	6.24272459138288
GDF15_33113	6.91153944805854	6.40384964465829	7.43706945751328	6.13248579877991	6.41705646940906	6.44801982688456	6.77411313267985	7.00865112028269	6.73915147385752	6.47217704105629	6.69765863532079	7.12763543874161	6.65780507421098	6.70713396398664	6.71124572402901	6.36124755172451	6.87751247548421	6.18983213009884	6.24366147412149	6.8387847702061	6.00690815009453	7.02077557747724	6.51431808516568	5.71686518675784	6.68323899791743	6.66720743510039	5.58324873846862	6.42105172869273	5.97864029013695	6.83184704653126	6.93666811478545	6.33276155673146	6.57522177359898	6.04327995446975	6.77236692178887	6.35004742392422
ATP2A1_33179	0.314577694780411	0.28507115465544	0.372976871169457	0.250315637550545	0.323482743622794	0	0.319810662518613	0.887455366798023	0	0	0.531089859777136	0	0.316178552220287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.491787573226457	0	0	0.272682953356297	0.275710262790797	0.37176820114844	0.361615943031948	0	0
SLC13A5_9837	1.14941403358559	1.06512543409013	1.46995546552671	1.43573840476631	1.70581407235171	0.816828524347715	1.57789227356424	1.4328636121235	1.18589255068964	1.35255731639731	1.22346036176923	1.6265899147867	1.97832003697799	1.9058725174207	0.946075126154379	1.1245812559812	1.28795439214217	1.74874815413175	0.905248398685684	1.37539011454544	1.43067510109591	1.40277859722929	1.29370909983517	1.68571170806209	0.625062361078333	1.00818166797815	0.844501614112997	0.85787932007282	1.41772267964434	1.18644050501121	0.699691096330352	1.42477135709116	1.74480775989013	0.650515053833163	1.41028959370044	1.20137647602244
NGRN_33016	3.89606942271508	2.91726193288589	4.78408521379619	3.46489929809538	3.53064567168335	3.8784829322103	3.89698254722333	4.56463889969214	4.21193219205404	4.02480702231581	3.7021644599753	4.82795479832595	4.3299996068285	4.10895775432163	4.60864715590148	4.29646061823946	4.25743949468501	3.36093366061013	3.62612020260623	3.8892754055403	2.96031027451994	3.92413712602164	3.85588148097414	3.89787712613969	4.03250016311911	4.26339049746353	3.13706316932936	3.55629851112205	3.88664623442244	4.89277318805563	3.58817776387522	3.97648237621784	4.41154176864466	3.45552433769398	4.42273733212971	3.08281170585669
