ID	S3P1_B10	S3P1_C10	S3P1_D10	S3P1_E10	S3P1_A11	S3P1_H10	S3P1_G10	S3P1_F10	S3P1_B11	S3P1_C11	S3P1_D11	S3P1_E11	S3P1_A12	S3P1_G11	S3P1_F11	S3P1_H11	S3P1_B12	S3P1_D12	S3P1_C12	S3P1_E12	S3P1_F12	S3P1_G12	S3P1_H12	S3P2_D01	S3P2_E01	S3P2_G01	S3P2_F01	S3P2_H01	S3P2_E02	S3P2_D02	S3P2_F02	S3P2_G02	S3P2_B03	S3P2_A03	S3P2_C03	S3P2_H02
	0	0	0	0	0.004	0.004	0.004	0.004	0.015	0.015	0.015	0.015	0.0625	0.0625	0.0625	0.0625	0.25	0.25	0.25	0.25	1	1	1	1	4	4	4	4	16	16	16	16	64	64	64	64
TXLNB_33223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.462115105672475	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VKORC1L1_10156	8.0352283332744	7.4103889780363	7.53845410145639	7.64141545629159	7.37161318522184	7.81604441284675	7.84943075339118	7.58581389151836	7.60935434389132	7.71111606587949	7.68702925520871	7.42305200948203	7.85537283703725	7.59709018941191	7.67222090198476	7.72642511303453	7.79914789291301	7.55409563904274	7.61635211433656	7.49323199353662	7.56109268762378	7.99917115247079	8.0558901339722	7.67724064915607	7.84730373101861	7.71831920234519	7.80752876320006	7.24319970932688	7.79963786341889	7.89789069605275	7.60502652191821	8.01635198529546	7.39849820655512	7.5665294744048	7.81835436633027	7.56295624696953
RPL35_32720	11.2409682901717	12.0084853257588	11.6415831203519	11.6940342702998	12.1270342056166	11.451714156236	11.6093365307985	11.7785757207618	12.0615367946526	11.9415842770782	11.764912838147	12.3804960507782	11.6722091750351	11.7260702712859	11.8692936962454	11.3282336607056	11.6910050408977	12.0628823118894	12.4513072255593	12.0724069587524	11.6965270055456	11.3253854623549	11.6446092415568	12.0537067850964	11.8630105677596	11.9094958030504	11.9690361492386	12.4676992477489	11.7086879986836	11.7143490934178	11.5398993259809	11.3689989334062	12.211758200061	12.1934700325135	11.8322002257391	12.1652824415288
NR5A1_33081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.387315592211168	0	0	0.649661798009864	0	0	0	0	0	0	0	0	0	0.271291856529525	0.31000725593464	0	0	0	0	0
HSPA5_8844	10.7418975323564	10.6827626432792	10.1765641623661	10.371713350446	10.1930104967063	10.6253718826492	10.6785053133393	10.0463911436259	10.7884125981005	10.5883383892889	10.5068364166819	10.1599095046184	10.4662507651308	10.2998202651501	10.5764551708034	10.722446593829	10.6171543251687	10.4014032846346	10.6563423152408	10.3713394189364	10.3887477078787	10.6637737176273	11.0827960657037	10.7316254124478	10.6367232819698	10.9605640543907	10.6293089689072	10.0791240636143	11.1371905569508	11.276085190243	10.0834612622475	10.8841284189563	10.1799777700438	10.242025355335	10.6791861785817	10.6131323934723
DDIT4_8450	2.47538776554861	4.54714451653133	3.05230356512484	2.67112153252905	2.17363906497817	2.65051180742163	2.76319248209511	2.43797487867398	2.39452928108668	4.30517142791481	3.07071152092383	3.28836641676837	1.81370061807742	1.57219790427398	2.43911747989208	2.61713191229435	2.32292224802324	2.3241800137733	2.0313562244833	2.39670831986127	3.20854472832552	3.27558503357405	3.51175494832696	2.739318424918	4.38408969950648	3.24312624017867	2.83180492275315	2.41038514024893	2.57086876534663	2.30184306889998	2.9015477913818	3.09716066147361	2.93076860101248	2.995206579106	3.8932685329291	2.9028458394136
ITIH4_32725	10.4925733373217	11.1126088537486	11.5356671860049	11.6176000471973	11.7643742497669	10.9401305903872	10.8299446457711	11.4890091429284	11.5696916940975	11.1410747261935	11.0757660540081	11.8974333450124	11.0981754607453	11.5119060225259	11.2531563955952	10.6374765678827	11.2034129841034	11.4157611410763	11.4035868316947	11.1897786063479	11.2069165077402	10.836060300935	10.6652313477316	11.1908529878255	11.0878591635446	10.3602485160027	10.9123861434397	11.8594967751487	10.5682251203689	10.199063055384	11.0130539160532	10.222631067367	11.3996125558462	11.2681085424649	10.6147658773945	11.031851262316
ACP5_32623	0.342900546683205	0.647598437727059	0.64263788777275	0.885789049540296	1.06858476476991	0.56549968228903	1.88811736870641	1.07361556043224	0.615658198656533	1.11008467058248	0.903662243299054	1.21958422824073	0.640606257566415	1.36673293849102	0.796749863950105	1.39723147321943	0.944013045719229	0.653100731843305	0.753773681564571	0.890019041269913	0.66800083031659	1.0926674116351	0	1.04582053539691	1.57920802507766	1.42958240005538	2.0214163153793	0	1.33371808647359	0.696585146765667	0.781688551703518	1.35062253479971	0.763314525555774	0.87720683815998	1.40592982429398	0.855890295704569
RPL19_9731	10.0336850506444	10.6702771691792	10.3679160482006	10.5780805836118	10.7891500121043	10.2207550024462	10.52750562757	10.6206441487551	10.7755473838314	10.6332304081381	10.5508406769756	11.1584403768379	10.3689849414966	10.6918006096683	10.6019981257982	10.1032253783882	10.5740877222284	10.7142338303581	10.9399865996415	10.8310934714919	10.4802047138728	10.4015884704868	10.351481598246	10.7480902082	10.5417915859012	10.4167540797621	10.6271397079427	10.9175700266849	10.2428280733904	10.2720878528167	10.2363510984981	10.0806320841879	10.7578590785671	10.6537706066799	10.5463793521187	10.7219387368575
