ID	S4P2_G03	S4P2_F03	S4P2_D03	S4P2_E03	S4P2_A04	S4P2_B04	S4P2_H03	S4P2_C04	S4P2_F04	S4P2_G04	S4P2_D04	S4P2_E04	S4P2_C05	S4P2_A05	S4P2_H04	S4P2_B05	S4P2_D05	S4P2_F05	S4P2_G05	S4P2_E05	S4P2_C06	S4P2_H05	S4P2_A06	S4P2_B06	S4P2_F06	S4P2_G06	S4P2_D06	S4P2_E06	S4P2_C07	S4P2_H06	S4P2_A07	S4P2_B07	S4P2_D07	S4P2_G07	S4P2_E07	S4P2_F07
	0	0	0	0	1.25	1.25	1.25	1.25	2.5	2.5	2.5	2.5	5	5	5	5	10	10	10	10	20	20	20	20	40	40	40	40	80	80	80	80	160	160	160	160
ASPDH_32567	5.37002084221532	5.49189246446298	5.09884108400395	5.41055260458582	5.27093108990705	5.3830041301399	5.17948240547843	5.24245959972976	5.17061290340573	5.43920946756312	5.42292422519028	5.67796381021748	5.29347949369138	5.4304264925521	5.3566420786343	5.17598655556005	4.5764048470649	5.33442044708778	5.48730936797138	4.86964227270484	4.91805417351057	5.80542882325322	5.40290081390739	5.36177120646642	5.2882987956082	5.11392531929569	5.77898360412553	4.75431269916278	4.78565032809192	5.16553881782699	4.56819109420329	5.01120914172924	4.74752152587422	4.84055517763211	5.33107429713265	4.97669936071272
UGT1A1_33117	9.65387115223932	9.70912402729837	10.1068719876668	9.8104779622715	9.66383581019235	9.59319809235702	9.79708226419628	10.0894958675179	9.91654977139442	9.87872995057926	9.77829159815611	9.56908409743589	9.74019475745628	9.87355905858716	9.88313661807834	9.8067844387399	10.2280229558311	9.96045136264935	9.7461934591399	10.1393374094367	10.2805873409596	9.85086182146473	9.30801480494358	9.74725128487639	10.0140111538482	10.0216489878623	9.6786069005128	10.1988928238679	9.66387860837927	9.85632149576992	10.1306162791953	10.3218681799997	10.3541072261442	10.4451653470993	10.3812157181473	10.4343049648915
BEX1_32763	0	0.420585864337048	1.2635205705062	0.991978254951766	0.592878958030966	0.911957027643362	0.467838352267578	1.25749458557666	1.3433163678764	0.992473179168565	0.946359049572628	0.998032829087173	0.695786274293934	1.17709129648014	1.11822081451437	1.44327270630039	0.782357319811865	0.900484734191358	0.840155573978235	0.853376506728161	0.765698175759559	1.030608117532	1.40728179176706	1.06365451837469	1.08778148285003	1.16336566382418	0.728950381288354	0.978011024160203	0.54041575340882	0.413910896511307	0	0.592754573014827	0.294975345710478	1.03942845089122	1.20241807694817	1.22960583091786
DFFA_8463	3.11017909186633	2.82628971334538	2.93618416866911	3.10125440464951	2.66372307622084	2.48137646804576	3.23676574142921	3.57223664279766	3.35389276053382	3.01651086950896	2.97449709786679	3.3656782544552	3.21156667125391	3.29696091347391	2.81171982635132	2.90600538221283	3.37284149324431	2.92350431297797	3.41690444533489	3.27986115005348	2.93580474370971	3.40050798044519	3.21130003324258	3.57315587127606	3.08799387149157	2.57511227681676	3.28773390648433	2.9967837428666	3.0077461874717	2.9960530353163	2.7399892423946	3.10799787497744	2.52710643592287	2.9152458854627	3.17382757774363	2.863304656406
GNAS_32916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUP153_9379	2.98326992859266	3.29281790367625	3.33703422679342	3.307456684151	2.77503274936509	3.24234690129835	2.58001605662689	3.51488149758701	3.22804251827281	3.15651671653671	3.3861810104695	3.3656782544552	3.33484219949605	3.01127085303383	3.50714295339962	3.14285249897863	3.15693501318475	3.07955909479409	3.54452037467702	3.04623263912923	2.90241736079938	3.40050798044519	3.07650144886065	2.7839146023559	3.20999013566981	3.38590376076525	3.0412010680591	2.92491432671064	3.65386088231501	2.9960530353163	3.01806740363632	2.47848301128716	3.04608036209269	3.20667807036581	3.02801709510433	2.94956211394944
GC_32893	13.8697987368629	13.9519399792975	13.5145916866323	13.695794891563	13.9958581822951	13.846038359822	13.7940058024286	13.9012489865978	13.6093736452729	13.7432179576296	13.7203174799366	13.9402414630809	13.6797322354845	13.7909757023433	13.800572402167	13.8529932958659	13.3583804480349	13.7392155761451	13.7619762746027	13.6836736529763	13.4072163396481	13.8185042171705	13.8586051582932	13.6548442888854	13.8520275340421	13.7467373120225	13.7908190186824	13.4422441487285	13.8332686706296	13.6465590346558	13.0871878444432	13.3601389127601	13.4051479749702	13.5377450636725	13.5804809926461	13.567520736005
SERPINA6_32325	8.4912125321648	8.64039634856202	8.82483553758173	8.52569704143253	8.63827031033349	8.57619417482594	8.74433209950954	8.81154105617747	9.25296797436225	9.34101514094309	9.25407758064724	8.94735565159611	9.28030661318944	8.61461160919293	8.87698549608734	8.41304493179603	8.95877848433142	8.61170805590633	8.82970595827397	8.82724045295268	9.54236411434663	8.80583629768961	8.72794291838351	8.59433076022256	8.65187629633468	8.95731199938912	9.05107989843633	9.2889068325958	8.2675765688811	8.69824902451181	9.41406159685049	9.17866137003971	9.02882741741186	9.15608551597929	8.70003062743148	8.3219103779122
CPA3_8367	1.66966148116241	1.89055092688809	1.9266134940757	1.57425689818797	2.10556006265121	1.63961689458423	2.2721296911873	2.00482641952042	1.90035381829348	2.65026554240618	1.68921324200046	1.73421080322531	1.71038388853994	1.32966615868158	2.50669432066311	2.2692795381771	1.57523099111547	1.62296003481351	1.83523300995612	1.70435343493636	1.786878206819	2.10516504085822	1.40728179176706	2.01885307898967	1.42664267069597	2.37414996419759	2.02432668378009	0.978011024160203	1.37315847967774	1.80413372006678	1.53284116220096	1.6005047858972	1.23951051166522	1.42688793200291	1.84899888441921	2.1974704796602
