ID	S4P1_F01	S4P1_G01	S4P1_D01	S4P1_E01	S4P1_H01	S4P1_D02	S4P1_E02	S4P1_F02	S4P1_G02	S4P1_H02	S4P1_B03	S4P1_C03	S4P1_D03	S4P1_E03	S4P1_F03	S4P1_H03	S4P1_A04	S4P1_B04	S4P1_G03	S4P1_E04	S4P1_F04	S4P1_D04	S4P1_C04	S4P1_A05	S4P1_B05	S4P1_G04	S4P1_H04	S4P1_D05	S4P1_F05	S4P1_C05	S4P1_E05	S4P1_H05	S4P1_G05
	0	0	0	0	4.625	4.625	4.625	4.625	9.25	9.25	9.25	18.5	18.5	18.5	18.5	37	37	37	37	75	75	75	75	150	150	150	150	300	300	300	300	600	600
GMFG_32344	5.77788190265624	5.50972161780128	5.55504991717823	5.57654036822377	5.05314900814368	5.38539048218428	5.33865820538885	5.55251503206877	5.735099966621	5.07579713262081	5.5566682755465	5.34706114417459	5.6618650136172	5.75376162809045	5.16733191799927	5.39828678535334	5.334277028199	5.45114900284464	5.65235320749228	5.84891022564755	5.78073138578093	5.38452652403048	5.54607819007128	5.7841372778031	5.78570281174701	5.49432962129605	5.58212470347323	5.83419032007936	5.65399268563989	5.77639806613893	5.65743014125985	5.60138797128022	6.03827825060279
INPP4B_8905	2.40430156273302	1.56497175827817	1.8726420819508	1.68920549164599	1.44955049585252	1.76550541776799	0.852350429293751	1.75698980300587	1.66211343482257	1.41552947746275	0.746284842392117	1.00676249253537	2.22532178067822	1.64732919224527	0.709456708654111	0.381561404421491	1.36387427166455	2.11952377072822	0.587858262431241	0.661641624716313	1.10055290238566	1.31016233260722	1.47184226650402	0.297793231169829	1.15471019954162	1.49860193737826	1.9193553836139	0.6878798470566	0.803180752372313	1.52353872826923	0.676682249906905	0.438130875734014	0.903565473274039
C4BPA_32954	11.2773055337588	10.9529176395009	11.1296208172361	11.4031182428097	10.8570482639586	11.7532587958139	10.998030851139	10.9619274011062	11.2915155551835	10.3336622056419	10.9625088346539	11.0295987875393	10.8550621868968	10.9999120713023	11.0638207624813	11.0483746545381	11.1146767847524	11.11694708951	10.9719229333193	11.1065456365673	11.0336562314591	11.0891968290996	11.0422178759665	11.0092368645885	11.1784544555693	10.9316103711574	10.964821001234	10.7056480911098	10.8758953075836	11.0333443825011	11.1895717954507	10.7547766246729	10.897033244892
PTGS1_32494	6.29072406382758	5.59987981308326	5.25808038499713	5.89690520154907	5.67823117720755	5.3991305293887	5.50141356416613	5.66506191976336	5.85557273500871	5.98471830587048	5.33246150272565	6.26124421951096	5.95333163420791	6.07604403568692	5.78943173286239	5.92224434773189	5.82455286726013	5.909387126734	5.36601106842696	6.15014843649576	6.15742106926576	5.66254640879339	6.13696388811939	6.04179793010652	6.1807001597382	5.23934316268924	5.69158945714186	6.36464851525098	5.65399268563989	5.60359146136552	5.74052164961804	5.60138797128022	5.34912504978803
SELI_33173	1.11838247531003	2.29790574743488	2.57137654205493	1.07887984320575	1.25397929973827	1.6780433402907	1.59148786822115	1.27974048778317	1.51376418576518	0.874826936869308	1.75323498460107	1.59397213161476	1.15405426935487	1.47358427100062	1.18293152426295	2.38915777007425	0.478649378207666	1.08077243212516	1.81355302417812	1.81618473555149	1.4417771262744	1.21118911465128	1.83272633409347	1.50289137746279	1.69972600849711	1.62597180623383	1.47963195009707	1.84654797706214	1.51720515489677	1.93071106348011	1.37623045886778	1.47209228491806	1.73197503233943
DFFB_8464	2.77719268980228	2.55993048919356	3.10530745443904	1.68920549164599	2.45974542383241	3.07035272524704	2.97200137345835	2.40159195965425	2.03300660634463	2.24854893169107	2.13334574310469	2.42601050912269	2.76989310830094	3.01942430707991	2.81440442299257	3.04719371224627	3.30047041306854	2.63322625158809	2.81478945560454	3.06531385605532	2.37740646504298	2.79051716732384	2.94502070193774	2.5396591512401	3.09807843741774	3.05358927801029	2.99210679491338	2.86034164794902	2.98015917212104	3.20942159996571	2.84480385191132	2.95272674807883	2.82675883235211
SPR_9930	5.49534199638054	5.90114476793675	5.72026107843172	5.63152908681394	5.71673404617742	5.7003989681531	5.76448406371503	5.46970933940651	5.74345213100068	4.88543976492149	5.93768831680545	5.39399284960904	5.52459218054257	5.41225215791111	5.42365959950981	5.5736065906963	5.42954648868342	5.70867669485629	5.72275076863948	5.8194820325663	5.71938373483376	5.67188178582481	5.55215081311538	5.75992653859608	5.66303249345355	5.51092832497714	5.79849222758364	5.65775624793025	5.51988395396434	5.71592705176429	5.68566239978778	5.94670717106103	6.40728207123771
TMEM43_32474	4.12055758575214	4.36367368890704	4.40295001033275	3.98476591363935	4.59684416776918	3.76549625245978	4.25719159873335	4.02072429556427	3.98589469243383	3.96266854854064	3.7584257064569	4.04241826606365	4.1823248493036	3.85858135399098	3.70803006428732	4.16623806652349	3.88463202302918	4.26411713940587	3.96230843735759	4.04586603260243	4.12123231389689	4.12441490031525	4.27268311461474	4.52413997319431	3.85702109682031	3.6105745968938	4.04463223274465	4.4743890477493	4.46235787853564	4.3173787840788	3.92253498093814	4.14387094167523	4.64897786270468
VPS28_10158	7.66119298054798	7.5994192241042	7.56409822840133	7.58745495603875	7.42082741651755	7.71694954286522	7.67364281074781	7.73505514058914	7.83285544391905	8.0884680175238	7.64999563813412	7.63791623756773	7.66231703038025	7.51551104415733	7.74003742974655	7.79643558238956	7.65150740303311	7.69043582968022	7.77018130444331	7.76589217349925	7.80094845109099	7.75521420566612	7.64140852924306	7.80634545714075	7.71493586851677	7.76297039741638	7.78413202964978	8.18805732318446	7.92434084911647	7.7274596209833	7.66164548420805	7.76223158526214	8.09858159356136
