ID	S5P2_C04	S5P2_B04	S5P2_H03	S5P2_A04	S5P2_E04	S5P2_F04	S5P2_D04	S5P2_G04	S5P2_B05	S5P2_H04	S5P2_A05	S5P2_C05	S5P2_G05	S5P2_E05	S5P2_F05	S5P2_D05	S5P2_B06	S5P2_C06	S5P2_H05	S5P2_A06	S5P2_D06	S5P2_G06	S5P2_E06	S5P2_F06	S5P2_H06	S5P2_C07	S5P2_A07	S5P2_B07	S5P2_E07	S5P2_F07	S5P2_D07	S5P2_G07	S5P2_B08	S5P2_C08	S5P2_A08	S5P2_H07
RPA1_9721	4.95229758503631	4.99487265696726	5.35682662608675	4.79718677888506	5.22053063582214	4.1798200679239	5.13539731940262	4.85086491399822	5.38197102545447	5.47537372379263	5.45903317296893	5.15553726565043	5.40628848693046	5.20432590458981	5.14371296444219	4.82633585066222	5.01062632593046	5.05430215708644	5.07275970840539	5.07221812387631	5.18542162399078	5.10567964678607	5.64980669053274	5.17817585310906	5.21021274165454	4.47407460269844	4.76060330897943	5.38538547173961	4.57928054888846	5.74765803232921	4.29249399868311	5.43864971848553	4.84561431180729	5.12203749327074	4.53066861681529	5.33609373410754
POLR2K_9525	3.49175172320729	3.25102318244862	3.58428095749611	3.77370731263565	3.48751431736291	3.00453414772574	3.26832815927767	3.49078293371562	3.22109965213055	2.41923970210218	3.9810779713653	3.17522188653726	3.0125291134271	3.23874127141261	3.17811066834855	3.47328665300259	3.41874422146276	3.17900996337529	3.28494969132694	3.65747530634878	3.3785315512171	3.19966256845136	3.67157612019331	3.38938323755089	3.08333954020013	3.24637350972337	3.71132428688293	3.65188690634744	3.34515014788946	3.39351266394969	2.37826671761766	3.81725552806566	3.35766818379907	3.48687125486923	3.33708170254228	3.41452097000978
CYP2C13_8419	11.0673296131771	10.7009679557	10.9715187012537	10.8184859833837	10.7465387541958	10.8136895918315	10.8500399463579	11.0095638446086	11.0142774968494	10.8672623224399	10.9991909745513	10.9988930493271	10.7977096003876	10.7704593230283	10.6881522076519	10.7819604897047	11.1183603330413	10.6585678091462	10.7418756584225	10.746329953423	10.8670917798195	10.9554838106437	10.9111306850076	10.8234487373956	10.640905517596	10.9634040121645	10.7579859906498	10.8150809003035	10.6017744943695	10.9262677487876	10.6919637325768	10.6607013664837	11.2067204428368	10.7994593372408	10.7525550790445	10.9042386068856
POLR3B_32505	3.27387511089398	3.25102318244862	3.58428095749611	3.61216729522054	3.07003729420372	3.47231872179152	3.48611494221771	3.20058697140321	3.54070509220907	2.99244668687671	3.53995330782621	3.32729106813323	3.65702672512532	3.52977437158123	3.08991548507481	3.35951684450198	3.68351164214359	2.48643544303133	2.89033467582317	3.37927444732214	2.93270289218879	2.53007207829745	3.39311837547633	3.79326173004209	3.19461567932682	3.71460232805225	3.77980720960476	3.05436684511185	3.07798478233899	2.41200579884175	2.53580196192098	3.12164018965369	3.14202477962434	3.11410283427098	3.59177374849086	4.11707267147504
CHN3_8312	0	0	0	0	0	0.52514066769725	0	0.495353707602863	0	0	0	0	0	0	0	0	0	0	0.662779255435013	0	0.635011033663424	0	0	0	0	0	0	0	0.653189913378643	0	0	0	0	0	0	0
IGF1R_8877	0	0.438310887425759	0.584714704071998	0	0	0.52514066769725	1.36179800602131	0.495353707602863	0.944856253431593	0.520939199670416	0.944461096003751	0	1.00717281142934	0.882815317966341	0.619879980955234	0	0	0.655800189385507	0	1.07486809526498	1.41080178189225	0	0.640775025120522	0	0	0	0	1.49917316181581	0	0.898732706382503	1.48523190565283	0	0.775347234733848	0	0	0.801817572827406
TRAF6_10072	3.01713918459337	2.95332519074186	3.32125894623151	2.418591813886	2.48018333540352	3.15434502680955	2.86398031385526	3.49078293371562	3.70320725516493	2.2968983150445	2.80921979241691	3.32729106813323	3.26073798738576	3.93993109752139	3.41433202758028	2.59766801742594	2.67482567501413	2.75593346062911	3.4480024453496	2.57999652444269	3.45326645640823	2.83604092095463	3.04774163489294	2.95800299955906	1.89470189792942	2.54875684320621	2.44819369559717	2.94453815406528	3.57048602958254	2.98466591964956	2.925736097282	3.12164018965369	1.94351173925249	3.31249334715916	3.51177023509657	3.0760391580445
INS2_32569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLEC4A_32636	1.91050341084022	2.81460947816267	2.58434292927728	2.91068155346538	1.93291794375212	2.64820924492913	2.51353077614504	2.91736704996138	2.49184934492881	3.27765471009063	3.22036539841206	3.32729106813323	3.0125291134271	3.10362042494119	3.17811066834855	2.78560351769274	2.67482567501413	2.87388899205136	3.4480024453496	1.4113146205186	3.21633758263915	3.57489878620597	1.6945085490065	3.07852849845752	3.19461567932682	1.77637746378594	2.75078766160197	2.21835127635671	3.07798478233899	2.81782636217039	1.48523190565283	3.35678079912819	2.88838626858278	3.11410283427098	2.47321418400247	2.94292060708644
GPNMB_32856	0.838670042345574	2.39511855218535	0.584714704071998	2.418591813886	1.93291794375212	2.92335997104287	1.12269896171418	2.56462104581839	1.72791726941214	2.16321290086466	0.944461096003751	2.32669616575955	2.18106735237118	0.882815317966341	1.65397228737223	1.81825220129976	1.88471814746519	1.10499351301446	1.11520571793232	1.68394744065336	2.28411354258075	2.96769702869397	1.6945085490065	1.23517267911445	3.29792019648221	2.82051051479146	3.11121945777219	2.21835127635671	2.74983798452574	2.15630277852457	2.20139656192422	2.67641139311474	1.27691581509526	1.82895841200124	2.29348698873488	1.69148417530295
SLC26A1_9859	7.21364801031888	7.73674103406097	7.46686623415594	7.41679990108112	7.4830345496177	7.47885737689295	7.34620734137683	7.83778228799828	7.54987637040189	7.29975808238778	7.59462122182549	7.46944831860629	7.56498097724636	7.65422725866674	7.6942602001841	7.62371846344712	7.41487028408455	7.95352727365462	8.05387585113453	6.99032364465239	7.6482843418668	7.52240715154246	7.56984259906404	7.88638290219868	7.57449499950922	7.73225496176002	7.27701820722087	7.22477605205723	7.47064756587197	7.86212014481615	7.59215538590404	7.45841108892205	7.6660106007252	7.64471269287399	7.28350546003573	7.71842656445123
CTSZ_8405	6.4287333267407	6.51616205112873	6.31214879241955	6.38514268186289	6.26853181491361	6.29858643815261	6.45525188415644	5.86674197401217	6.42016626565225	6.59507981306109	6.6493354100862	6.31876579952602	6.64352291791451	6.0805221589004	6.60902385530243	6.03180749152268	6.13902819016167	6.64362827482357	6.99479576580705	6.44806340034617	6.38179373596146	6.73815177931695	6.49036921201845	6.13049553403989	7.03876170969599	6.26306334681667	6.89239959223417	6.32483971576806	6.77121556909423	6.43593396133402	6.48834369421868	6.68214829967826	6.43282974256263	7.10407509534103	6.07340745318669	6.97583344169788
B3GAT2_32427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.677958204094693	0	0	0	0	0
ETFB_8574	10.0893011216512	9.92845389811679	10.21903065688	10.012525301628	10.2016662305606	9.84132406801059	10.1394303633808	9.91062303374544	10.0786799878979	9.96757909592688	10.2465374908845	10.0727140193396	10.2568770732037	9.96189355731453	9.96484628385192	10.2041181389337	10.1091941693297	9.75719882247788	10.0021940704826	10.4605160432915	10.0322946895131	10.0357260567477	10.2049161383219	10.0852165915794	10.156576545861	10.1014587661762	9.96037381340139	10.2862214556184	10.0550421347746	10.1028777189218	9.73203417862668	9.91053827179023	10.3959099210608	10.2503572526948	10.0246395170742	10.3421319830322
MTNR1A_32955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCP1B_33178	3.49175172320729	3.07986545273428	4.08676307052421	3.73498619696151	3.65825157760109	3.35340116122961	3.91938540446333	3.85986905768871	3.29093630604592	4.05797060835645	3.80142547845903	3.76040466932253	3.65702672512532	3.72656613292546	3.90259754900841	3.8968486017666	3.68351164214359	3.77196692063777	3.72745426361181	3.83575772765269	3.94267310373583	3.48983796649838	3.95775952817481	3.38938323755089	4.11359283601357	3.71460232805225	3.77980720960476	3.65188690634744	3.57048602958254	3.97225772998995	3.48515068058058	3.35678079912819	3.86001298821195	3.97072735852124	2.90765850639095	4.05391212048765
CYP2C23_32352	9.5262376419448	10.209351548291	10.1407256961657	9.95208697723733	9.97602170510599	9.97068930297885	9.99707620374696	10.1541379974054	9.95707934097921	9.77047800421377	9.94209144141124	9.83567383213346	10.0324965847364	9.89632990995315	10.1008088976884	9.88878937230629	10.0743061860969	10.4583255881324	10.3084987214773	9.53277463952605	10.2118530786386	9.75504177417775	10.0330922199986	10.2650505896703	9.83453493295269	9.96017954306607	9.874901942297	9.51034263312408	9.35777626221935	9.95868557929386	10.2723268074995	9.76994789663458	9.90296749578558	9.59593184312834	9.6479835172028	10.1833521372255
PROCR_32752	4.47811886146522	4.5680980424885	3.45875570932054	4.33606863805458	3.39391733809261	5.04668285712381	4.96456112927175	3.90001228355236	4.61984877043801	5.14389278524942	4.72371810429361	4.25357219695259	4.18344384402406	4.74098637871943	4.77086177312284	4.51706491380502	4.56191170524388	4.86784647148369	4.33937065444729	4.42430371192999	4.18121694637583	3.73130888658663	4.79908696299177	3.79326173004209	4.67050398729551	5.40040260616922	4.95082982548882	4.22180982136919	3.76533476843802	4.12301411466333	4.92570617136862	4.844665181037	5.07611823635119	4.76374346544826	4.82358486391174	4.58749562252704
FLNA_8651	4.06763997829515	4.17319245744744	3.99930296341371	3.91896715284946	3.39391733809261	3.91172651378136	3.80249679260881	3.93906869027982	4.35225983412179	3.67152036657386	4.02270098087765	4.17555229702181	3.92025112714601	3.63152309272818	4.00260579570795	4.05139923907593	3.09421269474777	3.35160470890912	4.06561504611505	4.09124937504487	3.99364175128769	3.93809907147731	2.83811107226898	3.47971097165889	4.59137043562523	4.51291226983243	3.96767522408142	3.9074211170382	4.18422059337122	4.1928688088189	3.56043743114926	3.81725552806566	3.86001298821195	3.78283039016411	3.80817766797282	3.84592439899566
LHCGR_8997	0	0	0	0	0	0	0	0	0	0	0	0.586951112346528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
