ID	S2P1_G05	S2P1_F05	S2P1_H05	S2P1_A06	S2P1_D06	S2P1_C06	S2P1_E06	S2P1_B06	S2P1_F06	S2P1_A07	S2P1_G06	S2P1_H06	S2P1_B07	S2P1_D07	S2P1_E07	S2P1_C07	S2P1_F07	S2P1_H07	S2P1_G07	S2P1_A08	S2P1_E08	S2P1_D08	S2P1_B08	S2P1_C08	S2P1_A09	S2P1_H08	S2P1_F08	S2P1_G08	S2P1_B09	S2P1_C09	S2P1_E09	S2P1_D09	S2P1_F09	S2P1_G09	S2P1_A10	S2P1_H09
	0	0	0	0	8	8	8	8	16	16	16	16	31.25	31.25	31.25	31.25	62.5	62.5	62.5	62.5	125	125	125	125	250	250	250	250	500	500	500	500	1000	1000	1000	1000
PPP2R5E_9550	6.10255110614088	6.38623076300203	6.79765645468334	5.44786669361272	6.60273678667885	6.11162466054603	5.95440700000341	6.67409293473856	5.4485656186301	6.53544808738683	5.50849796591606	6.38633928432109	6.37716592635878	5.7976281741788	6.20326882454567	6.31309698841033	6.04862642347406	6.47659144503457	5.6824203822002	5.69725328642674	5.69415410189825	6.28640197006792	5.86439724943988	6.07596198990579	5.50723664064302	5.67317031560624	5.91260105101071	6.84394051891035	6.01587486064135	6.18680295418825	6.05688166984536	5.83473345543664	5.59832007999732	5.81766825613516	5.28583308357597	5.18282186384069
TG_32506	0	0.75592981747612	0	0	0.338291354773849	0	0	0.67816805658593	0.262303032680659	0.353960027850982	0.514094936201063	0	0.42766219235265	0.450593257338574	0.756120392378616	0	0.377462067902237	0.452513594829017	0.852536573637392	0.25878211037636	0	0.998169284634884	0	0	0.337093923495103	0.605122332395885	0	0.469592276949187	0.315093656524211	0	0.514588537995588	0.321019255980547	0	0	0	0
AP2M1_8054	8.61205021493461	8.53108565506021	8.15172403261935	8.62212356037056	8.38355558242234	8.20372447312655	8.6239650956934	8.28889097887771	8.70917502794508	8.33165087294655	8.80714321078253	8.63695830220984	8.42474099072442	8.43145322349831	8.41651115705854	8.18546903895865	8.6075893574783	8.40917273959505	8.69596958789825	8.43543987316035	8.54142337959363	8.47005231182793	8.68016542302261	8.34095238637386	8.64679350719741	8.77719116920133	8.64121909908721	8.33371134277706	8.49404803460867	8.23932280342123	8.48989903455871	8.43217476322761	8.70165714910203	8.67028959399051	8.49148072663721	8.4537765937827
MGC109340_32287	0	0	0.25306764369323	0	0	0.265701970495954	0.366411680089704	0	0	0.637960645591448	0	0	0	0	0.427039018141804	0	0	1.30666441426794	0.488346823922561	0	0.589967938333618	0.321196087489209	0	0.527666086838295	0	0	0	0	0	0	0	0.321019255980547	0.332588111673887	0.433647510691064	0	0
RAE1_9652	3.27394022475576	3.38024479842506	3.94301959720157	2.96568173941406	4.36142595920989	4.08537780942287	3.04064016093801	4.20187631780786	2.99615614790139	3.87037790299247	1.99880411105329	4.17549013994749	3.26698223595552	3.71126026407628	3.58773502356089	4.24378736063265	3.13346810450531	3.90689541472536	3.24177391758734	2.78535122314987	2.40444349390749	3.58160441262731	3.07499136684087	3.16168023152471	2.87125776849972	3.05233036771277	2.92815798539182	4.25412154601167	3.13929876815185	3.8529219271059	3.6020830128956	3.75067509590995	3.13391071655854	3.12336309270783	2.81963306228404	2.68134010032701
LOC290595_32588	0	0	0.25306764369323	0.917251882289453	0	0	0	0	0	0	0.514094936201063	0	0.42766219235265	0	0.427039018141804	0	0.377462067902237	0	0	0	0	0	0	0	0.337093923495103	0	0	0	0	0.437150409316848	0	0	0	0	1.07161642473011	0
GC_32893	13.3339036775186	13.4321651725653	14.1245140432812	13.041374644398	13.5089957983751	13.5415981726886	13.087206339412	13.5916969012357	12.9206047784686	13.7517620652449	12.8104968156122	12.8132141541333	13.4280942407777	13.2052287197818	13.485859566153	13.7390179154316	13.2650411155518	13.5223156697738	12.9891536352385	13.0977415391364	12.8799707794966	12.9359159244935	12.844792917199	13.1149693446899	12.3751221159111	12.5102744599074	12.7298898458638	13.4741884056944	12.8316238364643	13.0029164330672	12.9841262989301	12.7751700725061	12.53520237395	12.6426482216551	12.2385871990138	12.21192320591
STUB1_9965	2.00077110314549	1.61643244889033	2.21506677556226	1.31083889670759	2.23254333688802	2.01196538906036	1.72819896205569	2.37871871077238	1.37580932366798	2.29068841973423	0.892348981745619	2.86567900804674	1.77204001666138	0.793441651125349	1.90910903996778	2.16652686070124	2.28915862497534	2.2278099785774	1.14307294419095	0.987205327407672	1.71081627600277	1.69790426244264	1.13611069965915	0.913178831578192	1.03761977485424	1.35801538710212	1.51156231300146	2.9146041818912	1.30132687635603	0.77218536849932	1.92060322035662	0.997726828334141	1.84507010941983	1.92795422240551	1.24928371767653	1.73140321940012
BCAT2_32849	1.87521686035403	2.22440192704467	2.58139938658441	2.27805304963973	2.92722514984422	1.9377557414721	2.16018100260425	2.67828823691669	1.67505259820175	2.65150296717847	1.99880411105329	3.76315410758862	2.26170365695208	2.61645874622166	2.15209044519535	2.75116531113714	2.28915862497534	2.43857722461932	1.93351793724593	1.66044982399672	1.81805967530261	2.45643469187561	2.27298067675502	1.57878334475748	1.86080192849773	2.29522577275091	1.96680218758602	1.10712154170455	1.78279608771738	2.48569899274842	2.07532719096432	1.58193080853469	2.28955596520109	1.78848038573936	2.19560194782493	1.48791755192729
ZFP395_10206	0	0.545124654419077	0.82126431980991	0	0.612132393666722	0.265701970495954	0	0.378570794149506	0	0.353960027850982	0	1.48377537267213	0.42766219235265	0	0.756120392378616	0.583507134663255	0.377462067902237	0	0	0.25878211037636	0.324933440938778	0.805785879732264	0.781339773432018	0.73326127737955	0.337093923495103	0.334057767125182	0.842669597306304	1.34418783167457	0	0.77218536849932	0.893108434732368	0.321019255980547	0.332588111673887	0.433647510691064	0.35100264866116	0
BANF1_8131	6.12340992586674	6.52216547460521	7.03762542824286	5.74734788525552	6.87698284105753	6.40806068866196	6.41177281636713	7.1223059970082	5.66811781305583	6.71036362804368	6.10096664363002	7.15933589668867	6.85246508245021	6.2646609605941	6.7287880341942	6.91154511792226	6.48414072931313	7.47445825602585	6.02349923836068	6.07481083895402	6.17462762259131	6.56623046590795	6.39048014130819	6.40774503856642	5.7663706314213	5.82676524428906	6.3136665237283	7.10407364318137	6.42941933947284	6.58806213089737	6.40944155018329	6.61754815312995	6.53979461716157	6.3698165161605	5.78103335798059	5.95667619282798
